iter	RMSE
0	8243.81653
1	7201.852588
2	6360.671971
3	5713.814305
4	5182.261218
5	4763.310388
6	4426.643346
7	4186.479325
8	3992.164161
9	3856.072154
10	3705.271671
11	3589.811218
12	3519.923045
13	3457.315074
14	3392.686686
15	3348.659643
16	3303.736719
17	3265.302969
18	3225.103814
19	3205.771256
20	3171.196296
21	3141.883757
22	3107.682639
23	3093.040811
24	3074.407513
25	3052.835213
26	3041.508105
27	3027.731422
28	3012.516791
29	3001.907968
30	2987.997699
31	2979.020653
32	2964.609165
33	2955.352462
34	2938.473648
35	2918.345349
36	2911.138132
37	2902.462888
38	2895.32037
39	2887.473474
40	2878.325779
41	2869.995485
42	2864.39265
43	2855.596481
44	2845.745579
45	2829.6466
46	2823.60275
47	2817.770699
48	2810.93434
49	2806.917756
50	2801.213731
51	2797.086818
52	2791.524245
53	2782.454184
54	2773.827881
55	2766.902454
56	2763.141034
57	2759.122511
58	2749.773332
59	2741.349398
60	2735.06934
61	2729.414791
62	2722.986566
63	2717.753379
64	2711.961398
65	2706.805099
66	2703.494217
67	2698.15508
68	2693.532889
69	2689.312915
70	2687.008132
71	2683.96288
72	2678.695704
73	2675.041305
74	2672.540724
75	2668.607548
76	2665.684199
77	2660.751077
78	2658.028689
79	2654.65594
80	2650.306386
81	2644.160435
82	2638.96396
83	2635.157576
84	2632.65223
85	2628.194972
86	2623.83783
87	2621.63396
88	2617.395039
89	2613.255837
90	2609.454652
91	2605.51273
92	2603.135864
93	2600.098648
94	2596.341033
95	2591.882247
96	2589.319593
97	2587.517543
98	2585.199605
99	2581.727263
100	2578.653012
101	2576.110364
102	2574.254232
103	2571.413263
104	2568.824548
105	2565.436773
106	2560.922035
107	2559.432076
108	2555.897848
109	2554.0193
110	2550.017843
111	2547.844543
112	2544.310224
113	2540.681118
114	2538.691134
115	2536.092266
116	2532.202972
117	2530.120616
118	2527.651706
119	2525.494078
120	2523.873237
121	2521.857905
122	2519.64594
123	2516.417619
124	2514.779007
125	2512.601973
126	2510.825954
127	2509.146951
128	2507.244834
129	2505.133454
130	2502.926572
131	2500.745913
132	2498.448364
133	2496.410105
134	2494.369179
135	2492.666764
136	2490.637816
137	2488.706997
138	2487.4766
139	2484.888412
140	2483.347805
141	2480.91774
142	2479.133635
143	2477.494463
144	2476.657473
145	2474.71514
146	2473.379508
147	2471.164587
148	2468.558183
149	2466.337009
150	2464.517107
151	2463.03547
152	2461.308945
153	2459.617064
154	2458.398733
155	2455.834628
156	2454.504091
157	2452.954687
158	2451.711545
159	2449.315677
160	2447.699915
161	2445.252405
162	2443.922853
163	2442.056581
164	2441.143583
165	2439.758546
166	2438.111755
167	2436.384796
168	2434.359943
169	2432.741436
170	2431.168709
171	2429.670539
172	2428.726861
173	2426.925182
174	2425.540472
175	2424.778276
176	2422.79126
177	2421.88709
178	2420.848328
179	2419.707116
180	2417.499238
181	2415.479653
182	2413.437675
183	2412.077433
184	2410.391728
185	2408.684618
186	2407.942713
187	2406.092453
188	2404.004468
189	2403.104042
190	2400.982035
191	2399.782552
192	2398.304047
193	2397.231827
194	2395.592615
195	2394.065086
196	2392.088902
197	2390.040946
198	2388.161754
199	2387.262991
200	2385.840603
201	2384.434548
202	2383.671052
203	2381.765751
204	2380.384892
205	2378.237256
206	2377.049627
207	2375.657088
208	2374.733185
209	2373.142437
210	2371.703469
211	2370.051239
212	2368.91635
213	2367.109252
214	2365.939162
215	2365.004913
216	2363.818668
217	2362.789269
218	2360.891666
219	2359.796624
220	2358.407668
221	2356.738802
222	2355.044356
223	2353.327882
224	2352.040581
225	2351.377277
226	2350.607613
227	2348.993828
228	2347.781191
229	2346.046838
230	2344.826285
231	2343.837789
232	2342.882677
233	2341.155473
234	2339.847702
235	2338.677646
236	2337.551571
237	2336.485473
238	2334.854544
239	2332.99033
240	2331.896113
241	2330.913816
242	2329.072084
243	2327.937607
244	2326.929697
245	2326.199521
246	2324.437672
247	2323.615328
248	2322.057342
249	2320.782621
250	2319.716463
251	2318.828987
252	2317.839427
253	2317.064014
254	2316.137663
255	2314.793202
256	2313.167391
257	2311.661695
258	2310.552512
259	2309.554106
260	2308.21317
261	2306.751676
262	2305.315915
263	2303.862777
264	2303.014536
265	2301.856472
266	2300.371718
267	2299.477754
268	2298.236709
269	2297.244368
270	2296.23615
271	2295.741179
272	2295.044404
273	2294.412313
274	2293.81697
275	2292.520771
276	2291.104443
277	2290.620796
278	2289.398083
279	2288.690754
280	2287.430423
281	2286.178248
282	2284.73765
283	2284.167675
284	2283.043055
285	2282.30661
286	2281.489994
287	2280.276628
288	2279.748824
289	2278.821336
290	2277.391442
291	2276.142635
292	2274.940802
293	2274.022889
294	2273.167799
295	2271.650108
296	2270.400673
297	2269.702834
298	2268.683477
299	2267.738575
300	2266.861828
301	2265.791247
302	2264.728211
303	2263.054732
304	2262.383668
305	2260.787574
306	2259.849541
307	2259.3257
308	2258.011583
309	2257.101838
310	2255.406971
311	2254.403757
312	2252.845147
313	2252.139205
314	2250.781157
315	2249.755781
316	2248.883132
317	2247.90468
318	2246.371477
319	2244.941835
320	2243.793324
321	2242.806524
322	2241.752649
323	2240.86529
324	2240.022971
325	2238.921257
326	2237.144275
327	2235.977681
328	2234.945178
329	2234.178007
330	2232.951798
331	2231.754692
332	2230.45782
333	2228.889639
334	2227.96206
335	2226.883771
336	2225.577439
337	2225.322726
338	2224.389729
339	2223.399149
340	2222.805915
341	2221.726136
342	2220.954399
343	2219.697701
344	2218.891369
345	2218.189263
346	2217.191406
347	2215.537836
348	2214.142896
349	2213.224149
350	2212.250816
351	2211.138428
352	2209.989532
353	2208.5774
354	2207.233409
355	2206.2349
356	2204.89016
357	2203.818607
358	2203.036061
359	2202.336727
360	2201.609711
361	2200.782109
362	2199.75773
363	2198.759462
364	2197.971478
365	2196.573798
366	2195.268775
367	2194.639935
368	2193.595605
369	2192.801094
370	2191.627539
371	2190.323105
372	2189.288241
373	2188.237247
374	2186.031349
375	2185.03687
376	2183.696352
377	2182.752772
378	2181.641947
379	2180.634928
380	2179.443015
381	2178.077032
382	2177.562315
383	2176.818991
384	2176.106985
385	2175.378093
386	2174.928097
387	2174.263041
388	2173.615825
389	2172.47963
390	2171.148158
391	2170.590019
392	2169.344912
393	2168.56951
394	2167.430438
395	2166.454175
396	2166.024355
