iter	Passed	Remaining
0	10	4718
1	20	4760
2	30	4622
3	39	4551
4	49	4525
5	59	4508
6	69	4483
7	78	4446
8	88	4421
9	98	4423
10	107	4411
11	117	4403
12	126	4371
13	136	4349
14	145	4320
15	154	4297
16	163	4281
17	173	4270
18	183	4266
19	192	4241
20	202	4236
21	211	4220
22	220	4203
23	229	4186
24	239	4174
25	248	4156
26	258	4149
27	266	4117
28	274	4083
29	281	4045
30	289	4013
31	296	3976
32	304	3949
33	312	3918
34	319	3892
35	327	3868
36	335	3843
37	342	3817
38	350	3794
39	358	3773
40	366	3750
41	373	3729
42	381	3706
43	388	3684
44	396	3669
45	405	3654
46	412	3637
47	420	3618
48	428	3599
49	435	3583
50	443	3565
51	451	3549
52	459	3534
53	467	3520
54	474	3505
55	483	3494
56	490	3479
57	498	3466
58	508	3467
59	516	3455
60	524	3436
61	531	3420
62	538	3404
63	546	3392
64	555	3381
65	562	3368
66	570	3355
67	578	3343
68	586	3331
69	594	3320
70	602	3306
71	609	3294
72	617	3282
73	625	3272
74	633	3259
75	641	3248
76	649	3236
77	656	3225
78	664	3212
79	672	3202
80	680	3191
81	688	3181
82	696	3173
83	704	3162
84	712	3152
85	720	3143
86	729	3134
87	736	3123
88	744	3113
89	752	3103
90	761	3094
91	769	3085
92	778	3078
93	785	3068
94	794	3060
95	803	3053
96	810	3042
97	818	3032
98	826	3022
99	834	3013
100	843	3005
101	851	2995
102	858	2985
103	866	2975
104	874	2965
105	882	2955
106	890	2945
107	897	2934
108	905	2925
109	913	2915
110	921	2906
111	929	2896
112	937	2885
113	945	2877
114	953	2867
115	961	2858
116	969	2850
117	977	2840
118	985	2831
119	993	2821
120	1000	2812
121	1008	2803
122	1017	2795
123	1025	2786
124	1033	2777
125	1041	2768
126	1049	2759
127	1056	2749
128	1065	2741
129	1073	2733
130	1081	2723
131	1088	2713
132	1096	2704
133	1104	2695
134	1112	2686
135	1120	2677
136	1128	2668
137	1136	2659
138	1143	2649
139	1151	2641
140	1159	2631
141	1167	2622
142	1175	2613
143	1184	2607
144	1194	2602
145	1202	2593
146	1210	2585
147	1218	2576
148	1226	2568
149	1235	2560
150	1243	2553
151	1251	2544
152	1259	2535
153	1267	2527
154	1275	2518
155	1283	2509
156	1291	2500
157	1299	2491
158	1306	2482
159	1314	2472
160	1321	2463
161	1329	2454
162	1337	2444
163	1344	2435
164	1352	2426
165	1359	2416
166	1367	2407
167	1374	2397
168	1383	2389
169	1390	2380
170	1398	2371
171	1406	2363
172	1414	2355
173	1422	2346
174	1430	2338
175	1438	2329
176	1446	2321
177	1454	2312
178	1462	2303
179	1470	2295
180	1478	2287
181	1486	2279
182	1494	2270
183	1502	2262
184	1511	2254
185	1518	2245
186	1526	2237
187	1535	2229
188	1543	2221
189	1551	2212
190	1559	2204
191	1567	2196
192	1575	2187
193	1583	2178
194	1591	2170
195	1599	2162
196	1607	2153
197	1615	2145
198	1623	2137
199	1631	2128
200	1638	2120
201	1646	2111
202	1654	2102
203	1662	2095
204	1670	2086
205	1679	2078
206	1687	2070
207	1695	2062
208	1703	2054
209	1711	2046
210	1720	2038
211	1728	2030
212	1736	2022
213	1744	2013
214	1752	2005
215	1760	1997
216	1768	1988
217	1777	1981
218	1786	1973
219	1793	1965
220	1802	1956
221	1810	1949
222	1819	1941
223	1827	1933
224	1835	1924
225	1843	1916
226	1850	1908
227	1858	1899
228	1866	1891
229	1874	1883
230	1882	1874
231	1890	1866
232	1898	1857
233	1907	1849
234	1915	1841
235	1923	1834
236	1932	1826
237	1940	1817
238	1948	1810
239	1957	1802
240	1965	1793
241	1973	1785
242	1981	1777
243	1988	1768
244	1996	1760
245	2004	1751
246	2012	1743
247	2020	1735
248	2028	1727
249	2036	1719
250	2044	1710
251	2053	1702
252	2061	1694
253	2069	1686
254	2077	1678
255	2085	1669
256	2094	1662
257	2102	1654
258	2110	1646
259	2119	1638
260	2128	1631
261	2136	1623
262	2145	1615
263	2153	1607
264	2161	1598
265	2169	1590
266	2177	1582
267	2185	1574
268	2193	1565
269	2202	1557
270	2209	1549
271	2217	1540
272	2225	1532
273	2233	1524
274	2241	1516
275	2249	1508
276	2258	1500
277	2266	1491
278	2274	1483
279	2282	1475
280	2290	1467
281	2298	1459
282	2306	1450
283	2315	1442
284	2322	1434
285	2330	1425
286	2338	1417
287	2346	1409
288	2354	1401
289	2362	1393
290	2371	1385
291	2380	1377
292	2388	1369
293	2396	1361
294	2404	1352
295	2412	1344
296	2420	1336
297	2429	1328
298	2437	1320
299	2445	1312
300	2453	1304
301	2461	1296
302	2469	1287
303	2478	1280
304	2486	1271
305	2495	1264
306	2502	1255
307	2510	1247
308	2519	1239
309	2526	1230
310	2535	1222
311	2543	1214
312	2552	1206
313	2560	1198
314	2568	1190
315	2575	1181
316	2583	1173
317	2591	1165
318	2599	1157
319	2608	1149
320	2616	1141
321	2624	1132
322	2632	1124
323	2640	1116
324	2648	1108
325	2656	1100
326	2665	1092
327	2672	1083
328	2680	1075
329	2688	1067
330	2697	1059
331	2706	1051
332	2714	1043
333	2722	1035
334	2730	1027
335	2738	1018
336	2747	1010
337	2754	1002
338	2762	994
339	2771	986
340	2779	977
341	2787	969
342	2795	961
343	2803	953
344	2812	945
345	2819	937
346	2828	929
347	2836	921
348	2845	913
349	2853	904
350	2861	896
351	2869	888
352	2878	880
353	2886	872
354	2895	864
355	2903	856
356	2911	848
357	2919	839
358	2927	831
359	2935	823
360	2943	815
361	2951	807
362	2959	799
363	2968	790
364	2976	782
365	2985	774
366	2993	766
367	3001	758
368	3009	750
369	3017	742
370	3025	733
371	3034	725
372	3042	717
373	3050	709
374	3058	701
375	3066	693
376	3074	685
377	3082	676
378	3090	668
379	3098	660
380	3106	652
381	3114	644
382	3121	635
383	3129	627
384	3137	619
385	3145	611
386	3152	602
387	3160	594
388	3168	586
389	3176	578
390	3184	570
391	3192	561
392	3200	553
393	3207	545
394	3215	537
395	3223	529
396	3231	520
397	3238	512
398	3245	504
399	3253	496
400	3261	487
401	3269	479
402	3277	471
403	3284	463
404	3292	455
405	3300	447
406	3308	439
407	3316	430
408	3324	422
409	3332	414
410	3340	406
411	3348	398
412	3356	390
413	3365	382
414	3372	373
415	3380	365
416	3387	357
417	3395	349
418	3403	341
419	3411	332
420	3419	324
421	3427	316
422	3434	308
423	3442	300
424	3450	292
425	3458	284
426	3466	276
427	3474	267
428	3481	259
429	3489	251
430	3497	243
431	3505	235
432	3513	227
433	3521	219
434	3529	210
435	3537	202
436	3544	194
437	3552	186
438	3560	178
439	3569	170
440	3577	162
441	3586	154
442	3594	146
443	3602	137
444	3610	129
445	3618	121
446	3626	113
447	3635	105
448	3643	97
449	3651	89
450	3660	81
451	3668	73
452	3676	64
453	3684	56
454	3692	48
455	3700	40
456	3708	32
457	3716	24
458	3725	16
459	3733	8
460	3741	0
