price,back_legroom,body_type,city_fuel_economy,daysonmarket,engine_displacement,front_legroom,fuel_tank_volume,fuel_type,height,highway_fuel_economy,is_new,length,listing_color,maximum_seating,mileage,savings_amount,transmission,wheel_system_display,wheelbase,width,year,State,torque,torque_rpm,horsepower,horsepower_rpm,listed_date_yearMonth
36465.0,38.9,SUV / Crossover,18.0,9.0,3600.0,41.2,19.0,Gasoline,69.9,26.0,True,204.3,WHITE,7.0,4.0,0.0,A,Front-Wheel Drive,120.9,89.3,2020.0,OH,265.0,4600.0,310.0,6800.0,2020-09
29688.0,35.9,Sedan,22.0,94.0,2000.0,42.2,15.9,Gasoline,56.8,31.0,False,195.4,BLUE,5.0,32211.0,2345.0,A,All-Wheel Drive,115.8,79.5,2017.0,TX,270.0,5000.0,316.0,5700.0,2020-06
30280.0,40.4,SUV / Crossover,27.0,48.0,1500.0,41.3,14.0,Gasoline,66.5,32.0,True,182.1,SILVER,5.0,2.0,0.0,CVT,All-Wheel Drive,104.7,73.0,2020.0,PA,470.0,2500.0,190.0,5600.0,2020-07
14995.0,33.5,Sedan,28.0,70.0,1600.0,42.1,11.9,Gasoline,57.1,38.0,False,172.6,SILVER,5.0,14604.0,1.0,A,Front-Wheel Drive,101.6,68.1,2019.0,TX,185.0,4320.0,130.0,6300.0,2020-07
46435.0,38.4,SUV / Crossover,19.0,39.0,3500.0,40.9,19.5,Gasoline,70.6,26.0,True,196.5,GRAY,8.0,5.0,0.0,A,All-Wheel Drive,111.0,78.6,2021.0,PA,295.0,3000.0,280.0,6000.0,2020-08
17496.0,37.4,Sedan,29.0,74.0,1800.0,42.5,13.2,Gasoline,58.9,37.0,False,182.1,GRAY,5.0,2196.0,1365.0,CVT,Front-Wheel Drive,106.3,69.3,2019.0,CA,273.0,1500.0,124.0,6000.0,2020-06
22955.0,37.4,Sedan,32.0,24.0,1500.0,42.3,12.4,Gasoline,55.7,42.0,False,182.3,WHITE,5.0,4947.0,157.0,CVT,Front-Wheel Drive,106.3,70.8,2019.0,IL,271.0,4900.0,174.0,6000.0,2020-08
31995.0,34.6,Pickup Truck,16.0,75.0,5300.0,45.3,26.0,Gasoline,73.9,22.0,False,230.0,BLACK,6.0,41256.0,164.0,A,Four-Wheel Drive,143.5,80.0,2017.0,NY,267.0,4700.0,355.0,5600.0,2020-06
19488.0,37.3,SUV / Crossover,23.0,48.0,2000.0,43.1,15.7,Gasoline,66.3,30.0,False,178.1,SILVER,5.0,16761.0,648.0,A,Front-Wheel Drive,105.9,81.8,2019.0,TX,180.0,3900.0,245.0,5500.0,2020-07
34677.0,38.3,SUV / Crossover,18.0,64.0,3600.0,41.2,21.5,Gasoline,73.6,23.0,False,188.4,WHITE,5.0,28406.0,2309.0,A,Four-Wheel Drive,118.4,73.8,2019.0,CA,320.0,2500.0,270.0,5250.0,2020-07
30999.0,39.4,SUV / Crossover,26.0,8.0,2500.0,43.3,16.6,Gasoline,68.1,33.0,False,182.1,WHITE,5.0,17725.0,243.0,CVT,All-Wheel Drive,105.1,81.3,2019.0,TX,266.0,2800.0,182.0,5800.0,2020-09
28985.0,38.2,SUV / Crossover,22.0,72.0,2400.0,41.5,16.4,Gasoline,65.0,28.0,True,176.4,RED,5.0,4.0,0.0,A,Front-Wheel Drive,105.1,72.8,2020.0,CA,262.0,4250.0,181.0,6000.0,2020-07
45247.0,43.6,Pickup Truck,16.0,19.0,3500.0,43.9,26.0,Gasoline,77.3,22.0,True,243.7,BLACK,6.0,159.0,0.0,A,Four-Wheel Drive,156.8,96.8,2020.0,OH,383.0,4100.0,375.0,5000.0,2020-08
47295.0,35.2,Sedan,26.0,39.0,2000.0,42.0,15.6,Gasoline,56.8,36.0,True,185.7,WHITE,5.0,0.0,0.0,A,Rear-Wheel Drive,112.2,81.4,2020.0,CA,255.0,4000.0,255.0,5000.0,2020-08
35415.0,41.1,Minivan,18.0,49.0,3300.0,40.9,21.1,Gasoline,69.1,24.0,True,201.4,WHITE,8.0,19.0,0.0,A,Front-Wheel Drive,120.5,89.3,2021.0,TX,265.0,4600.0,276.0,6000.0,2020-07
30900.0,36.1,SUV / Crossover,22.0,26.0,2000.0,42.8,15.9,Gasoline,64.8,28.0,False,182.3,GRAY,5.0,35430.0,2864.0,A,Front-Wheel Drive,104.7,83.9,2016.0,TX,264.0,5300.0,235.0,5600.0,2020-08
37990.0,33.1,Convertible,24.0,49.0,2000.0,41.3,15.3,Gasoline,54.4,34.0,False,184.0,BLACK,4.0,20466.0,3943.0,A,All-Wheel Drive,108.9,79.9,2018.0,FL,400.0,4500.0,252.0,5000.0,2020-07
