depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,493,0.5379227292967748,0.1269066668892665,19,5,2439.777766863745,28
12,484,0.3986443316052413,0.10057648712678469,8,15,2442.3104417900786,82
12,410,0.32249460154846094,0.12848402638654705,11,15,2442.677096591589,100
12,398,0.05466300070675323,0.14145029934019362,2,3,2448.325855607558,76
12,485,0.8965912176443421,0.16294325371532098,2,3,2449.3487838358265,73
12,398,0.07120527181698993,0.11046156307864108,2,3,2449.775819134574,79
12,485,0.8944286840337853,0.16285144780361205,2,3,2450.202307415006,75
12,379,0.7019998283940935,0.15609699873906951,17,5,2451.356956976452,22
12,491,0.8558720974825194,0.17784057016857552,16,5,2453.827314759058,25
12,307,0.7782115943553036,0.17667985160870925,11,6,2457.189418927694,71
12,330,0.5056902084645659,0.18410718985743732,9,5,2457.3373054784706,56
12,299,0.5614931824677819,0.13597775526721217,13,4,2460.7416194049792,95
12,491,0.7092526296657865,0.19670151270414857,16,5,2461.408803625165,67
11,395,0.4337557694428584,0.11593976807770137,18,19,2461.544281694237,96
12,290,0.2734965444355869,0.14572023072158638,12,11,2462.31285898991,98
12,494,0.2563590928708851,0.06636832591393274,8,15,2463.0897101294177,85
12,442,0.7168840863472821,0.2140374463086256,6,12,2464.202239465524,42
12,379,0.2756572392795522,0.2055781477807732,8,14,2466.1997362597804,51
12,273,0.647461606411049,0.21731958036890797,10,16,2468.116536660717,54
12,262,0.6533190561917686,0.22838058262229644,14,10,2468.8768413520365,20
12,378,0.6208696743031804,0.22347172965033846,18,5,2469.7203030805604,70
8,488,0.33974462135032935,0.26266343225142647,14,10,2469.972948429303,55
12,345,0.21345787142005773,0.08990316696839243,19,17,2471.7112065998053,88
12,286,0.8126250129684878,0.24653766150044204,15,11,2472.170230010298,48
12,211,0.6378397911335065,0.17970157582767654,7,8,2473.7970817587548,38
11,245,0.9400797107429321,0.22385542542667985,9,3,2473.860336387182,6
11,291,0.09155655107345931,0.25598029557793844,10,8,2474.1853868824246,16
12,224,0.7659663754406851,0.15760667055174388,9,3,2474.7816632248846,21
12,294,0.2389742522857441,0.24726882594413566,8,19,2478.0193233214627,37
12,493,0.48609674502518785,0.23782586968370092,17,9,2479.122164604408,61
9,362,0.13195220583868256,0.2973218322377191,4,6,2481.592121837678,18
11,223,0.24560393144893894,0.2763024203369365,15,18,2481.6690539056467,15
10,268,0.6048754674323772,0.19136095300609385,2,16,2484.325918220625,3
9,498,0.10817142130474705,0.11299519920709777,8,15,2486.6026921188395,84
11,166,0.36543270260218985,0.2326317772104819,13,16,2496.342717159942,8
9,256,0.1518058534926004,0.22642895718396322,6,11,2501.1500707344862,11
12,131,0.6044148831242858,0.28983450650732634,10,9,2501.919750380516,19
10,216,0.5924652714578004,0.19124628259452067,5,13,2503.6610259871222,99
9,279,0.5164720979295006,0.19492076704659622,18,2,2513.433834113374,46
12,297,0.4694967278495027,0.07114183797017425,6,18,2516.213131654073,91
12,146,0.9537411246567584,0.17088962319230377,16,5,2517.744235289729,66
10,255,0.06642852355002572,0.1245602976836119,2,13,2523.901198021174,80
12,186,0.676473895591855,0.1202507974499135,17,5,2525.634630968478,24
12,161,0.8478850506185392,0.1402908585167893,16,5,2526.5571829653863,68
11,212,0.9229508064277225,0.12057450688699958,4,8,2526.649065738717,60
7,447,0.6738772658276592,0.2050660534435416,5,7,2527.5808211109043,72
12,133,0.7359682651813582,0.16052390257034918,17,19,2530.672039964676,23
10,269,0.7994644144487932,0.11252569844358659,9,2,2535.7478322113,14
12,332,0.40927180551421166,0.05522736890953656,4,16,2537.8118510649992,90
12,176,0.6781572984776484,0.10685889242145608,16,17,2538.0649113735426,59
10,317,0.6007590376614773,0.09107361951440439,5,5,2539.234681793513,32
7,493,0.028658843878349938,0.13856846709813955,11,7,2552.8228905635874,33
9,243,0.9809105399603928,0.1435898198616081,8,15,2555.033735640952,5
8,363,0.9435933250509365,0.12986638685395496,4,18,2555.3862874706333,44
7,352,0.859001188985358,0.17472163382728606,18,12,2572.970040551886,27
9,196,0.20582311691640337,0.16711734667363567,7,3,2573.387534807937,50
