depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,485,0.8954123752717814,0.1185871010597653,16,7,2438.6583818256795,28
12,480,0.8265094329364929,0.10949456447966546,14,10,2438.852577620392,99
12,490,0.7351933945902519,0.10161416647974683,16,12,2439.908747482919,70
12,442,0.6115148101726482,0.12143575253299502,15,19,2439.9184733756724,66
12,472,0.9249321235274379,0.11940521827134526,15,2,2440.980685030925,89
12,480,0.8249418673148708,0.1040350141164536,17,11,2441.374104046705,277
12,464,0.7513903946734182,0.11659866863482359,3,12,2441.8731837776318,75
12,446,0.6190788722944152,0.11641608587005238,15,19,2442.6490273673403,149
11,439,0.2730228433488617,0.17723805085151242,2,8,2443.281276238904,190
12,447,0.06146221245527789,0.12521001123065353,19,2,2443.9461608145243,180
12,401,0.8047312590997394,0.13414840074822565,4,7,2444.232973839636,221
11,442,0.9521691740360421,0.16960739628320215,9,7,2444.59657056853,47
12,448,0.9752127984322697,0.11771730817478852,15,3,2444.8202374266352,258
12,444,0.951343886062401,0.13335937222687974,15,2,2445.27586624248,259
12,432,0.6124041237911197,0.1519963388628131,17,13,2445.6637699812422,67
12,477,0.7265511562024466,0.16372836248543565,14,17,2445.840493729231,110
12,457,0.5644237192750128,0.1582252848328551,16,14,2445.974831617931,83
12,406,0.8438777948780004,0.15922448653154708,15,14,2446.1509817781234,269
12,392,0.9205284824501707,0.133094907196538,7,14,2446.34195847896,290
10,471,0.6347223526644077,0.18127806029939453,10,17,2446.622233370247,85
12,460,0.7430547493892585,0.1543604617470233,15,4,2446.998691855461,278
12,490,0.5158312820026097,0.08450220647621028,5,19,2447.034801714258,76
12,497,0.8498078704835487,0.0872900041509076,17,2,2447.185776977031,225
12,421,0.6993697117769708,0.12113389233654345,15,5,2447.227890923982,64
10,496,0.7406302775245593,0.14369066408913694,2,10,2447.3070169566217,216
12,423,0.6080974685619267,0.10280988698053023,9,12,2447.3675535419047,191
12,449,0.7073118661124876,0.09878215700514335,19,7,2447.3915886144528,132
12,493,0.34938795790566096,0.1585957059882731,13,10,2447.5774660885336,136
12,397,0.7027728991834409,0.1163659863908336,12,19,2447.661947346994,186
12,361,0.7499589611068582,0.16158152622818883,19,7,2448.237571632617,24
12,369,0.49240371690129103,0.12406258191098596,16,19,2448.6598638838677,146
12,408,0.6349535425154438,0.10662952609662359,18,19,2449.4479883191307,230
12,361,0.7329771699606111,0.16446162716494503,19,7,2449.654521207196,22
11,378,0.6566720959422385,0.1707983335034098,15,16,2449.8075334172177,293
12,438,0.4957803413939662,0.09066587462038395,14,12,2450.139613593835,245
11,474,0.2104555056032319,0.1995230553337927,15,7,2450.167365320734,50
12,411,0.21288921939817584,0.10322216256036318,16,3,2450.426953715112,213
12,404,0.7630889662274193,0.10937935950797031,7,2,2450.8509278498905,268
12,361,0.7167076075935522,0.15702245209110033,19,7,2451.044898451127,23
