feature_names,feature_importance
horsepower,15.485922605569554
year,12.716211579474376
mileage,10.315999197299424
wheel_system_display,7.433156710134961
horsepower_rpm,6.844735147731383
back_legroom,6.635614522306237
height,6.215927115992226
width,5.258341345127371
front_legroom,4.2717505736876955
wheelbase,3.4989656454100873
fuel_tank_volume,2.643661442211266
length,2.5918519301430822
savings_amount,2.409471843995423
engine_displacement,2.3242707583325917
body_type,1.8792957147780818
maximum_seating,1.7517088293834089
city_fuel_economy,1.667890610544746
State,1.422336069140699
highway_fuel_economy,1.2999781259794725
daysonmarket,0.946096169078194
is_new,0.47463463442323284
torque,0.4042368569811569
fuel_type,0.39443369217985663
listing_color,0.3729725621692661
torque_rpm,0.34394364961903573
transmission,0.27849118103025666
listed_date_yearMonth,0.11810148727690561
