feature_names,feature_importance
mileage,15.643685942698054
horsepower,12.263805576046675
back_legroom,7.06292331911731
width,6.369201979746016
wheel_system_display,6.30686501230206
front_legroom,5.888086814100622
horsepower_rpm,5.171966540029679
height,4.362305087447968
engine_displacement,3.634199000368116
year,3.516735404359044
wheelbase,3.0237415780387753
body_type,2.874188800439095
State,2.809224774753816
savings_amount,2.569225307830839
daysonmarket,2.1964435205788617
highway_fuel_economy,2.11880211803431
fuel_tank_volume,2.1067233683531748
maximum_seating,2.00675421549257
length,1.7625101307165316
torque,1.592592324776279
torque_rpm,1.5103431768391526
listing_color,1.406426588528124
city_fuel_economy,1.2607362404140392
is_new,1.1063351914484318
listed_date_yearMonth,0.8595034064897427
transmission,0.3222422093659154
fuel_type,0.2544323716848308
