feature_names,feature_importance
horsepower,11.40953247068076
year,11.267056115342411
mileage,9.902150143646347
back_legroom,7.019894699527312
wheel_system_display,6.392411088631347
width,6.091203083841437
horsepower_rpm,6.033409384591787
front_legroom,5.583715173077263
height,4.720584051084033
wheelbase,3.5830841075702584
highway_fuel_economy,3.1971662622964674
State,2.7620956616975416
savings_amount,2.5520226397655796
body_type,2.4563256829037146
length,2.1412534401119405
engine_displacement,2.1151084568325236
daysonmarket,2.110942744166903
fuel_tank_volume,1.9297330114215436
maximum_seating,1.8127067386392302
torque,1.45584944243394
torque_rpm,1.3423033126755346
listing_color,1.2932552489193092
city_fuel_economy,1.19388995842705
listed_date_yearMonth,0.7304281946209698
fuel_type,0.3388822793574751
transmission,0.304637901250017
is_new,0.26035870648729625
