feature,weight,std
horsepower,0.1301100218296665,0.000673040978353431
mileage,0.08309093278692117,0.0004152537146018012
width,0.05751934884800558,0.0004455177725757415
height,0.055631102366255195,0.00023829345579690287
fuel_tank_volume,0.03485267979232245,0.00022057104606720647
engine_displacement,0.03437836593779429,0.00024176023972087
wheelbase,0.03349625546193713,0.00037014552810115406
year_2020.0,0.032713529215899276,0.00041175069858821804
is_new,0.02661772824066926,0.00036884173501225355
highway_fuel_economy,0.025275876004488773,0.00026168175605060346
maximum_seating,0.023699436274530417,0.00014449522519343792
horsepower_rpm,0.02344711692063397,0.00031055998988341506
back_legroom,0.02202714197353286,0.00011238873989539358
city_fuel_economy,0.020283154349413433,0.0002388713230412478
savings_amount,0.02022766486340486,0.00015897912339686226
wheel_system_display_Front-Wheel Drive,0.017012769056121813,7.353208547639514e-05
length,0.014400819270613697,0.00010882772997478654
front_legroom,0.008927010864167851,0.00012665620531457277
wheel_system_display_Four-Wheel Drive,0.007741767913142117,0.00011608171285401287
wheel_system_display_All-Wheel Drive,0.006164561488908027,7.394238918089171e-05
