feature,weight,std
horsepower,0.2015311775450705,0.0012992708459179318
year,0.10769864331643955,0.00021256166933179534
width,0.09250483165821086,0.0002911114752983282
mileage,0.08317203377876023,0.0005113839755802103
engine_displacement,0.05386633758948214,0.0003522222045445905
height,0.04480185154674547,0.00037520441292286037
wheel_system_display_Front-Wheel Drive,0.03411102556650656,0.0003932257912659789
wheelbase,0.030482113445936855,0.00019184651098439913
fuel_tank_volume,0.02746950888224442,0.00012315953543701996
horsepower_rpm,0.026403618971909126,8.148211781311105e-05
maximum_seating,0.021997736147704394,0.00012845961698406357
highway_fuel_economy,0.020403854497189,0.0002249692669155497
back_legroom,0.020172451410035007,0.0002461893113759252
savings_amount,0.01949407364213813,0.00011922601106588688
length,0.0164174646993293,0.00015612353172974602
front_legroom,0.012131065563421051,0.00010757161701136381
city_fuel_economy,0.010870294447932749,2.8483508943832653e-05
wheel_system_display_Four-Wheel Drive,0.010791828101169187,0.00011144870510160787
is_new,0.0061911460345149385,0.00015811211145755715
daysonmarket,0.0055277616262976005,0.00016069375003833756
