boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.9735283267781396,+,0.2114544041640868,5,72,0.12350672722781358,0.8025397042075193,0.500314913249308,2477.151337196199,244
gbdt,0.991543721715492,+,0.22828930070967826,5,40,0.3781049654943137,0.8014533768632995,0.6058812703428098,2479.0599008753584,260
gbdt,0.8480482910646926,+,0.21220685234389625,5,87,0.7923492532164234,0.4603316451508612,0.5450030449586342,2479.594954963078,156
gbdt,0.9864073753674107,+,0.2219730354758937,5,66,0.4799375435427187,0.8379322149885715,0.6626450936862769,2479.6128017349674,262
gbdt,0.7430149478922964,+,0.24001349572396724,5,86,0.441382099908045,0.0041435578760762315,0.5946370356410264,2479.626444096737,122
gbdt,0.9996603100135686,+,0.2161894634727783,5,87,0.3881645661846893,0.8587494793319819,0.5959882927120255,2480.2625682733124,258
gbdt,0.9730351355370483,+,0.19977329652674838,5,48,0.2988252495887269,0.7590936944024183,0.5419181995270977,2480.656218278724,230
gbdt,0.9155099148929841,+,0.22644705790686417,5,80,0.663585543134061,0.690653977143523,0.6318647514424277,2480.683206486397,295
gbdt,0.9516561475340481,+,0.22218637170252145,5,75,0.40742439808690456,0.07121381395845194,0.5927543321977186,2480.792218049459,186
gbdt,0.8250842161088241,+,0.21332871553506585,5,62,0.7677152965483464,0.34173074661602343,0.5347801436259174,2480.815643913611,104
gbdt,0.9706900769437715,+,0.188958320674181,5,69,0.5703397694941515,0.8765181137989845,0.6885459496581815,2480.821776987226,275
gbdt,0.9662237091108214,+,0.23532276278105488,5,70,0.5826139923351166,0.9682975553973033,0.6560793417616253,2481.0889474868304,266
gbdt,0.7984747615173321,+,0.2082950316330624,5,85,0.7065813418667845,0.07987088324038202,0.5115505791900026,2481.2037566524828,148
gbdt,0.8487155503862316,+,0.2220982516066358,5,62,0.7715834628957963,0.20678017424632042,0.5259775517076991,2481.296494021066,108
gbdt,0.8214325960436448,+,0.21408620050007737,5,62,0.7684619109791082,0.13784816485704254,0.5424888110930401,2481.407291975221,105
gbdt,0.8595110038814903,+,0.2215336997314065,5,96,0.7753643788278823,0.6170793585023162,0.7973100175434191,2481.413878350264,8
gbdt,0.9345778294445646,+,0.21498847853944544,5,57,0.44157203393320144,0.8317743169394756,0.616104708473777,2481.815923344921,280
gbdt,0.8260316266667798,+,0.19330645938538513,5,39,0.9697648970990467,0.5277545663270033,0.7165689038333556,2481.8296950173976,218
gbdt,0.817168352287841,+,0.22978233778272752,5,63,0.8275278945141454,0.17550234398084524,0.5345524362298466,2481.8710047556465,147
gbdt,0.9225693620268516,+,0.20697151231918348,5,76,0.2750600932737114,0.9988026379295305,0.642340700498558,2481.8956018845056,254
gbdt,0.977231843103993,+,0.19934595322807053,5,78,0.6148484085520947,0.7586578667174384,0.7159919717891812,2481.9550497270725,289
gbdt,0.9821590472493038,+,0.18289030661315148,5,64,0.4974169087201789,0.8848545878438061,0.7263679614529399,2482.156539372949,265
gbdt,0.7460421555511838,+,0.19970399534163594,5,87,0.8576829270821547,0.6367277761922039,0.5819442534672585,2482.363077565354,159
dart,0.9434340190231789,+,0.5810741157023132,5,96,0.7739764901659244,0.2802623070114107,0.7900807869774443,2482.6065145832645,26
dart,0.7036653727961514,+,0.5996441332540837,5,89,0.9797772854432726,0.5610932484016515,0.7412156937631973,2482.750308089568,66
gbdt,0.9273319434207817,+,0.23106283917443576,5,70,0.34334290404814527,0.26409195150004,0.6382676148935195,2482.951183537806,191
gbdt,0.8646473701888705,+,0.24469866040745888,5,43,0.3677546218581271,0.4349965187741922,0.7656411761844889,2482.9585615692467,145
dart,0.7239776831770554,+,0.5862305229627444,5,89,0.9624750299135552,0.5380518953267175,0.7109719702784396,2483.09161121046,48
gbdt,0.8892614453213109,+,0.2496033483217356,5,49,0.11108423718878724,0.6121465752759077,0.6097633573822372,2483.1361658757983,57
dart,0.6939968378158088,+,0.5710900312641001,5,82,0.9949625488249392,0.6601940771229845,0.7861309665243918,2483.229371838746,69
gbdt,0.9948625957665733,+,0.18612644278413426,5,46,0.41006927905658885,0.037295718885331175,0.60953788265688,2483.236684719953,190
gbdt,0.9050644488270106,+,0.25469409971628043,5,59,0.704774879998747,0.2469330736937565,0.6926584364638967,2483.473847287824,95
gbdt,0.8664064444043351,+,0.2382715127376767,5,52,0.864801419261788,0.39690285655234697,0.7593838611542836,2483.602426933278,79
gbdt,0.7645519591546367,+,0.26011080126053077,5,95,0.5030279428227763,0.1517026027790161,0.5663402920691311,2483.757288099941,155
gbdt,0.7159910861928088,+,0.23681688742393553,5,67,0.27491745633183273,0.0288212833952185,0.5871996123473147,2483.912956251799,124
gbdt,0.8340345697583853,+,0.19490572036478804,5,85,0.6866126123632417,0.08530394443035726,0.5145669722320158,2483.939708959267,149
gbdt,0.8319668885948726,+,0.20045884433283642,5,72,0.4775502576721569,0.31154658168930033,0.5458193212623168,2484.0238556367663,175
gbdt,0.7616517573862681,+,0.20565331451147478,5,60,0.9017706619533352,0.12840063581643865,0.5019489315335011,2484.240216306353,119
gbdt,0.7140346330448178,+,0.18051170648844647,5,67,0.5375101749605831,0.449663255954786,0.5691965896717791,2484.435436560685,212
gbdt,0.8813510745903834,+,0.18526664255230404,5,38,0.7792928676107967,0.09697490900896066,0.6327152959229412,2484.717156355542,114
gbdt,0.9316108198646947,+,0.2691580461773995,5,40,0.5415218624213157,0.7875648608583068,0.6626572289542811,2484.726777148338,263
gbdt,0.8005140068298617,+,0.2164923744807838,5,85,0.7904320074047531,0.34300016581543646,0.7991140102435484,2485.027694736992,169
gbdt,0.7683414110662655,+,0.22478658216935615,5,50,0.15645286093635247,0.2191755165477069,0.5080741387343387,2485.2978161626147,111
gbdt,0.9577785082974313,+,0.2931709388973045,5,92,0.4642936632829122,0.6412066820987322,0.6709797880821863,2485.30307352906,267
dart,0.7381464213432993,+,0.5711955967313911,5,76,0.8852463451446841,0.7570735449334683,0.9007991886619509,2485.481073122008,89
dart,0.9354857842920729,+,0.6487548745790175,5,96,0.9979955354555463,0.23490135588242161,0.8382798467163728,2485.6275256374074,24
gbdt,0.6857556520119007,+,0.23144442164942244,5,93,0.8483704409428359,0.49208097209319546,0.6323534936531667,2485.732210792943,225
gbdt,0.7990316201185081,+,0.16923612360772972,5,82,0.654455098424536,0.02245529384545766,0.6494334780632951,2486.007317246813,154
dart,0.7471845155291815,+,0.5152573652628714,5,71,0.7734090150379991,0.42801987607273495,0.7740407289549995,2486.14503902899,76
gbdt,0.9041031915054806,+,0.293126531749648,5,41,0.5348694963962416,0.8076287786249838,0.5167328923929726,2486.6039476630413,293
gbdt,0.7106516416172572,+,0.28631445139792483,5,86,0.9533862080367356,0.371943549764857,0.5614381594043303,2486.6054139026514,166
gbdt,0.793585556396595,+,0.26843818993624613,5,37,0.7721355541750841,0.1083560574054146,0.5125535246296897,2486.740818419539,29
gbdt,0.7603120522854292,+,0.17583197036149803,5,44,0.27888975180663456,0.7134502533106886,0.6721777933583386,2486.7834086326025,287
dart,0.9040685621211095,+,0.6606769073392119,5,46,0.4693665134477422,0.22030368575950066,0.7658020630047943,2486.833702700861,34
gbdt,0.632128134738478,+,0.2434497995401911,5,77,0.6413801359604416,0.90050234050023,0.6274158591579909,2486.868616870922,278
gbdt,0.9161778108001977,+,0.2701106513361925,5,45,0.2066907262727277,0.2701008550083098,0.5798084954177976,2486.92434416351,135
gbdt,0.9059216296676377,+,0.28667338346004095,5,44,0.31896023107090676,0.4746598525194846,0.7030537938546935,2486.990873200717,201
gbdt,0.9187705437519271,+,0.16862883275516347,5,45,0.48538806518317784,0.04610995935778263,0.5972952883174849,2487.164773737777,205
gbdt,0.8288543871228045,+,0.26946913655232974,5,77,0.7603326640626158,0.1598591776299441,0.5278591349903988,2487.2027129287058,117
gbdt,0.8530297977640987,+,0.15781290393815697,5,86,0.5020911737713547,0.4654638596485974,0.7281749360788434,2487.5834479101454,38
gbdt,0.7564368168724993,+,0.2869468010700304,5,48,0.5815254686150829,0.29207412992286363,0.5007149467057866,2487.7299224579733,151
gbdt,0.9108965190988332,+,0.27908417086092896,5,55,0.4045617808597627,0.9409270595400843,0.5880574550644887,2487.779757152965,282
gbdt,0.7779699037342122,+,0.27306642162191863,5,90,0.6251245908590395,0.7269868287717962,0.8049276309696983,2487.7817378803747,36
gbdt,0.7760890261446085,+,0.1597682683735916,5,31,0.5985784620088999,0.2939381850869534,0.6554914059678696,2488.1229537270765,121
gbdt,0.6989845766265746,+,0.1783098052490613,5,34,0.7048793884665729,0.554269616509544,0.6176981576786386,2488.175660080173,167
dart,0.912414613343643,+,0.7278488197677649,5,44,0.39943092646895356,0.7742604491211262,0.5867079860617883,2488.618773922635,39
gbdt,0.9795266915727503,+,0.16260913288371964,5,87,0.34523136660187376,0.8610271152417172,0.5650201086783256,2489.1271521423773,259
gbdt,0.8810861833513464,+,0.1571074085161738,5,67,0.4720018917325709,0.7773057887412254,0.7361138564925023,2489.290747394876,290
gbdt,0.9819538264738646,+,0.302245577071555,5,75,0.23149129197515392,0.004015317078577552,0.864814200578637,2489.428413778922,187
gbdt,0.726106097157665,+,0.17840820626789228,5,65,0.1380070159208032,0.7374922342607502,0.5523338266379447,2489.4429368076776,252
gbdt,0.8552129152213304,+,0.3074628897331521,5,35,0.47701010107164327,0.18433260797123255,0.6745507165677789,2489.5842312555446,138
dart,0.8472336506754105,+,0.437320731611665,5,32,0.7479665811660932,0.273470041500215,0.9618044952609502,2489.851816649896,80
gbdt,0.9256154457095077,+,0.31154517897439254,5,93,0.6514517383359573,0.8179589203260798,0.5051182468278007,2489.934309705382,59
gbdt,0.7654257809853363,+,0.16377656632010074,5,66,0.0027400473475404225,0.7250796225780773,0.6032709717225466,2489.973735540687,273
gbdt,0.7189345239358501,+,0.17168449201601627,5,78,0.5176719973282565,0.3446201802458764,0.6265021581920516,2490.0498578084557,130
gbdt,0.6885321082662577,+,0.31727277794198244,5,47,0.5163301370091177,0.28482483132818975,0.8192458309014022,2490.356555263327,172
gbdt,0.9564149549195136,+,0.3122479004206358,5,50,0.4867655006949275,0.6234261072020868,0.5597727358105381,2490.4378049034763,277
gbdt,0.7797346557544751,+,0.16602073198499662,5,64,0.6869757451328448,0.599334597591862,0.6799401303098392,2490.6837123487635,179
gbdt,0.8623670670860122,+,0.15598816624624073,5,63,0.21748761663586125,0.6163734598080248,0.5009759291869861,2490.7484198469742,216
gbdt,0.7298270260281476,+,0.15632972388716776,5,94,0.879501856863482,0.052592504959005776,0.6007022551468185,2491.1296617247563,152
gbdt,0.9927572565670044,+,0.30805891506531435,5,40,0.3852644824308333,0.9433331563134701,0.6261230125683515,2491.1486776943784,261
gbdt,0.8459912537847234,+,0.14772622881586842,5,82,0.10730746750093989,0.19054506380768133,0.5883122399159515,2491.2235424180526,224
gbdt,0.8089136711997246,+,0.1533236016674142,5,51,0.33080908940413634,0.5171725938063396,0.5159189185491881,2491.3049007851264,171
dart,0.6486822653112471,+,0.46076385076112747,5,94,0.8809890661949821,0.4880139163764802,0.8056226913827761,2491.6251798981625,68
dart,0.7370287807696168,+,0.7531870019587755,5,74,0.3988378378071842,0.11990678505469782,0.861846628354164,2492.050854942418,60
gbdt,0.7978383243325995,+,0.1466063710646386,5,62,0.6663968677577804,0.0050510810212994195,0.5656208025368027,2492.1698778440004,107
dart,0.8572507096317562,+,0.7895696756182108,5,58,0.04418617099557842,0.8964998379885621,0.8494455451021505,2492.344597402464,98
gbdt,0.6588935547196018,+,0.14680391363801928,5,57,0.43104661110093,0.19183169871197586,0.5547266276475904,2492.6238372156536,195
gbdt,0.8959745294280692,+,0.1475678475419053,5,80,0.10085285116131143,0.3781100057417951,0.6557776570016753,2492.754133039693,133
gbdt,0.791014990262402,+,0.3265486092970664,5,85,0.7218686411796162,0.10784421676305628,0.6220314191425259,2492.848530988246,150
dart,0.8482134396009249,+,0.8064990807345942,5,96,0.5592020436898194,0.3033684111507078,0.7973014845591315,2493.8904301801504,25
gbdt,0.7389604127056001,+,0.14543521070392076,5,68,0.33728836908572807,0.6565060243497576,0.6574884148905213,2493.955828858605,279
gbdt,0.8039502464624797,+,0.3330283453527548,5,98,0.47628151131606344,0.4734745094566831,0.977637374446773,2494.4247378106083,84
gbdt,0.9982614141636559,+,0.1400996057880016,5,40,0.4765030180481212,0.8330313417364423,0.6084593048761269,2494.630616083476,264
gbdt,0.78591884009873,+,0.14126455887211034,5,71,0.8368568017357034,0.5247259018048864,0.5462284062206206,2494.8674831209178,161
dart,0.9341579389362046,+,0.38566678571648844,5,30,0.981597111595258,0.15257507171296741,0.9142400769853948,2495.4473781456086,22
gbdt,0.973210852405168,+,0.13793688205456361,5,33,0.07175203538406327,0.9261901620436502,0.6182832877480917,2495.5841893164165,232
dart,0.8404879058548306,+,0.38485723299504554,5,53,0.854006175927892,0.5559282376388855,0.7468626148610514,2495.7351689362386,58
dart,0.8215578336647457,+,0.847900495591068,5,65,0.8111197633891083,0.7271949855571659,0.8325882268706684,2495.762517422893,82
dart,0.7782938664134282,+,0.39151717468639424,5,95,0.6791355040017734,0.5151070113309735,0.7241787954138905,2495.887432628918,71
dart,0.7520723284830206,+,0.8666735011282625,5,89,0.800516227793515,0.5706669374569504,0.6652582702671181,2496.00129781316,70
gbdt,0.9991661035412512,+,0.33429147781383983,5,66,0.5220112779442772,0.7777315361266478,0.6486888463239473,2496.609967141108,274
gbdt,0.8355015273049257,+,0.318822829483326,5,54,0.218053079296194,0.07009567595654786,0.5954276622571257,2496.8325627514077,40
dart,0.9643061016117032,+,0.35195797696254294,5,88,0.03378065716277891,0.7470986223561638,0.9387259624895293,2497.250172945943,291
gbdt,0.6774003934927069,+,0.35371665246850714,5,75,0.38984166327826786,0.07018770372668524,0.6535429559974205,2497.3342865805976,196
gbdt,0.7339927079698604,+,0.33438071521584284,5,86,0.46111543595417404,0.30855450991697514,0.5164085844370768,2497.369397851856,126
gbdt,0.8282288391185221,+,0.13470772614440363,5,62,0.6492917662795492,0.14116640456185325,0.5463374726379415,2497.4508857509586,146
gbdt,0.8556211058367594,+,0.13550180195189965,5,66,0.6158538969490956,0.36423375347688236,0.9083004150664555,2497.715153357041,181
gbdt,0.8707890645252186,+,0.12950174598131722,5,87,0.8006500782294484,0.46286146379628457,0.6405419741968923,2497.8862076891787,157
gbdt,0.9910637535811153,+,0.13030463150673466,5,31,0.6088891514909147,0.9987478151612347,0.6198802407739926,2498.020452005561,272
gbdt,0.9849645878752099,+,0.1264272582070737,5,72,0.12497671847818145,0.9452825620813539,0.5061309620122278,2498.495342250704,245
dart,0.6389983653861535,+,0.3888539830287766,5,30,0.9209817283659104,0.6370340314241265,0.6308684032130806,2499.204408049457,15
gbdt,0.6512763840133176,+,0.13955800050262315,5,66,0.5813032221455275,0.5812663848459438,0.5551435835803067,2499.282780881071,296
dart,0.999081632108282,+,0.34367058314015864,5,91,0.8930611361659586,0.8687864793264987,0.5014450707447262,2499.914661848819,45
gbdt,0.9815313283129785,+,0.3593648514801372,5,84,0.4390645559221945,0.9173840586996956,0.7084517866406275,2500.085527870832,270
gbdt,0.732551110644684,+,0.13191678432018525,5,56,0.42847218195202996,0.8648158943114409,0.7370421852852289,2500.533700550529,207
gbdt,0.8437938996906463,+,0.12540929076108234,5,91,0.727121257407631,0.26229256854798355,0.6158570296624087,2502.0051474167763,120
gbdt,0.9279358736909494,+,0.37251137866442907,5,49,0.5673122572133842,0.2539032434547339,0.5225153941723163,2502.305330604537,137
dart,0.8904069190248884,+,0.8926073643392719,5,84,0.943956058678149,0.6728978137723856,0.7609390619727466,2502.760177237467,96
gbdt,0.837787733246089,+,0.12098674923901136,5,58,0.5747255931265547,0.7393312506199894,0.5662051037435191,2503.4445151822147,183
gbdt,0.6680345894811704,+,0.34913198460809874,5,87,0.004173530071668985,0.4046493384111651,0.549546965987546,2503.541700905076,217
gbdt,0.8911201211606382,+,0.12086931737314786,5,83,0.9944814573523869,0.3304782487307961,0.5272860082856353,2503.659436342962,223
gbdt,0.9748240417937808,+,0.3775474887529491,5,51,0.12159763380039273,0.8151203104482152,0.5404784252229141,2503.979161603929,248
dart,0.6068387213316888,+,0.3608652905857078,5,97,0.9328360844556483,0.3639783610567151,0.6826813405721318,2504.3151980973894,74
