feature,weight,std
horsepower,0.46446007174837367,0.002811808442836796
fuel_tank_volume,0.12214497427819355,0.0009692824561781515
year,0.11141347000671731,0.00027568406443548884
height,0.10773249084266956,0.000762240293578217
wheelbase,0.0780107680772392,0.0005721720795489267
width,0.07481286220122929,0.0006480854878717751
length,0.06856808000294008,0.0003726084977330039
mileage,0.06845189031605085,0.0004765389819107791
wheel_system_display_Front-Wheel Drive,0.04107490833203786,0.000398028270017262
maximum_seating,0.038350660998034726,0.00029073395026676257
highway_fuel_economy,0.03234675893207375,0.0002384879274162438
city_fuel_economy,0.02995304876395133,0.00024557999638064634
engine_displacement,0.02646940569255669,0.00012457239200474538
back_legroom,0.02527335461321869,0.00014131569649586924
horsepower_rpm,0.022679583202077903,0.00014581940675243902
savings_amount,0.020240921723515614,0.0002426971564082011
front_legroom,0.018352957187860695,0.00029986026884622907
body_type_SUV / Crossover,0.01608010736310226,9.659009696997215e-05
is_new,0.015926607358314703,0.00016184246368383434
wheel_system_display_Four-Wheel Drive,0.0107733354666943,5.09158380429003e-05
