boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.5798147990612129,+,0.06557409321660655,14,0,190,0.3305861785434602,0.21509705682764915,0.6270120408042961,2397.106903656711,252
gbdt,0.5210586312933714,+,0.06210435516340739,14,0,188,0.4696311686366267,0.3704961702336711,0.4454662272265345,2398.349386498256,265
gbdt,0.509404281151935,+,0.0598258931137753,14,0,177,0.4422477759956938,0.27223614486228265,0.5789158756117077,2399.979023215829,262
gbdt,0.6499452524447308,+,0.051797954410596585,14,0,198,0.18971017140323515,0.3563865312354414,0.5927939571167227,2399.9952960370933,371
gbdt,0.6168263724464699,+,0.07583392210860747,12,0,198,0.2979655021307832,0.4323842718573615,0.6390271762804991,2400.141460091783,380
gbdt,0.6319607598547486,+,0.05569160735711916,12,0,192,0.24642784742371615,0.12175014895503916,0.8369050999796784,2400.418602397316,28
gbdt,0.5278978719555157,+,0.06131052314612044,14,0,190,0.25724322995056925,0.2659645014975257,0.5782046624079272,2400.9456316202136,261
gbdt,0.5256640579953357,+,0.05333496123462786,14,0,190,0.6234552885806101,0.4339377090467301,0.42751339534894955,2401.178174482048,269
gbdt,0.6485344814615994,+,0.0762360635544098,12,0,192,0.25920491848213667,0.3536030811856994,0.5712177799704626,2402.1354607382345,412
gbdt,0.7691276733582658,+,0.06580138951146305,14,0,193,0.13700547791320075,0.7917562624885263,0.6825889679929854,2402.8043905638765,152
gbdt,0.5427985707990144,+,0.08082947427868989,14,0,177,0.34461903299355184,0.26695914856279435,0.5961314645607809,2402.9137576516173,258
gbdt,0.66631789136292,+,0.055821561229906204,14,0,178,0.39999991045792993,0.4250925212865785,0.7093786784836883,2403.0762524809875,388
gbdt,0.6976871399906502,+,0.07553457733286252,14,0,173,0.27656272258558234,0.864962348394382,0.8766675574739643,2403.325602569468,59
gbdt,0.56712873009336,+,0.08540311793007282,14,0,177,0.3356461565656021,0.25576717733580706,0.6004812262681308,2404.091028473993,259
gbdt,0.5502455420967558,+,0.09695971883104651,12,0,173,0.32031213775657463,0.1842104419426533,0.647829255511178,2404.712976208872,42
gbdt,0.5467441023501853,+,0.05942729565435122,14,0,166,0.33518622056455,0.19866356223288176,0.6891541558809253,2404.742794423219,477
gbdt,0.628355291775269,+,0.08825316279176008,14,0,198,0.3210890772216347,0.46609282487909354,0.6689478159839102,2404.825574011822,385
gbdt,0.6432499980010548,+,0.046329019784350126,14,0,196,0.03564616739284451,0.2910489046740131,0.5624908493332745,2405.2922252216163,377
gbdt,0.7546101159681549,+,0.05822065914217164,14,0,180,0.18596326271318142,0.8155708361511609,0.7747469936909707,2406.734808612737,146
gbdt,0.528342752898819,+,0.06129141708929709,14,0,151,0.4641764736364303,0.20132428678210823,0.441758101327757,2407.3635340828914,276
gbdt,0.6026703426298835,+,0.06982876488942408,12,0,154,0.34399217143476535,0.9974631580073073,0.4856507883335706,2407.455364553326,166
