feature,weight,std
horsepower,0.27047671851386734,0.001866883501881568
year,0.11083224844831067,0.0003244433288148518
width,0.08958840895955159,0.000464825469357581
mileage,0.08376656116451286,0.00037379975852994216
engine_displacement,0.04581642026291286,0.00037159073651857485
height,0.03950695543461276,0.00044412555192184673
wheel_system_display_Front-Wheel Drive,0.029725109452337195,0.0003572485040819061
wheelbase,0.029653260986347973,0.00013666968828486486
horsepower_rpm,0.025803905232695136,7.026771887277261e-05
maximum_seating,0.025676912914776938,9.68009296576128e-05
fuel_tank_volume,0.02400976105184811,0.0001228426142694546
highway_fuel_economy,0.019526243509429997,0.000261261550646128
back_legroom,0.019516870781591943,0.00018664170069390617
savings_amount,0.01737838135715768,0.00018639241461739764
length,0.015530385038512872,0.00011929643730143442
front_legroom,0.011155608191927601,0.00021105536731372973
wheel_system_display_Four-Wheel Drive,0.010423385867874991,0.00011128046243234389
city_fuel_economy,0.008599642374196992,0.00017391521538251712
is_new,0.007874997002522411,0.00011818618594653529
daysonmarket,0.005339359106906039,0.0001677457254420192
