feature,weight,std
horsepower,0.39627283988584006,0.0014873606102064956
mileage,0.13209532457232503,0.0010544709838397194
width,0.08168343331102616,0.0008255715145725201
year,0.07969764171142979,0.0010069838142629072
horsepower_rpm,0.0341927614859137,0.00035445108827178705
wheel_system_display_Front-Wheel Drive,0.03190112139202332,0.00018291837831865482
fuel_tank_volume,0.026881372078636945,0.0001689671457138089
engine_displacement,0.02183304614375723,0.00018071216092503857
back_legroom,0.018237287495361264,0.00016787456204289086
highway_fuel_economy,0.01733484339671463,0.00030091222499213
wheelbase,0.017250936766232416,0.00022720210868073935
height,0.017154325423473994,7.233034633278398e-05
savings_amount,0.01281400106422943,0.0001541716930718635
maximum_seating,0.011350300911140022,0.00014911154128448937
length,0.010790962218989342,0.00012296821573827159
wheel_system_display_Four-Wheel Drive,0.009823294742315003,0.00019566368251136557
front_legroom,0.008583501909844405,0.00015456612760318474
wheel_system_display_All-Wheel Drive,0.007197964090432452,0.0001379213513165934
city_fuel_economy,0.006207258526955228,7.720511053721572e-05
daysonmarket,0.0036058535986503103,4.996607360955113e-05
