iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
115,9568.14961859902,2022-04-05 21:39:28.489085,2022-04-05 21:39:35.373429,0 days 00:00:06.884344,8,0.7920822759524717,0.020890108169272194,0.001436752808601814,0.00771250090405548,9,540,935,353,0.8917218913265061,COMPLETE
917,9568.149620515276,2022-04-05 23:15:24.042294,2022-04-05 23:15:31.497656,0 days 00:00:07.455362,8,0.8077421072736076,0.021873428856982503,0.0011121584267492167,0.007674646310585934,9,540,934,355,0.8917172998074491,COMPLETE
934,9568.149624295997,2022-04-05 23:17:29.845762,2022-04-05 23:17:37.300274,0 days 00:00:07.454512,8,0.7912869647049569,0.021758052346564853,0.0013389706402584967,0.0076698337023899535,9,540,931,353,0.8915665720891554,COMPLETE
644,9568.149624988067,2022-04-05 22:42:06.674699,2022-04-05 22:42:13.746466,0 days 00:00:07.071767,10,0.7980393350432797,0.02053529230963647,0.0015072435813642583,0.007747759335457424,9,540,930,352,0.8915064791653274,COMPLETE
489,9568.149625036165,2022-04-05 22:23:33.788146,2022-04-05 22:23:40.868931,0 days 00:00:07.080785,8,0.7916162029396172,0.021822660419158316,0.001410517685904498,0.007747595855187291,9,540,935,354,0.8915022537453979,COMPLETE
247,9568.149633313396,2022-04-05 21:54:57.150914,2022-04-05 21:55:04.201004,0 days 00:00:07.050090,10,0.7974826271306292,0.020283729155636223,0.0012014694582607004,0.0077593337481207,9,540,935,350,0.8915293598045796,COMPLETE
666,9568.149636055417,2022-04-05 22:44:45.220965,2022-04-05 22:44:52.385560,0 days 00:00:07.164595,10,0.7994536325371325,0.02059396579897127,0.0015040118990562472,0.007762368609705607,9,540,932,351,0.8917447987360614,COMPLETE
483,9568.149636075519,2022-04-05 22:22:51.191565,2022-04-05 22:22:58.286729,0 days 00:00:07.095164,8,0.7990931725689152,0.021789060414423623,0.0012171445152138983,0.007689415008308618,9,540,935,350,0.8915907225626912,COMPLETE
647,9568.14963658518,2022-04-05 22:42:28.629527,2022-04-05 22:42:35.892974,0 days 00:00:07.263447,10,0.7992143170467153,0.020289593138812536,0.001497474186139422,0.0077683315801395075,9,540,931,351,0.8917036496389517,COMPLETE
770,9568.149637255134,2022-04-05 22:57:19.735236,2022-04-05 22:57:26.933558,0 days 00:00:07.198322,8,0.7992838547223159,0.021611324078138937,0.0010193812934774147,0.0077647587989008076,9,540,935,350,0.8917488500570997,COMPLETE
767,9568.1496372973,2022-04-05 22:56:58.135765,2022-04-05 22:57:05.314697,0 days 00:00:07.178932,8,0.7986657322777765,0.021716331876712108,0.0010481489189352897,0.007773020383478012,9,540,935,351,0.8914903851725409,COMPLETE
838,9568.14963894661,2022-04-05 23:05:38.428730,2022-04-05 23:05:45.737100,0 days 00:00:07.308370,8,0.802989925187537,0.0230230884265619,0.0010760860303381302,0.0077706238369261915,9,540,933,352,0.8915102701238018,COMPLETE
161,9568.149639704665,2022-04-05 21:44:51.054251,2022-04-05 21:44:58.137508,0 days 00:00:07.083257,8,0.8073685471709354,0.020947518761426125,0.001265598032920461,0.007777136066998923,9,540,926,353,0.8914838418132971,COMPLETE
612,9568.149639817264,2022-04-05 22:38:17.721933,2022-04-05 22:38:24.820453,0 days 00:00:07.098520,10,0.8074291261313796,0.020863127485524866,0.0010979944583055625,0.007768834451626246,9,540,935,350,0.8915573952942767,COMPLETE
422,9568.149645678672,2022-04-05 22:15:36.657085,2022-04-05 22:15:43.798951,0 days 00:00:07.141866,8,0.7924092317287423,0.020014212748390953,0.0012219503293043506,0.0077834809987360155,9,540,935,350,0.8917229414600281,COMPLETE
963,9568.149648410215,2022-04-05 23:21:06.447818,2022-04-05 23:21:14.014821,0 days 00:00:07.567003,8,0.8010098996517095,0.020227413324318978,0.0013841155425600854,0.007756101793320431,9,540,932,352,0.8915729138845976,COMPLETE
182,9568.149648495048,2022-04-05 21:47:19.109766,2022-04-05 21:47:26.120306,0 days 00:00:07.010540,8,0.794784784090211,0.02186821852292262,0.0010717877693035593,0.007783086992751405,9,540,935,350,0.891561246709698,COMPLETE
412,9568.149650572625,2022-04-05 22:14:25.801800,2022-04-05 22:14:33.053401,0 days 00:00:07.251601,8,0.796429484003097,0.020542002822107375,0.0012311982340638002,0.00776608524028118,9,540,934,350,0.8916708265528968,COMPLETE
798,9568.14965098047,2022-04-05 23:00:45.513620,2022-04-05 23:00:52.842574,0 days 00:00:07.328954,8,0.7924529274737548,0.022459122531145573,0.0015079672687606453,0.007791011901129849,9,540,931,351,0.8917054981204825,COMPLETE
617,9568.149651239466,2022-04-05 22:38:53.274483,2022-04-05 22:39:00.621823,0 days 00:00:07.347340,10,0.8083501538900772,0.020701663699339894,0.001086926212259019,0.007763271970100753,9,540,935,351,0.8916287821482348,COMPLETE
987,9568.149651460328,2022-04-05 23:24:06.461183,2022-04-05 23:24:13.886479,0 days 00:00:07.425296,8,0.8003639147118823,0.022007972373488498,0.001439683273296434,0.007757946382783639,9,540,931,351,0.8916348214703641,COMPLETE
653,9568.149653626937,2022-04-05 22:43:11.449642,2022-04-05 22:43:18.548517,0 days 00:00:07.098875,10,0.800531124922924,0.020235432678254155,0.0015388503329057243,0.007771848937021216,9,540,931,351,0.8916924000785809,COMPLETE
130,9568.14965738502,2022-04-05 21:41:12.388257,2022-04-05 21:41:19.441635,0 days 00:00:07.053378,8,0.7995835686420573,0.020574689308697207,0.0012368446777324448,0.007799389398528514,9,540,935,350,0.8917102606131779,COMPLETE
245,9568.14965758339,2022-04-05 21:54:42.939886,2022-04-05 21:54:50.023995,0 days 00:00:07.084109,8,0.7956746669960945,0.020513665288095263,0.0012334516010739185,0.007770111458792165,9,540,935,350,0.8914722269536948,COMPLETE
828,9568.149658690078,2022-04-05 23:04:25.290966,2022-04-05 23:04:32.550270,0 days 00:00:07.259304,8,0.8027616284038768,0.02380623665817565,0.0011141415584826767,0.00779944704705499,9,540,935,352,0.8915143153709876,COMPLETE
636,9568.149658691738,2022-04-05 22:41:09.453909,2022-04-05 22:41:16.551173,0 days 00:00:07.097264,10,0.800424594882452,0.02062148396393557,0.0010943127942719412,0.0077717012631541155,9,540,931,352,0.8916510178438526,COMPLETE
236,9568.14966628053,2022-04-05 21:53:38.896915,2022-04-05 21:53:45.980237,0 days 00:00:07.083322,8,0.7976180542608258,0.02008281455018043,0.0013046285963825928,0.007791488463965926,9,540,935,350,0.89168584865008,COMPLETE
181,9568.149670520483,2022-04-05 21:47:12.110723,2022-04-05 21:47:19.109533,0 days 00:00:06.998810,8,0.7943484625562054,0.021613076892188027,0.0010794956717309731,0.007774794373262833,9,540,935,350,0.891761401099569,COMPLETE
591,9568.149670542409,2022-04-05 22:35:47.136284,2022-04-05 22:35:54.346472,0 days 00:00:07.210188,8,0.8063838583515595,0.021609391098628843,0.001199915779534129,0.007774761893132735,9,540,935,350,0.8917625987668424,COMPLETE
423,9568.14967059232,2022-04-05 22:15:43.799335,2022-04-05 22:15:50.881576,0 days 00:00:07.082241,8,0.7921847434692866,0.020118082225367047,0.001410550933125526,0.007793987633007085,9,540,935,350,0.8916229457037104,COMPLETE
242,9568.149672015841,2022-04-05 21:54:21.851113,2022-04-05 21:54:28.863508,0 days 00:00:07.012395,8,0.7972853794653915,0.020324208277099163,0.001230651435222982,0.0077771338660494035,9,540,935,350,0.8917566597463579,COMPLETE
129,9568.149673338407,2022-04-05 21:41:05.429291,2022-04-05 21:41:12.387999,0 days 00:00:06.958708,8,0.799358656227322,0.02063299744985186,0.0012424602278409257,0.0077941288185872926,9,540,935,350,0.8916515967496377,COMPLETE
821,9568.149674537644,2022-04-05 23:03:34.023496,2022-04-05 23:03:41.397736,0 days 00:00:07.374240,8,0.7966604450548573,0.02175485948024575,0.0013957926967159816,0.007741992305339902,9,540,934,350,0.8917894012244456,COMPLETE
133,9568.149674906601,2022-04-05 21:41:33.499363,2022-04-05 21:41:40.579820,0 days 00:00:07.080457,8,0.7998358791174353,0.0205365436743652,0.0012356158890726335,0.007795517915817836,9,540,935,351,0.8914649408006047,COMPLETE
830,9568.149676145951,2022-04-05 23:04:40.021617,2022-04-05 23:04:47.230039,0 days 00:00:07.208422,10,0.803076126411615,0.022059102583901584,0.00107158557566405,0.007801032563146058,9,540,935,352,0.8916207006515603,COMPLETE
192,9568.149677276304,2022-04-05 21:48:29.591792,2022-04-05 21:48:36.543151,0 days 00:00:06.951359,8,0.7965436384558693,0.020444412275757048,0.0012327727952796594,0.007823684999284857,9,540,935,351,0.8914993831827287,COMPLETE
697,9568.149677980296,2022-04-05 22:48:28.578557,2022-04-05 22:48:35.738557,0 days 00:00:07.160000,10,0.7994474837993347,0.022140281175594502,0.0014784304880705041,0.007735575850827744,9,540,929,350,0.8918229083026944,COMPLETE
997,9568.14968058416,2022-04-05 23:25:22.776781,2022-04-05 23:25:30.368536,0 days 00:00:07.591755,8,0.7912642375691081,0.022041341816495287,0.0014172129133453132,0.007756611770161459,9,540,932,351,0.8918064085373733,COMPLETE
