depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,random_state,task_type,loss,iteration
12,469,0.9875868900318402,0.13564041870603102,19,16,42,GPU,2471.586965940244,29
12,424,0.33040719519574396,0.13592242425890189,13,19,42,GPU,2476.6703143975124,95
12,393,0.7052426234883451,0.13517475820895247,11,13,42,GPU,2477.054662263486,73
12,424,0.6530749562283613,0.11047670955950739,13,13,42,GPU,2479.448596640346,94
11,465,0.9999464344711486,0.10338497172777976,2,13,42,GPU,2480.0031424965614,56
12,422,0.949239659764334,0.11750617163200865,9,5,42,GPU,2480.686368306714,68
12,465,0.8850142113909147,0.17693796897787004,16,7,42,GPU,2480.7243937971607,92
11,396,0.4864997481123413,0.13640297066635426,11,13,42,GPU,2481.0416524642046,74
12,489,0.9008575168200333,0.15055510904017316,9,5,42,GPU,2482.184698999664,69
12,428,0.9956556324799216,0.17069515945654065,19,16,42,GPU,2482.661571188426,30
10,416,0.786604968164142,0.15684160825625532,16,16,42,GPU,2482.970800178905,34
9,492,0.8959688985554324,0.20691069397273573,9,16,42,GPU,2484.9121033854094,44
12,362,0.9860638108906792,0.16763870271172485,19,16,42,GPU,2485.6889429176504,31
12,331,0.8418110611846705,0.11787937923509612,12,18,42,GPU,2486.6795092063235,26
12,347,0.21181435697872242,0.09728319848735305,13,19,42,GPU,2486.9316858559664,99
12,476,0.9759403341414933,0.17319562444072753,19,16,42,GPU,2487.0406445074163,66
10,431,0.20064215065601448,0.23455230729311455,4,11,42,GPU,2487.875255585221,49
11,331,0.4023529359898438,0.1335717211754129,2,9,42,GPU,2488.357786290682,14
11,349,0.6063655786190597,0.20136529229096178,3,18,42,GPU,2489.276286005216,87
9,428,0.6743476045102346,0.2992357362545842,19,15,42,GPU,2489.54917051948,38
12,353,0.8655845060344068,0.10992140116356977,11,7,42,GPU,2489.9337610299235,23
12,321,0.17437494618517593,0.1621030369552432,19,16,42,GPU,2490.3235901958265,100
12,483,0.7752925189667463,0.07771960357225458,16,5,42,GPU,2491.44211099093,46
12,254,0.9951205427475217,0.20981811887618657,13,9,42,GPU,2491.838672950996,67
11,469,0.3862656444638222,0.08853642142160141,2,9,42,GPU,2491.842977003235,93
12,277,0.6133370924069637,0.15137915839517269,11,13,42,GPU,2492.6168156438143,75
11,465,0.756803566415056,0.08562270526675102,7,8,42,GPU,2493.072731505356,62
