depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,485,0.5300485720741474,0.12735731276187842,16,9,2414.922229196659,66
12,485,0.4978786211681663,0.12500719192274523,4,18,2415.9703121167727,61
12,496,0.8906446431882784,0.14680075872767842,4,15,2417.910243666986,98
12,485,0.8791428129047225,0.14253082734628567,16,7,2418.049337876092,28
11,484,0.5464920814397684,0.2072571284438685,16,9,2420.167535622804,86
12,474,0.928396248156304,0.11716267971158412,3,2,2423.121206203509,88
12,469,0.46894643002387665,0.10102689713655894,13,12,2423.4003593349016,73
12,492,0.6233416513479084,0.18066435770783928,4,17,2423.873719345732,85
10,480,0.596615611480004,0.23266266865702823,4,15,2426.131083279296,99
12,370,0.24424794060887117,0.1361904403666363,11,10,2427.7474147184844,79
12,348,0.5424464420133437,0.1646960654946919,16,16,2427.88903424324,56
12,361,0.7499589611068582,0.16158152622818883,19,7,2427.935414927504,24
12,361,0.7167076075935522,0.15702245209110033,19,7,2427.987392754573,23
12,361,0.7329771699606111,0.16446162716494503,19,7,2428.029086524067,22
12,339,0.48850355598958534,0.15834368898058446,18,7,2428.8198578362408,90
12,396,0.7673002656960634,0.16729042194606247,17,5,2429.6996134286787,26
12,419,0.28972149521814194,0.10738592494666677,5,4,2429.9665380823235,72
12,320,0.4559868048416094,0.15358307827838233,9,9,2432.96328074022,67
12,437,0.8605718951033486,0.0981339356795197,6,12,2433.43186577554,42
12,343,0.5664556312918742,0.12850038427995947,15,9,2435.5022645687227,68
12,278,0.8118813817792863,0.21549341464901917,15,11,2437.594250618936,48
12,479,0.7707895338229991,0.08149896004775564,16,3,2438.234364135842,82
11,442,0.9519761189432641,0.10885629874469889,9,7,2440.149378986124,47
12,262,0.6533190561917686,0.22838058262229644,14,10,2442.4758377542,20
9,485,0.6840600760650619,0.17164011531525591,10,7,2446.8826183629817,84
12,263,0.6481819633043101,0.14971594538278055,4,15,2446.9134204153643,100
12,252,0.6838732149796041,0.23551329812732988,19,8,2447.4711746307144,54
11,291,0.09155655107345931,0.25598029557793844,10,8,2447.5494441115466,16
12,387,0.38700781676690055,0.08550689279861196,17,9,2449.079519121832,70
12,291,0.7062696488302284,0.25915094810851813,10,8,2450.115697049203,21
11,245,0.9400797107429321,0.22385542542667985,9,3,2453.9870660502847,6
9,485,0.7076393212348121,0.14677452611209088,4,9,2455.17699033041,75
11,223,0.24560393144893894,0.2763024203369365,15,18,2456.65237322873,15
11,314,0.879762742259985,0.13412251997777913,13,14,2456.662639785068,52
9,362,0.13195220583868256,0.2973218322377191,4,6,2457.895876734593,18
12,226,0.1904973714557559,0.14213603000529948,12,19,2460.552116740193,69
12,451,0.40414582617154843,0.2649092082419885,16,16,2461.8842665419043,58
10,268,0.6048754674323772,0.19136095300609385,2,16,2464.940012395171,3
12,299,0.9716278640666771,0.10105979363049704,2,6,2465.6476753795464,96
12,232,0.8273038859771966,0.13085977831231746,16,13,2467.514811668741,30
10,313,0.5699320863877169,0.15149983260955763,16,16,2468.083025212167,43
8,445,0.6355488355498611,0.20141965910400914,14,10,2469.813119713014,55
12,222,0.4623035952087811,0.12289672578432104,19,19,2477.0875878604083,37
12,131,0.6044148831242858,0.28983450650732634,10,9,2477.2711766794305,19
11,166,0.36543270260218985,0.2326317772104819,13,16,2478.0738853427342,8
12,198,0.7901769236128614,0.14558611001987062,7,4,2480.597211644444,38
11,207,0.5859177017826777,0.15750087156765272,8,18,2483.0382022049603,77
9,256,0.1518058534926004,0.22642895718396322,6,11,2484.87934276141,11
12,261,0.30857579345919883,0.09334838875861423,15,4,2485.115013610073,91
10,218,0.5900357006192825,0.1804896759363639,8,14,2490.2399775424065,36
11,173,0.24636195170533443,0.1720237697739955,16,16,2496.651134502104,59
7,435,0.14224660090584984,0.1997179045559599,6,14,2512.366378699935,83
12,334,0.9039234659014617,0.056807904230430306,16,19,2522.095791835145,29
10,269,0.7994644144487932,0.11252569844358659,9,2,2523.4775129006803,14
10,300,0.5327854241240929,0.0965581470035237,18,7,2523.769082922175,32
7,321,0.37942984479008723,0.2435548057031406,11,5,2535.292914623465,45
12,144,0.33521873589147877,0.1204728926162692,4,17,2536.316625968368,63
7,485,0.028658843878349938,0.1383964348272955,11,7,2537.8968677914554,33
8,227,0.7296055604644245,0.21912487470122616,7,8,2543.0275775098285,81
9,243,0.9809105399603928,0.1435898198616081,8,15,2544.085046785655,5
7,322,0.6584921280468521,0.20939300129961147,3,9,2545.316654582553,39
10,239,0.08113171171364741,0.10598715177447847,4,18,2546.475345435512,64
10,485,0.5135160996590952,0.048597340035713824,17,19,2554.550726231474,89
9,348,0.29175089755502626,0.08804694289184306,16,2,2557.117282202433,57
12,134,0.7890524200937578,0.11374760591477087,16,11,2561.793659798956,76
8,237,0.9662409909511102,0.17564185373035515,4,17,2566.04266639816,40
12,127,0.8477654882792884,0.11623242918060461,19,7,2568.8889065996327,25
8,214,0.7536317044445646,0.19370282091606686,17,18,2568.945276948169,44
11,231,0.44298212502117024,0.07526787786390411,16,11,2569.4784401917536,95
6,337,0.9005981700938158,0.252076346150108,18,13,2576.2625593512344,41
6,414,0.36417932011655757,0.18719938760007127,9,18,2577.956013005295,87
9,461,0.2562278346315252,0.05823044092299519,13,13,2579.8499959054047,94
12,271,0.5174647307309367,0.04822430625863183,3,5,2585.5503964053223,71
