depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,606,0.8167313773138138,0.11098135828254879,21,18,2433.071449644266,80
12,523,1.3010509948264406,0.15602302305706,20,17,2444.2811815311475,268
12,511,1.0527765101537765,0.18736277481124697,21,12,2457.0861086493014,133
13,511,0.8335842774174209,0.15622074355126347,21,21,2461.41953864172,8
12,579,1.3422217668988985,0.20113910551442946,21,12,2462.0664370273853,174
12,606,0.8388004195862704,0.05481333163802644,24,7,2465.3729623885056,14
12,325,0.5006233720323685,0.10964946351269114,21,18,2466.26776207332,113
12,335,1.071558348009877,0.1043293651383786,15,12,2469.3238683021914,217
13,456,1.2297706975587779,0.1856559460609484,22,11,2469.9273170106458,12
13,252,1.0851799791692873,0.1203856535045089,21,18,2475.923645476167,102
12,532,0.9543425755222638,0.04919393015848803,24,7,2490.053140533476,45
16,263,1.6923399138420743,0.06428497215071353,23,23,2499.1368660760486,15
14,653,1.227780789463945,0.166529153009486,17,16,2500.966877130189,1
13,384,1.7647123938732305,0.2718166615116894,19,16,2502.6250214195124,13
15,605,1.3712047144045685,0.13747005562197204,20,17,2502.954508134895,284
12,273,0.6663194378380437,0.3529650637797792,19,19,2521.2142584846065,22
14,394,1.167726852921632,0.2477272060298133,16,15,2527.647222558166,10
13,615,1.5735698931605493,0.26804391619256923,17,8,2531.571564486222,6
12,553,1.7161883335497645,0.35039792084883725,19,14,2541.303042718157,19
15,393,1.9710765756975648,0.24444485405864613,21,20,2546.335627382613,5
13,632,0.7876332473242684,0.01959366204571303,21,9,2575.7530543258417,119
14,607,1.8993019982717505,0.36658561415688923,22,21,2624.857370876991,2
13,254,0.6572887378290553,0.46017403561799464,20,7,2628.126864550542,4
16,418,1.401326465806632,0.3224970555951517,15,21,2631.485169010157,3
14,271,1.7020345314043606,0.4671700837475621,18,19,2640.090341178356,7
14,445,1.534129857207358,0.42820110780154186,18,15,2651.9136757273645,21
16,406,0.8818313867960672,0.37322854474033335,23,16,2674.122226485307,11
14,412,0.5320659272720538,0.4215426758558336,16,15,2674.4961268397883,20
16,620,0.9860899734265605,0.42045165415965796,19,15,2709.5799658837523,9
15,512,0.6847760694525493,0.49562420072184843,17,11,2754.980931529868,18
17,441,0.6235705319294838,0.42807717516902244,23,13,,16
