loss,params,iteration,train_time
3790.8437228247262,"{'depth': 6, 'iterations': 192, 'l2_leaf_reg': 0.3262527785293697, 'learning_rate': 0.0208084971279939, 'min_data_in_leaf': 12, 'one_hot_max_size': 11}",1,113.31649453500006
2636.4086419114346,"{'depth': 6, 'iterations': 302, 'l2_leaf_reg': 0.419977446160683, 'learning_rate': 0.20107736968585346, 'min_data_in_leaf': 7, 'one_hot_max_size': 16}",2,32.627291248999995
2483.502113084475,"{'depth': 10, 'iterations': 268, 'l2_leaf_reg': 0.6048754674323772, 'learning_rate': 0.19136095300609385, 'min_data_in_leaf': 2, 'one_hot_max_size': 16}",3,46.22461884000006
2726.0375154293442,"{'depth': 7, 'iterations': 104, 'l2_leaf_reg': 0.11381056696717652, 'learning_rate': 0.2756248842486461, 'min_data_in_leaf': 7, 'one_hot_max_size': 2}",4,26.95424218300002
2553.113248646942,"{'depth': 9, 'iterations': 243, 'l2_leaf_reg': 0.9809105399603928, 'learning_rate': 0.1435898198616081, 'min_data_in_leaf': 8, 'one_hot_max_size': 15}",5,37.60431338000001
2474.691231370525,"{'depth': 11, 'iterations': 245, 'l2_leaf_reg': 0.9400797107429321, 'learning_rate': 0.22385542542667985, 'min_data_in_leaf': 9, 'one_hot_max_size': 3}",6,180.4455719409999
2624.605999852145,"{'depth': 8, 'iterations': 121, 'l2_leaf_reg': 0.17197110685216474, 'learning_rate': 0.2818169843070712, 'min_data_in_leaf': 14, 'one_hot_max_size': 14}",7,21.482051124000122
2492.383287880727,"{'depth': 11, 'iterations': 166, 'l2_leaf_reg': 0.36543270260218985, 'learning_rate': 0.2326317772104819, 'min_data_in_leaf': 13, 'one_hot_max_size': 16}",8,35.602850076000095
3055.787623898307,"{'depth': 9, 'iterations': 184, 'l2_leaf_reg': 0.9845567405170191, 'learning_rate': 0.033525092227685176, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",9,28.267206773999987
2762.18831578386,"{'depth': 6, 'iterations': 160, 'l2_leaf_reg': 0.8729354091785827, 'learning_rate': 0.2102163712419476, 'min_data_in_leaf': 15, 'one_hot_max_size': 10}",10,21.804786224000054
2502.8239942414316,"{'depth': 9, 'iterations': 256, 'l2_leaf_reg': 0.1518058534926004, 'learning_rate': 0.22642895718396322, 'min_data_in_leaf': 6, 'one_hot_max_size': 11}",11,39.077433934000055
2652.6568646911524,"{'depth': 8, 'iterations': 141, 'l2_leaf_reg': 0.4163807495651473, 'learning_rate': 0.1974970444106806, 'min_data_in_leaf': 12, 'one_hot_max_size': 6}",12,29.822416873000066
2636.133028283607,"{'depth': 9, 'iterations': 270, 'l2_leaf_reg': 0.5389765201970868, 'learning_rate': 0.07886838877361245, 'min_data_in_leaf': 12, 'one_hot_max_size': 11}",13,40.30042427600006
2533.824848446667,"{'depth': 10, 'iterations': 269, 'l2_leaf_reg': 0.7994644144487932, 'learning_rate': 0.11252569844358659, 'min_data_in_leaf': 9, 'one_hot_max_size': 2}",14,156.015248143
2480.863022219997,"{'depth': 11, 'iterations': 223, 'l2_leaf_reg': 0.24560393144893894, 'learning_rate': 0.2763024203369365, 'min_data_in_leaf': 15, 'one_hot_max_size': 18}",15,52.0023798709999
2471.6450333988178,"{'depth': 11, 'iterations': 291, 'l2_leaf_reg': 0.09155655107345931, 'learning_rate': 0.25598029557793844, 'min_data_in_leaf': 10, 'one_hot_max_size': 8}",16,142.2108546039999
2968.3044377962224,"{'depth': 11, 'iterations': 126, 'l2_leaf_reg': 0.2978543383201014, 'learning_rate': 0.03749772771576737, 'min_data_in_leaf': 13, 'one_hot_max_size': 17}",17,30.114792194000074
2479.007090303699,"{'depth': 9, 'iterations': 362, 'l2_leaf_reg': 0.13195220583868256, 'learning_rate': 0.2973218322377191, 'min_data_in_leaf': 4, 'one_hot_max_size': 6}",18,120.6036341580002
2498.969302191751,"{'depth': 12, 'iterations': 131, 'l2_leaf_reg': 0.6044148831242858, 'learning_rate': 0.28983450650732634, 'min_data_in_leaf': 10, 'one_hot_max_size': 9}",19,39.03905057599991
2466.603501227867,"{'depth': 12, 'iterations': 262, 'l2_leaf_reg': 0.6533190561917686, 'learning_rate': 0.22838058262229644, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",20,72.87717276700005
2476.525524332379,"{'depth': 12, 'iterations': 291, 'l2_leaf_reg': 0.7062696488302284, 'learning_rate': 0.25915094810851813, 'min_data_in_leaf': 10, 'one_hot_max_size': 8}",21,198.40388618800011
2449.6545212071956,"{'depth': 12, 'iterations': 361, 'l2_leaf_reg': 0.7329771699606111, 'learning_rate': 0.16446162716494503, 'min_data_in_leaf': 19, 'one_hot_max_size': 7}",22,242.83491877100005
2451.044898451127,"{'depth': 12, 'iterations': 361, 'l2_leaf_reg': 0.7167076075935522, 'learning_rate': 0.15702245209110033, 'min_data_in_leaf': 19, 'one_hot_max_size': 7}",23,242.77796617000013
2448.237571632617,"{'depth': 12, 'iterations': 361, 'l2_leaf_reg': 0.7499589611068582, 'learning_rate': 0.16158152622818883, 'min_data_in_leaf': 19, 'one_hot_max_size': 7}",24,242.71308215999989
2540.434553613838,"{'depth': 12, 'iterations': 127, 'l2_leaf_reg': 0.8047548815818547, 'learning_rate': 0.15734455600419744, 'min_data_in_leaf': 19, 'one_hot_max_size': 7}",25,68.64297956900009
2452.6834360158705,"{'depth': 12, 'iterations': 396, 'l2_leaf_reg': 0.818500737178068, 'learning_rate': 0.1111876715054277, 'min_data_in_leaf': 17, 'one_hot_max_size': 5}",26,311.8430424590001
2568.930690517273,"{'depth': 7, 'iterations': 353, 'l2_leaf_reg': 0.4865985235585019, 'learning_rate': 0.17446865562324, 'min_data_in_leaf': 5, 'one_hot_max_size': 12}",27,39.48870252699999
2438.6583818256795,"{'depth': 12, 'iterations': 485, 'l2_leaf_reg': 0.8954123752717814, 'learning_rate': 0.1185871010597653, 'min_data_in_leaf': 16, 'one_hot_max_size': 7}",28,321.0449275830001
2493.5827242030814,"{'depth': 12, 'iterations': 336, 'l2_leaf_reg': 0.9085851190907901, 'learning_rate': 0.07668025020070839, 'min_data_in_leaf': 16, 'one_hot_max_size': 19}",29,88.35036722199993
2487.029110999713,"{'depth': 12, 'iterations': 232, 'l2_leaf_reg': 0.8619176794113551, 'learning_rate': 0.1267979019549535, 'min_data_in_leaf': 16, 'one_hot_max_size': 13}",30,65.24145978600018
2873.0218512367715,"{'depth': 6, 'iterations': 289, 'l2_leaf_reg': 0.9984786952318496, 'learning_rate': 0.07690669266183564, 'min_data_in_leaf': 3, 'one_hot_max_size': 4}",31,80.00371626700007
2536.4397769669654,"{'depth': 10, 'iterations': 300, 'l2_leaf_reg': 0.5431140509168558, 'learning_rate': 0.0965581470035237, 'min_data_in_leaf': 18, 'one_hot_max_size': 7}",32,111.51228819400012
3250.8233111936393,"{'depth': 7, 'iterations': 485, 'l2_leaf_reg': 0.028658843878349938, 'learning_rate': 0.015021101450855029, 'min_data_in_leaf': 11, 'one_hot_max_size': 7}",33,100.12438996799983
2740.0507474140636,"{'depth': 8, 'iterations': 358, 'l2_leaf_reg': 0.7506187898148293, 'learning_rate': 0.05209827795609426, 'min_data_in_leaf': 2, 'one_hot_max_size': 15}",34,44.65726035200032
2615.8104332876546,"{'depth': 6, 'iterations': 486, 'l2_leaf_reg': 0.6280616347271522, 'learning_rate': 0.14193374891263844, 'min_data_in_leaf': 16, 'one_hot_max_size': 3}",35,138.5934281320001
2507.4777662718584,"{'depth': 10, 'iterations': 218, 'l2_leaf_reg': 0.9242289189671287, 'learning_rate': 0.1804896759363639, 'min_data_in_leaf': 8, 'one_hot_max_size': 14}",36,40.38713567099967
2484.1695266998054,"{'depth': 12, 'iterations': 222, 'l2_leaf_reg': 0.47857315757584, 'learning_rate': 0.13535244299919075, 'min_data_in_leaf': 19, 'one_hot_max_size': 19}",37,63.30312739100009
5591.1245547653725,"{'depth': 12, 'iterations': 191, 'l2_leaf_reg': 0.6708100982883847, 'learning_rate': 0.004032418869363771, 'min_data_in_leaf': 7, 'one_hot_max_size': 4}",38,99.20018543399965
2825.1597943174847,"{'depth': 7, 'iterations': 322, 'l2_leaf_reg': 0.5780023203562414, 'learning_rate': 0.058899611959990925, 'min_data_in_leaf': 3, 'one_hot_max_size': 9}",39,37.31928019099996
2650.607096897013,"{'depth': 8, 'iterations': 237, 'l2_leaf_reg': 0.862359073153107, 'learning_rate': 0.11369939564311429, 'min_data_in_leaf': 4, 'one_hot_max_size': 17}",40,33.78229739500057
2611.821400820038,"{'depth': 6, 'iterations': 337, 'l2_leaf_reg': 0.7738973386127311, 'learning_rate': 0.20755441157458013, 'min_data_in_leaf': 18, 'one_hot_max_size': 13}",41,35.51040359600029
2451.62233756134,"{'depth': 12, 'iterations': 435, 'l2_leaf_reg': 0.9510806613817138, 'learning_rate': 0.1880034271295725, 'min_data_in_leaf': 6, 'one_hot_max_size': 12}",42,112.3903916219997
2532.9694039223773,"{'depth': 10, 'iterations': 313, 'l2_leaf_reg': 0.9994871993058387, 'learning_rate': 0.095960221194093, 'min_data_in_leaf': 16, 'one_hot_max_size': 16}",43,52.222167144000196
2500.1304182825784,"{'depth': 8, 'iterations': 345, 'l2_leaf_reg': 0.6839834630715967, 'learning_rate': 0.24899986765675092, 'min_data_in_leaf': 17, 'one_hot_max_size': 18}",44,42.9322477300002
2635.36987779739,"{'depth': 7, 'iterations': 316, 'l2_leaf_reg': 0.42945384598630837, 'learning_rate': 0.12906268057467754, 'min_data_in_leaf': 11, 'one_hot_max_size': 5}",45,86.36254988400015
2686.6744409911817,"{'depth': 9, 'iterations': 277, 'l2_leaf_reg': 0.8952643994930949, 'learning_rate': 0.062025818529961266, 'min_data_in_leaf': 5, 'one_hot_max_size': 2}",46,134.618691615
2444.59657056853,"{'depth': 11, 'iterations': 442, 'l2_leaf_reg': 0.9521691740360421, 'learning_rate': 0.16960739628320215, 'min_data_in_leaf': 9, 'one_hot_max_size': 7}",47,209.02227530799973
2509.2596630729267,"{'depth': 11, 'iterations': 286, 'l2_leaf_reg': 0.3253815968652776, 'learning_rate': 0.09504023157912214, 'min_data_in_leaf': 9, 'one_hot_max_size': 11}",48,58.96161445500002
2519.8803079917834,"{'depth': 11, 'iterations': 134, 'l2_leaf_reg': 0.9662043296366898, 'learning_rate': 0.21680597463157364, 'min_data_in_leaf': 9, 'one_hot_max_size': 15}",49,31.591845817999456
2450.167365320734,"{'depth': 11, 'iterations': 474, 'l2_leaf_reg': 0.2104555056032319, 'learning_rate': 0.1995230553337927, 'min_data_in_leaf': 15, 'one_hot_max_size': 7}",50,222.66581119499915
2460.0284383772487,"{'depth': 11, 'iterations': 445, 'l2_leaf_reg': 0.8267974234783907, 'learning_rate': 0.24170192253169903, 'min_data_in_leaf': 9, 'one_hot_max_size': 3}",51,316.0638049449999
2464.6884129246964,"{'depth': 11, 'iterations': 281, 'l2_leaf_reg': 0.9411589836356723, 'learning_rate': 0.17554982953390014, 'min_data_in_leaf': 13, 'one_hot_max_size': 14}",52,57.93357155100057
2487.675142218001,"{'depth': 9, 'iterations': 427, 'l2_leaf_reg': 0.3741622010908607, 'learning_rate': 0.1470442171104859, 'min_data_in_leaf': 8, 'one_hot_max_size': 6}",53,139.39580717199988
2473.7254624439342,"{'depth': 11, 'iterations': 240, 'l2_leaf_reg': 0.8803781362394707, 'learning_rate': 0.2642165725884297, 'min_data_in_leaf': 12, 'one_hot_max_size': 8}",54,118.31933404400024
2645.713877665543,"{'depth': 6, 'iterations': 450, 'l2_leaf_reg': 0.8379701654337626, 'learning_rate': 0.12307046737583338, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",55,42.11190676700062
2659.018237440857,"{'depth': 10, 'iterations': 374, 'l2_leaf_reg': 0.56992071403407, 'learning_rate': 0.04014490791255125, 'min_data_in_leaf': 2, 'one_hot_max_size': 16}",56,58.92070268000043
2569.2918207618504,"{'depth': 11, 'iterations': 215, 'l2_leaf_reg': 0.7766695027242626, 'learning_rate': 0.08678879785092272, 'min_data_in_leaf': 7, 'one_hot_max_size': 7}",57,107.41861525799959
2510.5637967962407,"{'depth': 8, 'iterations': 377, 'l2_leaf_reg': 0.9943296568549664, 'learning_rate': 0.18873185693928296, 'min_data_in_leaf': 9, 'one_hot_max_size': 18}",58,45.55125079000027
2559.3525575962663,"{'depth': 11, 'iterations': 186, 'l2_leaf_reg': 0.25861133063364783, 'learning_rate': 0.10775600956591254, 'min_data_in_leaf': 6, 'one_hot_max_size': 2}",59,67.70271969199985
2577.0243089146998,"{'depth': 9, 'iterations': 144, 'l2_leaf_reg': 0.6404589414725872, 'learning_rate': 0.21683250391810716, 'min_data_in_leaf': 16, 'one_hot_max_size': 9}",60,24.830962229999386
2533.9362925979544,"{'depth': 7, 'iterations': 485, 'l2_leaf_reg': 0.43412425813385946, 'learning_rate': 0.16702019688967212, 'min_data_in_leaf': 10, 'one_hot_max_size': 17}",61,48.681715013999565
2676.0423084698878,"{'depth': 6, 'iterations': 211, 'l2_leaf_reg': 0.07241317746122805, 'learning_rate': 0.23833569001987512, 'min_data_in_leaf': 13, 'one_hot_max_size': 7}",62,45.78618183300023
2547.683807940947,"{'depth': 10, 'iterations': 193, 'l2_leaf_reg': 0.5078880712087861, 'learning_rate': 0.14320105343232714, 'min_data_in_leaf': 4, 'one_hot_max_size': 11}",63,32.75330443199982
2447.227890923982,"{'depth': 12, 'iterations': 421, 'l2_leaf_reg': 0.6993697117769708, 'learning_rate': 0.12113389233654345, 'min_data_in_leaf': 15, 'one_hot_max_size': 5}",64,331.3605456790001
3223.3260464944897,"{'depth': 11, 'iterations': 136, 'l2_leaf_reg': 0.7841444885822502, 'learning_rate': 0.022431114912700667, 'min_data_in_leaf': 12, 'one_hot_max_size': 7}",65,49.68800922900027
2439.9184733756724,"{'depth': 12, 'iterations': 442, 'l2_leaf_reg': 0.6115148101726482, 'learning_rate': 0.12143575253299502, 'min_data_in_leaf': 15, 'one_hot_max_size': 19}",66,112.49649609900007
2445.6637699812422,"{'depth': 12, 'iterations': 432, 'l2_leaf_reg': 0.6124041237911197, 'learning_rate': 0.1519963388628131, 'min_data_in_leaf': 17, 'one_hot_max_size': 13}",67,111.20699348000016
2524.851688650343,"{'depth': 12, 'iterations': 308, 'l2_leaf_reg': 0.8478850506185392, 'learning_rate': 0.06575678591146566, 'min_data_in_leaf': 15, 'one_hot_max_size': 19}",68,81.3047742610006
2483.31652823187,"{'depth': 12, 'iterations': 226, 'l2_leaf_reg': 0.3775927129495713, 'learning_rate': 0.13361072735034865, 'min_data_in_leaf': 15, 'one_hot_max_size': 4}",69,204.3769271199999
2439.908747482919,"{'depth': 12, 'iterations': 490, 'l2_leaf_reg': 0.7351933945902519, 'learning_rate': 0.10161416647974683, 'min_data_in_leaf': 16, 'one_hot_max_size': 12}",70,123.57893680899997
2473.5134377998156,"{'depth': 12, 'iterations': 309, 'l2_leaf_reg': 0.7213446766650655, 'learning_rate': 0.10394084867142869, 'min_data_in_leaf': 16, 'one_hot_max_size': 12}",71,82.32893252399936
2460.1374936592,"{'depth': 12, 'iterations': 413, 'l2_leaf_reg': 0.5414686852386791, 'learning_rate': 0.08629085013337612, 'min_data_in_leaf': 16, 'one_hot_max_size': 19}",72,105.77501512000072
2486.7600466958293,"{'depth': 12, 'iterations': 499, 'l2_leaf_reg': 0.6562290589060134, 'learning_rate': 0.05257292894254968, 'min_data_in_leaf': 16, 'one_hot_max_size': 12}",73,124.25707882799998
2551.2390074871614,"{'depth': 12, 'iterations': 233, 'l2_leaf_reg': 0.5947442681893227, 'learning_rate': 0.07221688477040074, 'min_data_in_leaf': 18, 'one_hot_max_size': 19}",74,64.48270578099982
2441.8731837776313,"{'depth': 12, 'iterations': 464, 'l2_leaf_reg': 0.7513903946734182, 'learning_rate': 0.11659866863482359, 'min_data_in_leaf': 3, 'one_hot_max_size': 12}",75,118.16196075099924
2447.034801714258,"{'depth': 12, 'iterations': 490, 'l2_leaf_reg': 0.5158312820026097, 'learning_rate': 0.08450220647621028, 'min_data_in_leaf': 5, 'one_hot_max_size': 19}",76,123.12712405099956
6827.647264566423,"{'depth': 12, 'iterations': 234, 'l2_leaf_reg': 0.46729109776301336, 'learning_rate': 0.0018910016792302725, 'min_data_in_leaf': 16, 'one_hot_max_size': 12}",77,64.75433079300001
2989.561827152125,"{'depth': 8, 'iterations': 214, 'l2_leaf_reg': 0.9088172623371532, 'learning_rate': 0.04332488566588959, 'min_data_in_leaf': 11, 'one_hot_max_size': 15}",78,31.419417605999115
2702.1305444820273,"{'depth': 12, 'iterations': 357, 'l2_leaf_reg': 0.8125522608414905, 'learning_rate': 0.023529645930436077, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",79,92.0079751580015
2673.607791299243,"{'depth': 7, 'iterations': 331, 'l2_leaf_reg': 0.6785390535018181, 'learning_rate': 0.10166905956291779, 'min_data_in_leaf': 15, 'one_hot_max_size': 6}",80,80.73295422800038
2544.8696349881134,"{'depth': 9, 'iterations': 273, 'l2_leaf_reg': 0.7394125772166192, 'learning_rate': 0.13503568248915507, 'min_data_in_leaf': 2, 'one_hot_max_size': 8}",81,84.33349169199937
2577.1407921770274,"{'depth': 12, 'iterations': 487, 'l2_leaf_reg': 0.6960312697977198, 'learning_rate': 0.029331167342766265, 'min_data_in_leaf': 8, 'one_hot_max_size': 3}",82,454.493768205999
2445.974831617931,"{'depth': 12, 'iterations': 457, 'l2_leaf_reg': 0.5644237192750128, 'learning_rate': 0.1582252848328551, 'min_data_in_leaf': 16, 'one_hot_max_size': 14}",83,116.85266722699998
3245.342864108256,"{'depth': 6, 'iterations': 137, 'l2_leaf_reg': 0.4060884787290406, 'learning_rate': 0.07048087169158723, 'min_data_in_leaf': 7, 'one_hot_max_size': 16}",84,20.241550958000516
2446.622233370247,"{'depth': 10, 'iterations': 471, 'l2_leaf_reg': 0.6347223526644077, 'learning_rate': 0.18127806029939453, 'min_data_in_leaf': 10, 'one_hot_max_size': 17}",85,71.37920554599987
2453.2892240401075,"{'depth': 12, 'iterations': 442, 'l2_leaf_reg': 0.8859944409846415, 'learning_rate': 0.09060025128999226, 'min_data_in_leaf': 6, 'one_hot_max_size': 9}",86,112.88873107700056
2686.667132674779,"{'depth': 7, 'iterations': 387, 'l2_leaf_reg': 0.4576464559679967, 'learning_rate': 0.08050793508441398, 'min_data_in_leaf': 4, 'one_hot_max_size': 18}",87,41.66368373000114
3102.6963697207752,"{'depth': 8, 'iterations': 498, 'l2_leaf_reg': 0.5945934490063948, 'learning_rate': 0.014447886738118088, 'min_data_in_leaf': 16, 'one_hot_max_size': 19}",88,55.779465204999724
2440.9806850309255,"{'depth': 12, 'iterations': 472, 'l2_leaf_reg': 0.9249321235274379, 'learning_rate': 0.11940521827134526, 'min_data_in_leaf': 15, 'one_hot_max_size': 2}",89,451.47182727200016
2654.6313787675485,"{'depth': 9, 'iterations': 351, 'l2_leaf_reg': 0.977944384902814, 'learning_rate': 0.05626504826249871, 'min_data_in_leaf': 3, 'one_hot_max_size': 12}",90,48.85868941700028
2473.338573438387,"{'depth': 12, 'iterations': 239, 'l2_leaf_reg': 0.7888791732761407, 'learning_rate': 0.1518482956207102, 'min_data_in_leaf': 17, 'one_hot_max_size': 4}",91,217.14557138999953
2743.1702839937607,"{'depth': 6, 'iterations': 282, 'l2_leaf_reg': 0.7681537688960367, 'learning_rate': 0.12744249919431916, 'min_data_in_leaf': 19, 'one_hot_max_size': 5}",92,68.78445116399962
2659.8936460580176,"{'depth': 10, 'iterations': 335, 'l2_leaf_reg': 0.8536700484852826, 'learning_rate': 0.044608708239987124, 'min_data_in_leaf': 5, 'one_hot_max_size': 13}",93,54.70070983000005
2455.0420904470725,"{'depth': 12, 'iterations': 461, 'l2_leaf_reg': 0.7144888742827794, 'learning_rate': 0.19347052401604847, 'min_data_in_leaf': 18, 'one_hot_max_size': 11}",94,118.32128636799825
2643.4286825203717,"{'depth': 8, 'iterations': 203, 'l2_leaf_reg': 0.5259307122115399, 'learning_rate': 0.1401746958457122, 'min_data_in_leaf': 13, 'one_hot_max_size': 15}",95,30.56031219000033
2491.9485539123866,"{'depth': 12, 'iterations': 247, 'l2_leaf_reg': 0.3040676372302501, 'learning_rate': 0.10624874491949468, 'min_data_in_leaf': 12, 'one_hot_max_size': 6}",96,184.85072722800032
2515.843794049071,"{'depth': 7, 'iterations': 491, 'l2_leaf_reg': 0.6568292742781212, 'learning_rate': 0.2040998924512985, 'min_data_in_leaf': 11, 'one_hot_max_size': 8}",97,101.25603521499943
2536.832568864137,"{'depth': 9, 'iterations': 246, 'l2_leaf_reg': 0.7974685347760521, 'learning_rate': 0.17416600204044808, 'min_data_in_leaf': 16, 'one_hot_max_size': 3}",98,121.76653025300038
2438.852577620392,"{'depth': 12, 'iterations': 480, 'l2_leaf_reg': 0.8265094329364929, 'learning_rate': 0.10949456447966546, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",99,122.05350403000011
2717.2372410858993,"{'depth': 6, 'iterations': 356, 'l2_leaf_reg': 0.9702600083394473, 'learning_rate': 0.11087060779034212, 'min_data_in_leaf': 14, 'one_hot_max_size': 14}",100,36.01699121099955
2500.271889134025,"{'depth': 12, 'iterations': 255, 'l2_leaf_reg': 0.8211456849602901, 'learning_rate': 0.09877440638977585, 'min_data_in_leaf': 14, 'one_hot_max_size': 7}",101,173.57740289399953
2518.007767545589,"{'depth': 10, 'iterations': 348, 'l2_leaf_reg': 0.8652066307643288, 'learning_rate': 0.09468918903889924, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",102,56.02481026600071
2501.2517809881765,"{'depth': 12, 'iterations': 367, 'l2_leaf_reg': 0.9168132098852452, 'learning_rate': 0.06562460215761139, 'min_data_in_leaf': 14, 'one_hot_max_size': 10}",103,94.81103381700086
2766.094657673411,"{'depth': 8, 'iterations': 490, 'l2_leaf_reg': 0.9479277566921879, 'learning_rate': 0.034753816632389356, 'min_data_in_leaf': 2, 'one_hot_max_size': 10}",104,55.37468920599895
2568.8447559673036,"{'depth': 12, 'iterations': 205, 'l2_leaf_reg': 0.9299648714181072, 'learning_rate': 0.0749129281937557, 'min_data_in_leaf': 8, 'one_hot_max_size': 10}",105,58.20704295200085
2652.6336588310814,"{'depth': 7, 'iterations': 250, 'l2_leaf_reg': 0.74638011420207, 'learning_rate': 0.14890297525363358, 'min_data_in_leaf': 7, 'one_hot_max_size': 12}",106,31.493447602999368
2617.121455539371,"{'depth': 9, 'iterations': 480, 'l2_leaf_reg': 0.8959069134866521, 'learning_rate': 0.04832907711087544, 'min_data_in_leaf': 16, 'one_hot_max_size': 16}",107,62.27793477999876
2871.32892436207,"{'depth': 12, 'iterations': 492, 'l2_leaf_reg': 0.7622485956355032, 'learning_rate': 0.01000425367415772, 'min_data_in_leaf': 10, 'one_hot_max_size': 9}",108,121.0923861750016
2707.745314780616,"{'depth': 6, 'iterations': 315, 'l2_leaf_reg': 0.825110114728961, 'learning_rate': 0.13143199843003725, 'min_data_in_leaf': 6, 'one_hot_max_size': 18}",109,33.15867626599902
2445.840493729231,"{'depth': 12, 'iterations': 477, 'l2_leaf_reg': 0.7265511562024466, 'learning_rate': 0.16372836248543565, 'min_data_in_leaf': 14, 'one_hot_max_size': 17}",110,121.63743375000013
2647.876914722005,"{'depth': 10, 'iterations': 140, 'l2_leaf_reg': 0.8379728244542433, 'learning_rate': 0.11407721491209492, 'min_data_in_leaf': 4, 'one_hot_max_size': 2}",111,43.25585369599867
2462.0907893481203,"{'depth': 12, 'iterations': 263, 'l2_leaf_reg': 0.48994605150924025, 'learning_rate': 0.18179416317235036, 'min_data_in_leaf': 16, 'one_hot_max_size': 10}",112,72.31200637300026
2541.81103533119,"{'depth': 8, 'iterations': 370, 'l2_leaf_reg': 0.8750245842706196, 'learning_rate': 0.13892252506758354, 'min_data_in_leaf': 19, 'one_hot_max_size': 7}",113,92.52465270299945
2470.221562629925,"{'depth': 12, 'iterations': 278, 'l2_leaf_reg': 0.17122087345739395, 'learning_rate': 0.21930077697511738, 'min_data_in_leaf': 17, 'one_hot_max_size': 11}",114,75.92894863500078
2516.911164682484,"{'depth': 7, 'iterations': 436, 'l2_leaf_reg': 0.6712790575111703, 'learning_rate': 0.2991522966748602, 'min_data_in_leaf': 12, 'one_hot_max_size': 5}",115,114.23521733500093
