loss,params,iteration,train_time
2500.966877130189,"{'depth': 14, 'iterations': 653, 'l2_leaf_reg': 1.227780789463945, 'learning_rate': 0.166529153009486, 'min_data_in_leaf': 17, 'one_hot_max_size': 16}",1,443.40916899999866
2624.857370876991,"{'depth': 14, 'iterations': 607, 'l2_leaf_reg': 1.8993019982717505, 'learning_rate': 0.36658561415688923, 'min_data_in_leaf': 22, 'one_hot_max_size': 21}",2,421.1852796250023
2631.485169010157,"{'depth': 16, 'iterations': 418, 'l2_leaf_reg': 1.401326465806632, 'learning_rate': 0.3224970555951517, 'min_data_in_leaf': 15, 'one_hot_max_size': 21}",3,964.8871026850029
2628.126864550542,"{'depth': 13, 'iterations': 254, 'l2_leaf_reg': 0.6572887378290553, 'learning_rate': 0.46017403561799464, 'min_data_in_leaf': 20, 'one_hot_max_size': 7}",4,265.40462631000264
2546.3356273826134,"{'depth': 15, 'iterations': 393, 'l2_leaf_reg': 1.9710765756975648, 'learning_rate': 0.24444485405864613, 'min_data_in_leaf': 21, 'one_hot_max_size': 20}",5,485.5523898679967
2531.571564486222,"{'depth': 13, 'iterations': 615, 'l2_leaf_reg': 1.5735698931605493, 'learning_rate': 0.26804391619256923, 'min_data_in_leaf': 17, 'one_hot_max_size': 8}",6,627.4933334599991
2640.0903411783556,"{'depth': 14, 'iterations': 271, 'l2_leaf_reg': 1.7020345314043606, 'learning_rate': 0.4671700837475621, 'min_data_in_leaf': 18, 'one_hot_max_size': 19}",7,192.48015153599408
2461.41953864172,"{'depth': 13, 'iterations': 511, 'l2_leaf_reg': 0.8335842774174209, 'learning_rate': 0.15622074355126347, 'min_data_in_leaf': 21, 'one_hot_max_size': 21}",8,205.2621196780019
2709.5799658837523,"{'depth': 16, 'iterations': 620, 'l2_leaf_reg': 0.9860899734265605, 'learning_rate': 0.42045165415965796, 'min_data_in_leaf': 19, 'one_hot_max_size': 15}",9,1421.6171192699985
2527.647222558166,"{'depth': 14, 'iterations': 394, 'l2_leaf_reg': 1.167726852921632, 'learning_rate': 0.2477272060298133, 'min_data_in_leaf': 16, 'one_hot_max_size': 15}",10,273.97782307399757
2674.122226485307,"{'depth': 16, 'iterations': 406, 'l2_leaf_reg': 0.8818313867960672, 'learning_rate': 0.37322854474033335, 'min_data_in_leaf': 23, 'one_hot_max_size': 16}",11,939.0489852470055
2469.9273170106458,"{'depth': 13, 'iterations': 456, 'l2_leaf_reg': 1.2297706975587779, 'learning_rate': 0.1856559460609484, 'min_data_in_leaf': 22, 'one_hot_max_size': 11}",12,184.96961824400205
2502.6250214195124,"{'depth': 13, 'iterations': 384, 'l2_leaf_reg': 1.7647123938732305, 'learning_rate': 0.2718166615116894, 'min_data_in_leaf': 19, 'one_hot_max_size': 16}",13,158.57851926600415
2465.3729623885056,"{'depth': 12, 'iterations': 606, 'l2_leaf_reg': 0.8388004195862704, 'learning_rate': 0.05481333163802644, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",14,371.58905049700115
2499.1368660760486,"{'depth': 16, 'iterations': 263, 'l2_leaf_reg': 1.6923399138420743, 'learning_rate': 0.06428497215071353, 'min_data_in_leaf': 23, 'one_hot_max_size': 23}",15,585.0069023350006
nan,"{'depth': 17, 'iterations': 441, 'l2_leaf_reg': 0.6235705319294838, 'learning_rate': 0.42807717516902244, 'min_data_in_leaf': 23, 'one_hot_max_size': 13}",16,7.881795114997658
nan,"{'depth': 17, 'iterations': 295, 'l2_leaf_reg': 1.0670717571045132, 'learning_rate': 0.0921398300861817, 'min_data_in_leaf': 22, 'one_hot_max_size': 22}",17,7.848777485000028
2754.9809315298676,"{'depth': 15, 'iterations': 512, 'l2_leaf_reg': 0.6847760694525493, 'learning_rate': 0.49562420072184843, 'min_data_in_leaf': 17, 'one_hot_max_size': 11}",18,639.059571015001
2541.303042718157,"{'depth': 12, 'iterations': 553, 'l2_leaf_reg': 1.7161883335497645, 'learning_rate': 0.35039792084883725, 'min_data_in_leaf': 19, 'one_hot_max_size': 14}",19,144.33995147700625
2674.4961268397883,"{'depth': 14, 'iterations': 412, 'l2_leaf_reg': 0.5320659272720538, 'learning_rate': 0.4215426758558336, 'min_data_in_leaf': 16, 'one_hot_max_size': 15}",20,289.698848303
2651.9136757273645,"{'depth': 14, 'iterations': 445, 'l2_leaf_reg': 1.534129857207358, 'learning_rate': 0.42820110780154186, 'min_data_in_leaf': 18, 'one_hot_max_size': 15}",21,312.0628635569956
2521.2142584846065,"{'depth': 12, 'iterations': 273, 'l2_leaf_reg': 0.6663194378380437, 'learning_rate': 0.3529650637797792, 'min_data_in_leaf': 19, 'one_hot_max_size': 19}",22,76.58726924600342
nan,"{'depth': 17, 'iterations': 373, 'l2_leaf_reg': 0.9323666443070253, 'learning_rate': 0.016455921906345296, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",23,7.7833628579974174
nan,"{'depth': 17, 'iterations': 657, 'l2_leaf_reg': 0.9824965033514711, 'learning_rate': 0.016522109262102402, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",24,7.885788746003527
nan,"{'depth': 17, 'iterations': 282, 'l2_leaf_reg': 0.9350268360851087, 'learning_rate': 0.014976336745912075, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",25,7.895531113004836
nan,"{'depth': 17, 'iterations': 398, 'l2_leaf_reg': 0.9228556914398779, 'learning_rate': 0.014547378571831054, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",26,7.894222509996325
nan,"{'depth': 17, 'iterations': 551, 'l2_leaf_reg': 0.9263120889961984, 'learning_rate': 0.014415824895571326, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",27,7.931208507994597
nan,"{'depth': 17, 'iterations': 606, 'l2_leaf_reg': 0.8852132659900094, 'learning_rate': 0.01218175008807014, 'min_data_in_leaf': 24, 'one_hot_max_size': 24}",28,8.010963284999889
nan,"{'depth': 17, 'iterations': 551, 'l2_leaf_reg': 0.9292554122953831, 'learning_rate': 0.03274611578281694, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",29,7.976185115003318
nan,"{'depth': 17, 'iterations': 388, 'l2_leaf_reg': 0.974585920506831, 'learning_rate': 0.018716332885337805, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",30,7.833331743997405
nan,"{'depth': 17, 'iterations': 521, 'l2_leaf_reg': 0.9031271424382235, 'learning_rate': 0.010254692490140854, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",31,7.954799414997979
nan,"{'depth': 17, 'iterations': 281, 'l2_leaf_reg': 0.9093106991795559, 'learning_rate': 0.010552778337913155, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",32,7.952520831000584
nan,"{'depth': 17, 'iterations': 476, 'l2_leaf_reg': 0.9339183702318881, 'learning_rate': 0.04359753730787999, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",33,7.99559240200324
nan,"{'depth': 17, 'iterations': 629, 'l2_leaf_reg': 0.9188363730586027, 'learning_rate': 0.013351369714265995, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",34,7.984308883998892
nan,"{'depth': 17, 'iterations': 511, 'l2_leaf_reg': 0.9468612328450234, 'learning_rate': 0.014186240563135034, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",35,7.898555954998301
nan,"{'depth': 17, 'iterations': 435, 'l2_leaf_reg': 0.948903538137943, 'learning_rate': 0.017566689987412426, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",36,8.13351754299947
nan,"{'depth': 17, 'iterations': 502, 'l2_leaf_reg': 0.927413452992725, 'learning_rate': 0.02312210421412575, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",37,8.073027507998631
nan,"{'depth': 17, 'iterations': 361, 'l2_leaf_reg': 0.9360493525456355, 'learning_rate': 0.012400135034249818, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",38,7.930333967000479
nan,"{'depth': 17, 'iterations': 582, 'l2_leaf_reg': 0.9600655825854836, 'learning_rate': 0.016075115181491267, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",39,7.969845821004128
nan,"{'depth': 17, 'iterations': 500, 'l2_leaf_reg': 0.9396769093354395, 'learning_rate': 0.032630837244975244, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",40,8.01557358699938
nan,"{'depth': 17, 'iterations': 566, 'l2_leaf_reg': 0.9035932763892688, 'learning_rate': 0.018169893213236518, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",41,7.924869765993208
nan,"{'depth': 17, 'iterations': 511, 'l2_leaf_reg': 0.9431006814609126, 'learning_rate': 0.029118831541974127, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",42,8.03226040500158
nan,"{'depth': 17, 'iterations': 492, 'l2_leaf_reg': 0.9497148298763648, 'learning_rate': 0.038065010593982776, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",43,7.86171690300398
nan,"{'depth': 17, 'iterations': 294, 'l2_leaf_reg': 0.9314057287506726, 'learning_rate': 0.013945547065285585, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",44,7.999939501001791
2490.053140533476,"{'depth': 12, 'iterations': 532, 'l2_leaf_reg': 0.9543425755222638, 'learning_rate': 0.04919393015848803, 'min_data_in_leaf': 24, 'one_hot_max_size': 7}",45,326.9050460050057
nan,"{'depth': 17, 'iterations': 495, 'l2_leaf_reg': 0.8203687900337324, 'learning_rate': 0.10548956408075699, 'min_data_in_leaf': 21, 'one_hot_max_size': 24}",46,7.953924959001597
nan,"{'depth': 17, 'iterations': 635, 'l2_leaf_reg': 0.8767812869609011, 'learning_rate': 0.10120067347864753, 'min_data_in_leaf': 24, 'one_hot_max_size': 17}",47,7.9566548530056025
nan,"{'depth': 17, 'iterations': 494, 'l2_leaf_reg': 0.800086968076271, 'learning_rate': 0.10466562823858777, 'min_data_in_leaf': 21, 'one_hot_max_size': 13}",48,7.955494373003603
nan,"{'depth': 17, 'iterations': 336, 'l2_leaf_reg': 0.8227898749078322, 'learning_rate': 0.10123704951006562, 'min_data_in_leaf': 21, 'one_hot_max_size': 13}",49,7.814116458997887
