iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
93,2430.9534750732505,2022-12-27 05:26:15.986259,2022-12-27 05:27:38.642549,0 days 00:01:22.656290,,Plain,Bernoulli,10,0.9688515878473537,0.22580679060699685,2,420,2,0.9251993161835224,COMPLETE
81,2431.702421988492,2022-12-27 05:09:15.110551,2022-12-27 05:10:40.331404,0 days 00:01:25.220853,,Plain,Bernoulli,10,0.9998824953220117,0.21452104755226015,18,451,2,0.8183631497559206,COMPLETE
94,2432.5352946182375,2022-12-27 05:27:42.935417,2022-12-27 05:29:01.653312,0 days 00:01:18.717895,,Plain,Bernoulli,10,0.9726436841227722,0.24724402015550645,2,424,2,0.9402336977889655,COMPLETE
83,2433.794061178879,2022-12-27 05:12:17.203540,2022-12-27 05:13:52.012238,0 days 00:01:34.808698,,Plain,Bernoulli,10,0.9971720434076785,0.23326679941685094,2,437,2,0.8468177496012621,COMPLETE
91,2434.121547603053,2022-12-27 05:23:36.429600,2022-12-27 05:25:00.108137,0 days 00:01:23.678537,,Plain,Bernoulli,10,0.910547456855425,0.21594744392089293,4,443,2,0.8540934716302291,COMPLETE
85,2434.2329308364488,2022-12-27 05:15:21.887881,2022-12-27 05:16:40.810615,0 days 00:01:18.922734,,Plain,Bernoulli,10,0.9871694543773488,0.21485455199524786,3,411,2,0.8793298201525841,COMPLETE
80,2434.9413635205947,2022-12-27 05:07:48.701992,2022-12-27 05:09:10.129951,0 days 00:01:21.427959,,Plain,Bernoulli,10,0.8148830533896188,0.22024857765526373,18,451,2,0.8185796513547903,COMPLETE
82,2435.553048787112,2022-12-27 05:10:44.779727,2022-12-27 05:12:12.549630,0 days 00:01:27.769903,,Plain,Bernoulli,10,0.9907956662953351,0.20349224627441478,2,454,2,0.8188553089700015,COMPLETE
86,2435.924160546907,2022-12-27 05:16:45.399665,2022-12-27 05:18:20.881627,0 days 00:01:35.481962,,Plain,Bernoulli,10,0.9888522869581834,0.23429581992315934,2,404,2,0.8786205064552883,COMPLETE
76,2436.228426156692,2022-12-27 05:02:14.221060,2022-12-27 05:03:34.858468,0 days 00:01:20.637408,,Plain,Bernoulli,10,0.849558696209354,0.21122986576327432,18,432,2,0.8284879618987534,COMPLETE
