iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
82,2460.6089282746316,2023-01-05 20:59:28.453074,2023-01-05 21:01:22.469380,0 days 00:01:54.016306,,Plain,Bernoulli,10.0,0.820281544381032,0.15889501867550915,18.0,468.0,19.0,0.46330680164921106,COMPLETE
69,2460.8551413602227,2023-01-05 20:34:56.246562,2023-01-05 20:36:38.783383,0 days 00:01:42.536821,,Plain,Bernoulli,10.0,0.9372759056735407,0.1571626258420661,18.0,500.0,18.0,0.42387933666400557,COMPLETE
36,2461.601609899578,2023-01-05 19:44:57.349785,2023-01-05 19:46:37.861201,0 days 00:01:40.511416,,Plain,Bernoulli,10.0,0.1539929237096741,0.12042652839571998,8.0,441.0,19.0,0.7122161160403918,COMPLETE
83,2463.565349443348,2023-01-05 21:01:28.557247,2023-01-05 21:03:29.948124,0 days 00:02:01.390877,,Plain,Bernoulli,10.0,0.7922168900210641,0.1555589064913322,18.0,454.0,20.0,0.4638322033290689,COMPLETE
81,2463.7525710692025,2023-01-05 20:57:12.247079,2023-01-05 20:59:23.729499,0 days 00:02:11.482420,,Plain,Bernoulli,10.0,0.8056361601515829,0.15327549878577926,18.0,463.0,19.0,0.44871603723757225,COMPLETE
84,2463.939101299008,2023-01-05 21:03:34.956402,2023-01-05 21:05:32.949690,0 days 00:01:57.993288,,Plain,Bernoulli,10.0,0.8153645409447392,0.16161276511833547,16.0,466.0,19.0,0.44270807756969666,COMPLETE
95,2463.966297185226,2023-01-05 21:24:21.061741,2023-01-05 21:26:14.623679,0 days 00:01:53.561938,,Plain,Bernoulli,10.0,0.8831405685531378,0.16330869440430504,18.0,401.0,11.0,0.5778693706804832,COMPLETE
94,2464.4078158870043,2023-01-05 21:22:09.108361,2023-01-05 21:24:14.638478,0 days 00:02:05.530117,,Plain,Bernoulli,10.0,0.8735229134083439,0.2479161529196876,18.0,412.0,8.0,0.46955473162580413,COMPLETE
37,2465.726085173985,2023-01-05 19:46:42.648942,2023-01-05 19:48:10.992155,0 days 00:01:28.343213,,Plain,Bernoulli,9.0,0.1483134054759156,0.16757483873024132,13.0,436.0,17.0,0.712512171495339,COMPLETE
77,2467.6558299407648,2023-01-05 20:49:22.918386,2023-01-05 20:51:08.035522,0 days 00:01:45.117136,,Plain,Bernoulli,10.0,0.8635819682604625,0.15060108911249448,19.0,482.0,19.0,0.42340597119870715,COMPLETE
91,2468.0824321763216,2023-01-05 21:16:35.719424,2023-01-05 21:18:17.482409,0 days 00:01:41.762985,,Plain,Bernoulli,9.0,0.8110065351846745,0.2629775192616506,18.0,421.0,17.0,0.5085040232976533,COMPLETE
100,2468.9813647821984,2023-01-05 21:33:24.469093,2023-01-05 21:35:11.605479,0 days 00:01:47.136386,,Plain,Bernoulli,10.0,0.9282643871999386,0.1070905151106691,7.0,454.0,11.0,0.8334340119543902,COMPLETE
78,2471.7458225723813,2023-01-05 20:52:11.991330,2023-01-05 20:53:55.753398,0 days 00:01:43.762068,,Plain,Bernoulli,9.0,0.7913031194268247,0.2348325675557452,19.0,485.0,19.0,0.42504141281264984,COMPLETE
