iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
51,2428.420437710283,2023-01-11 23:01:03.435053,2023-01-11 23:04:04.634285,0 days 00:03:01.199232,,Plain,Bernoulli,10.0,0.8708977702278003,0.18884925539972935,12.0,495.0,5.0,0.9056350445515328,COMPLETE
52,2430.190996156876,2023-01-11 23:05:16.270916,2023-01-11 23:08:13.564087,0 days 00:02:57.293171,,Plain,Bernoulli,10.0,0.9052339204199924,0.20034882524204822,14.0,442.0,4.0,0.919200182351805,COMPLETE
84,2430.2583373360876,2023-01-12 00:43:22.864100,2023-01-12 00:45:22.628243,0 days 00:01:59.764143,,Plain,Bernoulli,10.0,0.8171951996295718,0.23272937974348978,14.0,426.0,6.0,0.9159214562283216,COMPLETE
86,2436.265934255445,2023-01-12 00:47:45.954659,2023-01-12 00:49:47.150349,0 days 00:02:01.195690,,Plain,Bernoulli,10.0,0.0958330994756711,0.23916147080453515,15.0,396.0,3.0,0.9667945425102399,COMPLETE
66,2442.618371408544,2023-01-11 23:49:09.075219,2023-01-11 23:52:03.549816,0 days 00:02:54.474597,,Plain,Bernoulli,9.0,0.8123226034118496,0.21335322513988875,13.0,458.0,6.0,0.9997475916093617,COMPLETE
96,2443.001746716928,2023-01-12 01:10:51.251275,2023-01-12 01:13:14.644530,0 days 00:02:23.393255,,Plain,Bernoulli,10.0,0.06347094406891612,0.24335634262470213,11.0,324.0,2.0,0.9812082241599807,COMPLETE
50,2443.1641527683505,2023-01-11 22:57:45.655388,2023-01-11 23:00:58.762362,0 days 00:03:13.106974,,Plain,Bernoulli,9.0,0.9216947411625158,0.19422128787267873,12.0,496.0,4.0,0.8907726296942742,COMPLETE
94,2445.361714572247,2023-01-12 01:06:17.239408,2023-01-12 01:08:30.810723,0 days 00:02:13.571315,,Plain,Bernoulli,10.0,0.07146969804283672,0.24901606876146085,11.0,329.0,2.0,0.9630280915499406,COMPLETE
95,2445.531188058685,2023-01-12 01:08:35.811846,2023-01-12 01:10:45.114058,0 days 00:02:09.302212,,Plain,Bernoulli,10.0,0.05429174670962113,0.25116654477263745,11.0,316.0,2.0,0.9756963700182507,COMPLETE
93,2445.909746963917,2023-01-12 01:04:11.380126,2023-01-12 01:06:11.236068,0 days 00:01:59.855942,,Plain,Bernoulli,10.0,0.06218033534441014,0.2481000160618806,11.0,316.0,2.0,0.9684315504205657,COMPLETE
