iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
94,2475.285314817647,2023-01-13 13:16:10.981710,2023-01-13 13:16:32.119973,0 days 00:00:21.138263,,Plain,Bernoulli,10,0.7689710328606357,0.11978628970453274,19,453,19,0.30225770931491835,COMPLETE
98,2478.491390496966,2023-01-13 13:18:10.703951,2023-01-13 13:18:47.255767,0 days 00:00:36.551816,,Plain,Bernoulli,10,0.7127429961620507,0.11634651399862203,18,429,19,0.36563339508474135,COMPLETE
93,2478.901543555528,2023-01-13 13:15:45.628352,2023-01-13 13:16:06.829182,0 days 00:00:21.200830,,Plain,Bernoulli,10,0.772770880746044,0.12821135576192907,19,445,19,0.26912804869107526,COMPLETE
99,2482.60454868205,2023-01-13 13:18:54.071593,2023-01-13 13:19:13.745018,0 days 00:00:19.673425,,Plain,Bernoulli,10,0.7132466983583016,0.11942456265879124,19,420,19,0.35849058875739925,COMPLETE
95,2483.7855684585734,2023-01-13 13:16:38.860749,2023-01-13 13:17:01.899129,0 days 00:00:23.038380,,Plain,Bernoulli,10,0.7995246691313534,0.11841829616081906,19,434,19,0.3078891715259795,COMPLETE
92,2487.939442692469,2023-01-13 13:15:08.869085,2023-01-13 13:15:39.280508,0 days 00:00:30.411423,,Plain,Bernoulli,10,0.709155153889399,0.11694003719109829,18,439,19,0.2623277112201293,COMPLETE
90,2510.472333300089,2023-01-13 13:14:00.541869,2023-01-13 13:14:20.395356,0 days 00:00:19.853487,,Plain,Bernoulli,10,0.7082028857017579,0.11353439179982203,18,434,20,0.17781175014388104,COMPLETE
86,2511.3112183001035,2023-01-13 13:11:57.036232,2023-01-13 13:12:22.453038,0 days 00:00:25.416806,,Plain,Bernoulli,10,0.6484795925015643,0.12279455064425221,19,335,20,0.27425110554415194,COMPLETE
91,2513.323157084712,2023-01-13 13:14:37.943718,2023-01-13 13:14:58.865460,0 days 00:00:20.921742,,Plain,Bernoulli,10,0.7103473725358611,0.11003035361522458,18,432,20,0.18331006884634518,COMPLETE
81,2522.7382307877288,2023-01-13 13:09:08.230095,2023-01-13 13:09:30.099523,0 days 00:00:21.869428,,Plain,Bernoulli,10,0.6152025381511435,0.11077861691481897,19,335,19,0.25595968335255986,COMPLETE
71,2535.530817387358,2023-01-13 13:04:08.087479,2023-01-13 13:04:44.083971,0 days 00:00:35.996492,,Plain,Bernoulli,9,0.6173379408849266,0.14578267212702972,19,272,15,0.4182821296275389,COMPLETE
83,2539.663243556107,2023-01-13 13:10:21.176749,2023-01-13 13:10:40.977937,0 days 00:00:19.801188,,Plain,Bernoulli,10,0.6048594547610915,0.08371463945167022,18,395,20,0.2343619613203238,COMPLETE
