iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
53,2444.1909571127185,2022-12-27 09:27:34.037630,2022-12-27 09:29:39.410262,0 days 00:02:05.372632,,Plain,Bernoulli,10,0.3077560454495184,0.2254698442825663,11,483,5,0.9076561945788175,COMPLETE
99,2449.029586315716,2022-12-27 11:20:47.498897,2022-12-27 11:22:41.966664,0 days 00:01:54.467767,,Plain,Bernoulli,10,0.3103119558906364,0.19836223291312294,6,392,3,0.9973315494298712,COMPLETE
58,2449.762766949105,2022-12-27 09:42:49.822838,2022-12-27 09:44:46.763792,0 days 00:01:56.940954,,Plain,Bernoulli,10,0.16204802392999532,0.22244753027213143,9,408,5,0.9245554007938959,COMPLETE
66,2449.778692519989,2022-12-27 10:01:05.006031,2022-12-27 10:03:02.264840,0 days 00:01:57.258809,,Plain,Bernoulli,10,0.048228480912552954,0.21626444472606815,8,382,5,0.9963142519967593,COMPLETE
61,2450.7748306746207,2022-12-27 09:49:40.331946,2022-12-27 09:51:43.238776,0 days 00:02:02.906830,,Plain,Bernoulli,10,0.1369382505081461,0.22745905083234513,11,438,3,0.9274868263611854,COMPLETE
55,2451.144713259759,2022-12-27 09:32:29.939116,2022-12-27 09:34:31.871461,0 days 00:02:01.932345,,Plain,Bernoulli,10,0.1697924789642019,0.24125019667337014,10,443,5,0.9320503412627559,COMPLETE
83,2451.7505360842733,2022-12-27 10:41:41.274865,2022-12-27 10:43:33.551406,0 days 00:01:52.276541,,Plain,Bernoulli,10,0.03191482142128724,0.17670463307775555,9,392,20,0.970425424919111,COMPLETE
86,2452.3560472712284,2022-12-27 10:48:18.198355,2022-12-27 10:50:21.128773,0 days 00:02:02.930418,,Plain,Bernoulli,10,0.038317117778753323,0.23280236555343678,12,414,7,0.9337507919051362,COMPLETE
65,2452.696785977553,2022-12-27 09:58:50.227060,2022-12-27 10:00:42.922093,0 days 00:01:52.695033,,Plain,Bernoulli,10,0.11896013458594407,0.23034314053693913,8,380,5,0.9743093141748752,COMPLETE
62,2453.1072293632437,2022-12-27 09:52:00.634575,2022-12-27 09:53:56.171064,0 days 00:01:55.536489,,Plain,Bernoulli,10,0.1112315924014357,0.2093345631392876,10,383,3,0.9552109909988485,COMPLETE
93,2453.1087522577027,2022-12-27 11:06:04.767644,2022-12-27 11:08:05.624823,0 days 00:02:00.857179,,Plain,Bernoulli,10,0.2477103323103927,0.1545179606493434,9,411,7,0.9468946834212577,COMPLETE
56,2454.787681226546,2022-12-27 09:34:49.072651,2022-12-27 09:36:33.480870,0 days 00:01:44.408219,,Plain,Bernoulli,10,0.19077628524154913,0.2160351009325233,10,385,5,0.929986926941267,COMPLETE
82,2455.454237472704,2022-12-27 10:39:22.282525,2022-12-27 10:41:20.065500,0 days 00:01:57.782975,,Plain,Bernoulli,10,0.13335287883157088,0.17956697846363756,10,393,5,0.891021252715103,COMPLETE
71,2455.5396077614027,2022-12-27 10:15:51.236491,2022-12-27 10:17:46.913032,0 days 00:01:55.676541,,Plain,Bernoulli,10,0.13275647439657834,0.2370817646326271,10,386,5,0.8989437233800024,COMPLETE
75,2456.1607807705614,2022-12-27 10:24:21.032016,2022-12-27 10:26:26.513924,0 days 00:02:05.481908,,Plain,Bernoulli,10,0.07975450954145735,0.22803324401658395,8,434,6,0.8890445858970939,COMPLETE
84,2456.3992678792233,2022-12-27 10:43:54.288254,2022-12-27 10:45:53.891560,0 days 00:01:59.603306,,Plain,Bernoulli,10,0.011855186063270323,0.13664046296406285,9,426,19,0.9734588638265673,COMPLETE
96,2456.5330778688544,2022-12-27 11:13:32.609148,2022-12-27 11:15:37.005774,0 days 00:02:04.396626,,Plain,Bernoulli,10,0.11158780838157187,0.25265435654463303,11,429,7,0.9101809235626088,COMPLETE
81,2457.5287964240238,2022-12-27 10:37:10.540090,2022-12-27 10:39:01.034308,0 days 00:01:50.494218,,Plain,Bernoulli,10,0.12407177802757066,0.24376989898503554,10,381,5,0.9082435983151258,COMPLETE
94,2457.6616528126024,2022-12-27 11:08:30.143437,2022-12-27 11:10:35.360197,0 days 00:02:05.216760,,Plain,Bernoulli,10,0.24391399325354932,0.1500909348586027,7,411,7,0.9816618026500652,COMPLETE
91,2458.393148131858,2022-12-27 11:01:40.484733,2022-12-27 11:03:34.945807,0 days 00:01:54.461074,,Plain,Bernoulli,10,0.20550472679329196,0.2528562660108583,8,376,20,0.9333144693017204,COMPLETE
78,2459.0260216612223,2022-12-27 10:30:47.139936,2022-12-27 10:32:42.029812,0 days 00:01:54.889876,,Plain,Bernoulli,10,0.053386701272786746,0.23655406636372156,13,386,3,0.935890195805155,COMPLETE
19,2459.4760322886186,2022-12-27 08:14:46.446045,2022-12-27 08:16:42.285782,0 days 00:01:55.839737,0.2559975016554139,Plain,Bayesian,9,0.23569577100457423,0.29285152315039764,6,500,12,,COMPLETE
97,2459.6540719507416,2022-12-27 11:16:02.984004,2022-12-27 11:18:02.358909,0 days 00:01:59.374905,,Plain,Bernoulli,9,0.061483853171284686,0.295819745915981,8,487,6,0.9551637866604721,COMPLETE
72,2460.1874755377376,2022-12-27 10:18:05.356548,2022-12-27 10:19:48.749054,0 days 00:01:43.392506,,Plain,Bernoulli,10,0.16839511237286353,0.22846398594764428,10,356,4,0.9426008983383537,COMPLETE
52,2461.8157694472798,2022-12-27 09:25:17.446382,2022-12-27 09:27:16.924267,0 days 00:01:59.477885,,Plain,Bernoulli,9,0.3082613836305301,0.214162608120724,11,443,8,0.9227247919299918,COMPLETE
63,2462.120643514913,2022-12-27 09:54:18.213360,2022-12-27 09:56:11.348827,0 days 00:01:53.135467,,Plain,Bernoulli,10,0.10091119972394508,0.15456720818860822,10,368,3,0.9579892644371424,COMPLETE
51,2462.6272145003795,2022-12-27 09:23:04.750774,2022-12-27 09:25:02.560092,0 days 00:01:57.809318,,Plain,Bernoulli,10,0.27554386018883453,0.2912304369807731,11,441,8,0.9160186632066132,COMPLETE
43,2464.500413139769,2022-12-27 09:05:25.982218,2022-12-27 09:07:25.349113,0 days 00:01:59.366895,,Plain,Bernoulli,9,0.25513377136352255,0.2916416517400915,14,477,7,0.8057507503079724,COMPLETE
14,2465.259254996255,2022-12-27 08:05:33.565947,2022-12-27 08:06:49.862152,0 days 00:01:16.296205,,Plain,Bernoulli,9,0.4602303984050585,0.29673449637656346,11,499,11,0.7528713737130079,COMPLETE
68,2465.62465254886,2022-12-27 10:05:33.212414,2022-12-27 10:07:19.463897,0 days 00:01:46.251483,,Plain,Bernoulli,10,0.038433152414025055,0.15153184250787546,7,358,2,0.9583416475533844,COMPLETE
59,2466.2294196077637,2022-12-27 09:45:04.050319,2022-12-27 09:47:02.986750,0 days 00:01:58.936431,,Plain,Bernoulli,10,0.0774244771389192,0.12306246171463585,9,410,2,0.997198841467371,COMPLETE
92,2466.2654157888232,2022-12-27 11:03:59.564253,2022-12-27 11:05:42.173015,0 days 00:01:42.608762,,Plain,Bernoulli,10,0.030611208439795735,0.20203109771398348,9,326,6,0.8792163381805999,COMPLETE
74,2467.1496637934083,2022-12-27 10:22:17.268371,2022-12-27 10:24:00.098408,0 days 00:01:42.830037,,Plain,Bernoulli,10,0.2146929459332532,0.1788788900488223,11,322,5,0.952055769283793,COMPLETE
