iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
92,2487.998969355098,2023-02-08 23:20:34.699535,2023-02-08 23:20:46.044254,0 days 00:00:11.344719,,Plain,Bernoulli,8,0.19045672151030227,0.2850436302855309,14,287,19,0.9410999120568411,COMPLETE
93,2490.694718710519,2023-02-08 23:20:51.371736,2023-02-08 23:21:02.870966,0 days 00:00:11.499230,,Plain,Bernoulli,8,0.1312586186193388,0.29764817564300194,16,297,19,0.906951768491526,COMPLETE
91,2494.1964783388353,2023-02-08 23:20:19.656117,2023-02-08 23:20:30.633696,0 days 00:00:10.977579,,Plain,Bernoulli,8,0.1656843531889024,0.2987377704690941,14,284,19,0.9487670550117226,COMPLETE
94,2500.6704682516165,2023-02-08 23:21:07.485534,2023-02-08 23:21:18.638098,0 days 00:00:11.152564,,Plain,Bernoulli,8,0.128883362254975,0.298616173196507,17,260,18,0.9038628222666572,COMPLETE
89,2521.9963837322925,2023-02-08 23:19:42.945233,2023-02-08 23:19:54.133217,0 days 00:00:11.187984,,Plain,Bernoulli,8,0.22748002569983003,0.16793908171120436,12,327,19,0.9246520860974681,COMPLETE
62,2529.190089811291,2023-02-08 23:09:09.999786,2023-02-08 23:09:26.453226,0 days 00:00:16.453440,,Ordered,Bernoulli,8,0.19139036792621217,0.2933537164057959,13,286,20,0.9600798824734771,COMPLETE
55,2530.40159312698,2023-02-08 23:06:23.435228,2023-02-08 23:06:40.855736,0 days 00:00:17.420508,,Ordered,Bernoulli,8,0.1913465391006641,0.2266502192981161,10,316,2,0.8482960235943247,COMPLETE
38,2530.5188442088374,2023-02-08 22:59:24.566205,2023-02-08 22:59:44.567349,0 days 00:00:20.001144,,Ordered,Bernoulli,8,0.4642263573996124,0.16378374717451627,8,421,16,0.8985941116258536,COMPLETE
63,2531.901257651625,2023-02-08 23:09:31.380022,2023-02-08 23:09:52.140807,0 days 00:00:20.760785,,Ordered,Bernoulli,8,0.1753509417723439,0.2937341311383574,13,317,20,0.7319500157822438,COMPLETE
65,2533.5700016746264,2023-02-08 23:10:17.506584,2023-02-08 23:10:34.189996,0 days 00:00:16.683412,,Ordered,Bernoulli,8,0.17645693070134014,0.27949703068158444,13,281,20,0.9517234250084561,COMPLETE
82,2535.2998541974953,2023-02-08 23:17:03.634964,2023-02-08 23:17:21.366716,0 days 00:00:17.731752,,Ordered,Bernoulli,8,0.18947531659015612,0.23511982043275959,13,342,19,0.9647829613703651,COMPLETE
97,2535.3184950605973,2023-02-08 23:22:00.929673,2023-02-08 23:22:12.322372,0 days 00:00:11.392699,,Plain,Bernoulli,8,0.0525105489651221,0.17367191935709334,17,286,16,0.874760002889075,COMPLETE
64,2535.3526047105142,2023-02-08 23:09:56.509884,2023-02-08 23:10:12.978321,0 days 00:00:16.468437,,Ordered,Bernoulli,8,0.16472900518627304,0.28844841111985037,13,279,20,0.9481085283387826,COMPLETE
51,2539.0481434270305,2023-02-08 23:04:45.944883,2023-02-08 23:05:04.669020,0 days 00:00:18.724137,,Ordered,Bernoulli,8,0.26369248902177134,0.1937503612660341,12,368,19,0.9963502957050784,COMPLETE
68,2540.3856779624593,2023-02-08 23:11:21.554143,2023-02-08 23:11:43.712612,0 days 00:00:22.158469,,Ordered,Bernoulli,9,0.16286988849059567,0.21978558161293202,13,247,20,0.7286004666569177,COMPLETE
53,2541.9296169330173,2023-02-08 23:05:36.054920,2023-02-08 23:05:53.378519,0 days 00:00:17.323599,,Ordered,Bernoulli,8,0.2559412009911499,0.2111307998225044,14,352,20,0.9988469680067708,COMPLETE
83,2542.426022279869,2023-02-08 23:17:25.796121,2023-02-08 23:17:45.094301,0 days 00:00:19.298180,,Ordered,Bernoulli,8,0.17629790128345957,0.24671800719523915,13,326,19,0.9090440307773672,COMPLETE
85,2547.1877312894903,2023-02-08 23:18:14.875269,2023-02-08 23:18:30.880705,0 days 00:00:16.005436,,Ordered,Bernoulli,7,0.21437686352951266,0.25056752622838846,6,362,18,0.9039518319534058,COMPLETE
43,2548.420933515933,2023-02-08 23:01:24.707591,2023-02-08 23:01:45.648633,0 days 00:00:20.941042,,Ordered,Bernoulli,7,0.3922878567987732,0.1836967962760387,14,439,18,0.9159669904019409,COMPLETE
73,2548.5989930297346,2023-02-08 23:13:33.903618,2023-02-08 23:13:49.294493,0 days 00:00:15.390875,,Ordered,Bernoulli,8,0.1976881655518068,0.2945688037938747,15,241,19,0.9579792741178276,COMPLETE
32,2548.7468226119363,2023-02-08 22:56:48.150263,2023-02-08 22:57:09.761960,0 days 00:00:21.611697,,Ordered,Bernoulli,8,0.22414395396537792,0.11141300363181157,10,493,19,0.8273461757925586,COMPLETE
71,2549.187865586074,2023-02-08 23:12:40.400339,2023-02-08 23:13:00.413582,0 days 00:00:20.013243,,Ordered,Bernoulli,9,0.15032361210390952,0.22553820976687647,13,255,20,0.6778330134588089,COMPLETE
25,2549.277088368386,2023-02-08 22:52:58.116133,2023-02-08 22:53:16.810603,0 days 00:00:18.694470,,Plain,Bernoulli,10,0.06558123891942624,0.16565650778602356,11,155,19,0.9903166964686891,COMPLETE
