iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
72,2459.6900442584924,2023-01-13 14:16:32.466022,2023-01-13 14:16:52.955566,0 days 00:00:20.489544,,Plain,Bernoulli,10,0.8046709392181282,0.16029930564599867,19,449,10,0.4711180149767001,COMPLETE
7,2460.499078024582,2023-01-13 13:28:20.518922,2023-01-13 13:28:45.659086,0 days 00:00:25.140164,,Plain,Bernoulli,10,0.43038641440690484,0.20118165142707878,2,460,18,0.4579191736450561,COMPLETE
96,2464.561863463849,2023-01-13 14:30:05.980420,2023-01-13 14:30:31.497464,0 days 00:00:25.517044,,Plain,Bernoulli,10,0.6026326388919461,0.1747050037862328,19,452,3,0.4963521859226861,COMPLETE
68,2467.593689546741,2023-01-13 14:14:21.320238,2023-01-13 14:14:47.600621,0 days 00:00:26.280383,,Plain,Bernoulli,10,0.8449499843887168,0.16043727388772866,16,453,12,0.46032776621047244,COMPLETE
94,2467.6800987874435,2023-01-13 14:29:10.734352,2023-01-13 14:29:31.473010,0 days 00:00:20.738658,,Plain,Bernoulli,10,0.6595034481789972,0.16746858252604924,18,400,2,0.49833402467733207,COMPLETE
71,2468.724036271659,2023-01-13 14:15:58.756751,2023-01-13 14:16:26.389645,0 days 00:00:27.632894,,Plain,Bernoulli,10,0.8308585114032884,0.1674002246900128,19,451,12,0.44613400322140645,COMPLETE
73,2469.9251378711433,2023-01-13 14:17:00.876610,2023-01-13 14:17:22.559264,0 days 00:00:21.682654,,Plain,Bernoulli,10,0.8349421840861309,0.1535509733997279,19,418,10,0.47746005095559796,COMPLETE
93,2469.9969000385827,2023-01-13 14:28:42.715776,2023-01-13 14:29:03.005630,0 days 00:00:20.289854,,Plain,Bernoulli,10,0.6576077050688247,0.17207752372251697,18,449,2,0.41266894596819725,COMPLETE
99,2470.751647787121,2023-01-13 14:31:30.538037,2023-01-13 14:32:01.402153,0 days 00:00:30.864116,,Plain,Bernoulli,9,0.6858254965991946,0.2880084982409692,17,443,3,0.4856740952965049,COMPLETE
97,2471.411937429412,2023-01-13 14:30:37.726338,2023-01-13 14:30:57.775911,0 days 00:00:20.049573,,Plain,Bernoulli,9,0.6408138378351719,0.1798717995622762,18,449,3,0.4890789729537732,COMPLETE
88,2473.4462898398533,2023-01-13 14:26:15.722922,2023-01-13 14:26:41.522844,0 days 00:00:25.799922,,Plain,Bernoulli,10,0.43830339212757424,0.12652566680249314,18,418,4,0.48651187493289977,COMPLETE
92,2474.169739071282,2023-01-13 14:28:12.377935,2023-01-13 14:28:36.683817,0 days 00:00:24.305882,,Plain,Bernoulli,10,0.5521413467192555,0.15053047123481772,19,401,2,0.5184255773280613,COMPLETE
84,2477.9463013150653,2023-01-13 14:24:04.728525,2023-01-13 14:24:33.329564,0 days 00:00:28.601039,,Plain,Bernoulli,10,0.578466470076857,0.1427288552161068,19,412,5,0.43698244320397356,COMPLETE
78,2478.0498633085526,2023-01-13 14:20:10.012674,2023-01-13 14:20:42.962917,0 days 00:00:32.950243,,Plain,Bernoulli,10,0.4894217671759936,0.14795618027455304,18,429,7,0.4235746723492186,COMPLETE
80,2484.1128700165077,2023-01-13 14:21:23.472060,2023-01-13 14:21:49.484272,0 days 00:00:26.012212,,Plain,Bernoulli,10,0.501258982139231,0.14828694149130725,20,427,5,0.3607556378085795,COMPLETE
91,2487.99615422171,2023-01-13 14:27:39.570684,2023-01-13 14:28:06.289952,0 days 00:00:26.719268,,Plain,Bernoulli,10,0.4831920834382663,0.12390284610111096,20,406,4,0.452789429620162,COMPLETE
81,2488.108762518307,2023-01-13 14:22:05.790995,2023-01-13 14:22:30.048962,0 days 00:00:24.257967,,Plain,Bernoulli,10,0.49654213953308657,0.11626216239163754,20,430,5,0.4554369793588292,COMPLETE
75,2489.830341944525,2023-01-13 14:18:00.503997,2023-01-13 14:18:40.440599,0 days 00:00:39.936602,,Plain,Bernoulli,10,0.38551966502976337,0.14156203462782027,19,381,9,0.42870923288971097,COMPLETE
69,2490.1590006125957,2023-01-13 14:14:53.919124,2023-01-13 14:15:14.754009,0 days 00:00:20.834885,,Plain,Bernoulli,9,0.7946515733741875,0.1589769321063664,18,431,16,0.4679558968249041,COMPLETE
82,2497.6622740684297,2023-01-13 14:22:49.449266,2023-01-13 14:23:23.849909,0 days 00:00:34.400643,,Plain,Bernoulli,10,0.5072834447495769,0.11018438336005709,20,421,5,0.37227623201058335,COMPLETE
85,2503.0808512153103,2023-01-13 14:24:40.255453,2023-01-13 14:25:02.733469,0 days 00:00:22.478016,,Plain,Bernoulli,10,0.5755958786692374,0.11134644300598148,20,448,5,0.3099735776945959,COMPLETE
48,2513.191110509144,2023-01-13 13:58:26.904541,2023-01-13 13:59:11.630393,0 days 00:00:44.725852,,Ordered,Bernoulli,10,0.9556863404236731,0.19627214100597662,14,482,12,0.5853553684684467,COMPLETE
43,2513.4026296289417,2023-01-13 13:54:10.463153,2023-01-13 13:54:50.384948,0 days 00:00:39.921795,,Ordered,Bernoulli,10,0.8481328014044123,0.20574923078302823,15,495,12,0.6261729737847999,COMPLETE
39,2517.2246365418373,2023-01-13 13:50:10.192696,2023-01-13 13:50:53.953465,0 days 00:00:43.760769,,Ordered,Bernoulli,10,0.7482488098747044,0.1691679266905462,14,455,12,0.6115484254842127,COMPLETE
51,2517.3171920006102,2023-01-13 14:01:24.958565,2023-01-13 14:02:09.112102,0 days 00:00:44.153537,,Ordered,Bernoulli,10,0.8686292345503323,0.23501843084649937,14,482,12,0.5383151888374966,COMPLETE
42,2518.700358697931,2023-01-13 13:52:59.089666,2023-01-13 13:54:02.001171,0 days 00:01:02.911505,,Ordered,Bernoulli,10,0.8541292449203501,0.1899828777011142,15,498,12,0.46499918053768036,COMPLETE
64,2519.6822429669974,2023-01-13 14:11:14.222656,2023-01-13 14:11:59.615580,0 days 00:00:45.392924,,Ordered,Bernoulli,10,0.7443883880591584,0.22930716722030023,15,463,11,0.38924733066133216,COMPLETE
61,2524.7089676036626,2023-01-13 14:08:48.878257,2023-01-13 14:09:28.394657,0 days 00:00:39.516400,,Ordered,Bernoulli,10,0.8794145146344168,0.21340531692465256,15,463,11,0.5645345266762334,COMPLETE
52,2525.3315107031726,2023-01-13 14:02:15.416015,2023-01-13 14:02:55.220776,0 days 00:00:39.804761,,Ordered,Bernoulli,10,0.8737263508453803,0.22305841963422404,12,461,11,0.5512558677467905,COMPLETE
