iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
92,2472.1806826327656,2023-01-17 21:49:55.106038,2023-01-17 21:50:32.170595,0 days 00:00:37.064557,,Plain,Bernoulli,10,0.10173225820233592,0.29930867661858696,13,202,14,0.9970518734479302,COMPLETE
83,2482.332863083947,2023-01-17 21:45:27.357129,2023-01-17 21:45:52.447822,0 days 00:00:25.090693,,Plain,Bernoulli,10,0.20452623268333872,0.23246921977684573,10,199,16,0.9972397540802065,COMPLETE
71,2483.5916266348363,2023-01-17 21:39:47.628073,2023-01-17 21:40:06.266467,0 days 00:00:18.638394,,Plain,Bernoulli,10,0.22914867193665592,0.2919282575195987,11,178,13,0.8838865651854682,COMPLETE
44,2484.463292924287,2023-01-17 21:26:23.244221,2023-01-17 21:26:42.083150,0 days 00:00:18.838929,,Plain,Bernoulli,10,0.10113860781526507,0.1648982194512471,12,266,6,0.7694633483688685,COMPLETE
87,2485.146298922487,2023-01-17 21:47:32.865324,2023-01-17 21:47:57.815697,0 days 00:00:24.950373,,Plain,Bernoulli,10,0.25646326408612063,0.2256727793972957,14,208,16,0.9419985181396663,COMPLETE
82,2487.3616344715647,2023-01-17 21:44:44.412658,2023-01-17 21:45:22.574235,0 days 00:00:38.161577,,Plain,Bernoulli,10,0.2197828800612676,0.2941890087175431,10,186,16,0.956958973934852,COMPLETE
69,2487.762188756063,2023-01-17 21:38:50.210385,2023-01-17 21:39:15.575464,0 days 00:00:25.365079,,Plain,Bernoulli,10,0.2220166537171649,0.24470306509234113,9,199,11,0.881599986669209,COMPLETE
56,2487.901059771738,2023-01-17 21:32:18.729099,2023-01-17 21:32:44.525665,0 days 00:00:25.796566,,Plain,Bernoulli,9,0.037589070282388407,0.21187901835350106,13,273,10,0.9867570289501891,COMPLETE
62,2491.0536235657382,2023-01-17 21:35:07.309128,2023-01-17 21:35:36.293908,0 days 00:00:28.984780,,Plain,Bernoulli,9,0.07394235102303967,0.2351562422941361,5,279,9,0.6943114243815018,COMPLETE
75,2491.7784197897663,2023-01-17 21:41:35.585915,2023-01-17 21:41:56.085875,0 days 00:00:20.499960,,Plain,Bernoulli,10,0.32474809399628846,0.2708516941504325,10,171,13,0.9709028671325175,COMPLETE
91,2492.5310469045653,2023-01-17 21:49:33.533812,2023-01-17 21:49:50.336804,0 days 00:00:16.802992,,Plain,Bernoulli,10,0.20733512818062405,0.2949185253588157,13,185,14,0.9411312332406763,COMPLETE
70,2494.2374001193157,2023-01-17 21:39:21.874776,2023-01-17 21:39:41.480106,0 days 00:00:19.605330,,Plain,Bernoulli,10,0.2110555059097236,0.2650587975946868,10,185,13,0.8896301125889494,COMPLETE
72,2497.676005576334,2023-01-17 21:40:10.938607,2023-01-17 21:40:35.545940,0 days 00:00:24.607333,,Plain,Bernoulli,10,0.2296464890936847,0.24648167599365,10,178,13,0.8800483043106925,COMPLETE
76,2498.1708720025426,2023-01-17 21:42:00.121185,2023-01-17 21:42:21.830669,0 days 00:00:21.709484,,Plain,Bernoulli,10,0.2178169758421897,0.2997528598665297,10,152,15,0.9041606751163005,COMPLETE
77,2499.206468725012,2023-01-17 21:42:26.523037,2023-01-17 21:42:51.807757,0 days 00:00:25.284720,,Plain,Bernoulli,10,0.340091947135045,0.22616852212416816,9,175,14,0.8669155675631637,COMPLETE
74,2500.3323452470863,2023-01-17 21:41:05.317973,2023-01-17 21:41:25.965880,0 days 00:00:20.647907,,Plain,Bernoulli,10,0.2998773936392797,0.25151775280049954,11,169,13,0.963859337453969,COMPLETE
88,2504.3287586021584,2023-01-17 21:48:02.147817,2023-01-17 21:48:26.088037,0 days 00:00:23.940220,,Plain,Bernoulli,10,0.2767376710680181,0.1758825319401103,14,216,17,0.9498737637441752,COMPLETE
43,2506.4727595799245,2023-01-17 21:25:53.781806,2023-01-17 21:26:16.339859,0 days 00:00:22.558053,,Plain,Bernoulli,9,0.04589057166792474,0.18557762035755393,11,267,6,0.7597183616096432,COMPLETE
41,2509.6205265838607,2023-01-17 21:24:42.272445,2023-01-17 21:25:01.564531,0 days 00:00:19.292086,,Plain,Bernoulli,9,0.24893582002176573,0.18437814627611926,6,258,9,0.7664900007333739,COMPLETE
66,2509.724678186356,2023-01-17 21:37:23.844167,2023-01-17 21:37:46.248619,0 days 00:00:22.404452,,Plain,Bernoulli,10,0.18869080938976568,0.13950770510092197,5,246,10,0.9314743569403026,COMPLETE
42,2510.0183119555572,2023-01-17 21:25:12.810901,2023-01-17 21:25:46.771603,0 days 00:00:33.960702,,Plain,Bernoulli,9,0.05488139939440692,0.17195912189327686,6,274,9,0.7398840128172419,COMPLETE
67,2510.534579900717,2023-01-17 21:37:56.281728,2023-01-17 21:38:15.186529,0 days 00:00:18.904801,,Plain,Bernoulli,10,0.18524037294224954,0.13389113493795415,5,243,10,0.9310214529446077,COMPLETE
99,2513.240056910035,2023-01-17 21:53:38.921120,2023-01-17 21:54:03.305405,0 days 00:00:24.384285,,Plain,Bernoulli,10,0.13493618494340698,0.246944626094669,13,202,12,0.42887123253060677,COMPLETE
35,2513.704091347212,2023-01-17 21:21:29.835997,2023-01-17 21:21:48.194462,0 days 00:00:18.358465,1.0575404128982304,Plain,Bayesian,9,0.2798656854478792,0.1922527368397605,6,270,9,,COMPLETE
64,2516.113835288776,2023-01-17 21:36:07.430254,2023-01-17 21:36:44.749134,0 days 00:00:37.318880,,Plain,Bernoulli,8,0.31419113391855974,0.23250487386618524,14,299,8,0.5771865036503929,COMPLETE
52,2516.8418835144216,2023-01-17 21:30:14.807715,2023-01-17 21:30:38.403500,0 days 00:00:23.595785,,Plain,Bernoulli,9,0.11232240866713841,0.20844479258376533,8,230,4,0.6645784753519095,COMPLETE
61,2518.233329297537,2023-01-17 21:34:40.736096,2023-01-17 21:35:00.083807,0 days 00:00:19.347711,,Plain,Bernoulli,9,0.11933412135526344,0.20743343353628393,7,225,6,0.7661261539982238,COMPLETE
73,2518.717665438458,2023-01-17 21:40:40.567194,2023-01-17 21:41:01.287129,0 days 00:00:20.719935,,Plain,Bernoulli,10,0.22466359524900795,0.28811790198165527,10,127,14,0.8896331522902218,COMPLETE
51,2519.962061677048,2023-01-17 21:29:38.278071,2023-01-17 21:30:03.296086,0 days 00:00:25.018015,,Plain,Bernoulli,9,0.240045935788907,0.1971466133863471,6,235,4,0.6346454925583747,COMPLETE
95,2520.103325415702,2023-01-17 21:51:34.883551,2023-01-17 21:52:02.539283,0 days 00:00:27.655732,,Plain,Bernoulli,10,0.17014944666909743,0.1675527187192797,11,192,16,0.7968098820223278,COMPLETE
84,2523.125357542177,2023-01-17 21:45:56.679746,2023-01-17 21:46:24.625677,0 days 00:00:27.945931,,Plain,Bernoulli,10,0.9999913707236671,0.15786770646909884,11,201,16,0.9868284470603024,COMPLETE
36,2524.081648559914,2023-01-17 21:21:53.430267,2023-01-17 21:22:29.556046,0 days 00:00:36.125779,,Plain,Bernoulli,9,0.26378215212680256,0.18097659628153717,6,239,5,0.6382168041223498,COMPLETE
81,2524.3525950285316,2023-01-17 21:44:24.127047,2023-01-17 21:44:39.927111,0 days 00:00:15.800064,,Plain,Bernoulli,10,0.2387083522101504,0.2846215948794681,10,118,15,0.9088664124591688,COMPLETE
49,2524.705639253731,2023-01-17 21:28:40.041955,2023-01-17 21:29:04.197956,0 days 00:00:24.156001,,Plain,Bernoulli,10,0.05682094868462034,0.18849544498295673,17,194,6,0.5473453300511057,COMPLETE
68,2526.7450461972326,2023-01-17 21:38:22.009113,2023-01-17 21:38:45.907629,0 days 00:00:23.898516,,Plain,Bernoulli,10,0.08967076400514312,0.09089502477070036,11,326,18,0.9205030682270332,COMPLETE
31,2531.0061567718863,2023-01-17 21:18:42.649119,2023-01-17 21:19:10.292634,0 days 00:00:27.643515,0.010085075892707657,Ordered,Bayesian,9,0.3789784199404985,0.28181405501922535,2,293,12,,COMPLETE
90,2532.995359984676,2023-01-17 21:49:03.333726,2023-01-17 21:49:27.036900,0 days 00:00:23.703174,,Plain,Bernoulli,10,0.13767872013525068,0.21656183612330798,12,144,18,0.8333045391843927,COMPLETE
22,2540.682650489638,2023-01-17 21:13:06.174550,2023-01-17 21:13:45.458140,0 days 00:00:39.283590,1.4024691730922405,Ordered,Bayesian,9,0.3936471334304416,0.29903537971208477,2,309,9,,COMPLETE
