iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
88,2468.6696369630495,2023-01-05 17:47:33.597409,2023-01-05 17:47:48.499537,0 days 00:00:14.902128,,Plain,Bernoulli,10,0.9706330286732678,0.2440265035370419,18,370,18,0.8647026192689475,COMPLETE
65,2469.015151010543,2023-01-05 17:40:00.535260,2023-01-05 17:40:14.916214,0 days 00:00:14.380954,,Plain,Bernoulli,10,0.8771267472746443,0.21515428989223379,19,367,18,0.9684270065228038,COMPLETE
94,2470.00051143486,2023-01-05 17:49:55.004041,2023-01-05 17:50:09.802021,0 days 00:00:14.797980,,Plain,Bernoulli,10,0.9464503153785472,0.2576148509137168,19,349,20,0.9152024705151116,COMPLETE
98,2471.193120966427,2023-01-05 17:51:15.008560,2023-01-05 17:51:29.304457,0 days 00:00:14.295897,,Plain,Bernoulli,10,0.9148879078999604,0.17931649859335372,4,365,20,0.9954924012821628,COMPLETE
95,2472.242684355344,2023-01-05 17:50:16.321804,2023-01-05 17:50:30.731884,0 days 00:00:14.410080,,Plain,Bernoulli,10,0.8919630294589812,0.19715053065790006,3,364,20,0.9148261631702556,COMPLETE
96,2474.9765503900353,2023-01-05 17:50:37.452255,2023-01-05 17:50:52.420077,0 days 00:00:14.967822,,Plain,Bernoulli,10,0.9681289007676962,0.18608939931759133,3,348,20,0.9119194747518771,COMPLETE
92,2478.6180195975403,2023-01-05 17:49:16.657414,2023-01-05 17:49:31.526625,0 days 00:00:14.869211,,Plain,Bernoulli,10,0.8875110837475686,0.23534584454057011,20,330,19,0.9092600885069234,COMPLETE
32,2479.3308632114795,2023-01-05 17:29:28.940774,2023-01-05 17:29:43.411707,0 days 00:00:14.470933,,Plain,Bernoulli,10,0.8124260051261594,0.19959099380652362,16,354,18,0.7678945913575014,COMPLETE
79,2480.34962834637,2023-01-05 17:44:37.361729,2023-01-05 17:44:51.595905,0 days 00:00:14.234176,,Plain,Bernoulli,10,0.8697648327040933,0.21378085551830733,20,321,17,0.8899709246414631,COMPLETE
91,2480.5165305011155,2023-01-05 17:48:55.436886,2023-01-05 17:49:10.288672,0 days 00:00:14.851786,,Plain,Bernoulli,10,0.9704982857262223,0.20414091316992303,20,335,19,0.9113223602329619,COMPLETE
21,2481.4233544078247,2023-01-05 17:26:07.066032,2023-01-05 17:26:21.553720,0 days 00:00:14.487688,,Plain,Bernoulli,10,0.8238855188157115,0.22720779038979186,17,331,20,0.750198514412164,COMPLETE
72,2481.8942594966566,2023-01-05 17:42:18.638372,2023-01-05 17:42:32.274585,0 days 00:00:13.636213,,Plain,Bernoulli,10,0.9554984865321996,0.22633872851184322,19,301,19,0.845052021348902,COMPLETE
81,2481.9798418626165,2023-01-05 17:45:22.276161,2023-01-05 17:45:36.108510,0 days 00:00:13.832349,,Plain,Bernoulli,10,0.895749828495752,0.2236815237128595,18,305,18,0.8608467955163692,COMPLETE
71,2484.581693403795,2023-01-05 17:41:58.267717,2023-01-05 17:42:11.954049,0 days 00:00:13.686332,,Plain,Bernoulli,10,0.9446050412234822,0.2931919435591698,20,300,19,0.8048622173570855,COMPLETE
77,2484.723551987376,2023-01-05 17:43:49.309683,2023-01-05 17:44:03.133953,0 days 00:00:13.824270,,Plain,Bernoulli,10,0.8672289453137099,0.22422275614406129,20,316,18,0.8107948140376664,COMPLETE
34,2486.2652697500366,2023-01-05 17:30:06.579049,2023-01-05 17:30:20.484572,0 days 00:00:13.905523,,Plain,Bernoulli,10,0.905599120560801,0.18729255121722516,11,314,14,0.8991553188741128,COMPLETE
74,2489.1082022529577,2023-01-05 17:42:55.414478,2023-01-05 17:43:08.980207,0 days 00:00:13.565729,,Plain,Bernoulli,10,0.901337181949235,0.21986574301004694,19,305,20,0.8381529195435541,COMPLETE
51,2489.123690852621,2023-01-05 17:35:24.581784,2023-01-05 17:35:38.122871,0 days 00:00:13.541087,,Plain,Bernoulli,10,0.8349580822081554,0.28826445473746304,19,280,18,0.8017597537639062,COMPLETE
18,2489.654989282404,2023-01-05 17:25:10.799660,2023-01-05 17:25:24.461511,0 days 00:00:13.661851,,Plain,Bernoulli,9,0.8270779215205037,0.2916690110130984,12,335,20,0.9189079938628405,COMPLETE
22,2489.721761789319,2023-01-05 17:26:26.294151,2023-01-05 17:26:40.453118,0 days 00:00:14.158967,,Plain,Bernoulli,9,0.8209800985357582,0.29230431874207446,17,358,18,0.7584045948460357,COMPLETE
23,2490.9253751299084,2023-01-05 17:26:46.074466,2023-01-05 17:26:59.218556,0 days 00:00:13.144090,,Plain,Bernoulli,10,0.8246895054726422,0.2926538098628777,20,276,18,0.8092293928137773,COMPLETE
82,2494.2074276858843,2023-01-05 17:45:40.406659,2023-01-05 17:45:54.781769,0 days 00:00:14.375110,,Plain,Bernoulli,10,0.9880072472160885,0.16895430087715196,18,324,17,0.8835082710362792,COMPLETE
44,2495.2405926807915,2023-01-05 17:33:04.454284,2023-01-05 17:33:18.301139,0 days 00:00:13.846855,,Plain,Bernoulli,10,0.5818688332252004,0.1904635696291586,14,297,13,0.7006664083100801,COMPLETE
61,2495.4991924171222,2023-01-05 17:38:43.078433,2023-01-05 17:39:02.148656,0 days 00:00:19.070223,,Plain,Bernoulli,10,0.8437387185509355,0.24616105238998584,20,277,18,0.8112641867572203,COMPLETE
31,2497.0942925463924,2023-01-05 17:29:10.668451,2023-01-05 17:29:24.237673,0 days 00:00:13.569222,,Plain,Bernoulli,10,0.8085753982778414,0.28858174701425576,20,274,18,0.828055463498222,COMPLETE
36,2498.1982311850065,2023-01-05 17:30:42.384551,2023-01-05 17:30:55.951898,0 days 00:00:13.567347,,Plain,Bernoulli,10,0.9183438265680881,0.17217308683333285,10,313,8,0.8916604164790009,COMPLETE
48,2500.0779453358514,2023-01-05 17:34:20.645950,2023-01-05 17:34:35.065352,0 days 00:00:14.419402,,Plain,Bernoulli,10,0.7656968318798115,0.11670791500993678,5,389,18,0.8384950890345699,COMPLETE
64,2500.570528951867,2023-01-05 17:39:42.212525,2023-01-05 17:39:56.468073,0 days 00:00:14.255548,,Plain,Bernoulli,10,0.7561054107664209,0.15899956364116896,18,328,17,0.7475152122023123,COMPLETE
93,2501.697516370471,2023-01-05 17:49:35.927828,2023-01-05 17:49:50.765847,0 days 00:00:14.838019,,Plain,Bernoulli,10,0.973913741466117,0.140519865606679,20,336,19,0.9427777614661011,COMPLETE
41,2503.03676202808,2023-01-05 17:32:10.704018,2023-01-05 17:32:24.605260,0 days 00:00:13.901242,,Plain,Bernoulli,9,0.7818644353469116,0.1883384310277843,16,350,17,0.7715896175997239,COMPLETE
52,2503.554511251184,2023-01-05 17:35:42.775022,2023-01-05 17:35:55.810441,0 days 00:00:13.035419,,Plain,Bernoulli,10,0.7363850936187093,0.22341210640962053,19,253,18,0.7448704968253466,COMPLETE
90,2506.7662632121132,2023-01-05 17:48:37.057310,2023-01-05 17:48:51.375761,0 days 00:00:14.318451,,Plain,Bernoulli,9,0.943806588245577,0.165399474020209,19,387,18,0.862369870967771,COMPLETE
63,2510.7917965978786,2023-01-05 17:39:24.647700,2023-01-05 17:39:37.862288,0 days 00:00:13.214588,,Plain,Bernoulli,10,0.820157919304963,0.2982571146883194,19,239,19,0.6711310720677266,COMPLETE
76,2512.4706224256333,2023-01-05 17:43:31.864564,2023-01-05 17:43:45.248590,0 days 00:00:13.384026,,Plain,Bernoulli,10,0.905823455729755,0.18055509474675768,18,254,19,0.89099658562236,COMPLETE
0,2516.9861550791356,2023-01-05 17:18:10.176793,2023-01-05 17:18:23.039582,0 days 00:00:12.862789,,Plain,Bernoulli,9,0.471531111436603,0.15075695359488497,16,374,15,0.7116335020156078,COMPLETE
84,2519.954556569939,2023-01-05 17:46:16.943438,2023-01-05 17:46:30.309282,0 days 00:00:13.365844,,Plain,Bernoulli,9,0.8650664188206967,0.21387343109960305,18,270,19,0.7632895722998929,COMPLETE
53,2522.9752842035323,2023-01-05 17:35:59.895352,2023-01-05 17:36:13.815162,0 days 00:00:13.919810,,Plain,Bernoulli,10,0.34951719193535535,0.15035826449446507,17,290,19,0.5873010669620821,COMPLETE
99,2523.8767103617793,2023-01-05 17:51:34.106210,2023-01-05 17:51:49.556224,0 days 00:00:15.450014,,Plain,Bernoulli,10,0.31464480622928925,0.09646968818214044,4,373,20,0.9795037079056617,COMPLETE
73,2524.0676147747467,2023-01-05 17:42:37.012312,2023-01-05 17:42:50.619880,0 days 00:00:13.607568,,Plain,Bernoulli,10,0.9419525595637616,0.13115176473199633,20,292,19,0.9670623525698085,COMPLETE
83,2526.391913363406,2023-01-05 17:45:58.912579,2023-01-05 17:46:12.822033,0 days 00:00:13.909454,,Plain,Bernoulli,10,0.9525470781912727,0.12858025473769688,20,294,18,0.9780109626010618,COMPLETE
56,2527.0244913692636,2023-01-05 17:37:04.745409,2023-01-05 17:37:18.522836,0 days 00:00:13.777427,,Plain,Bernoulli,10,0.8474844280842379,0.29904189273125853,15,224,14,0.4369143628313155,COMPLETE
87,2542.9443964277375,2023-01-05 17:47:15.156472,2023-01-05 17:47:29.131516,0 days 00:00:13.975044,,Plain,Bernoulli,10,0.9252477974707544,0.10674843636213312,17,312,17,0.8187907171529606,COMPLETE
33,2544.8802440050354,2023-01-05 17:29:48.179687,2023-01-05 17:30:01.750142,0 days 00:00:13.570455,,Plain,Bernoulli,9,0.7678861651981675,0.12248994191991235,16,356,16,0.7383144461695771,COMPLETE
43,2544.9591425160665,2023-01-05 17:32:46.218630,2023-01-05 17:33:00.535660,0 days 00:00:14.317030,,Plain,Bernoulli,9,0.724803898604531,0.11190478636732963,19,380,20,0.8747020726578171,COMPLETE
