iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
92,2439.9345835233153,2023-02-03 23:55:36.807200,2023-02-03 23:55:54.608605,0 days 00:00:17.801405,,Plain,Bernoulli,10,0.8741036293068751,0.1993654881516561,2,492,18,0.9707355115530659,COMPLETE
95,2440.009092322788,2023-02-03 23:56:53.030332,2023-02-03 23:57:11.999157,0 days 00:00:18.968825,,Plain,Bernoulli,10,0.9130355975957305,0.1716942705059624,3,500,18,0.9719846626384278,COMPLETE
91,2441.1450988016136,2023-02-03 23:55:13.239633,2023-02-03 23:55:31.460883,0 days 00:00:18.221250,,Plain,Bernoulli,10,0.8746748964382722,0.2107581283932582,2,480,18,0.981397947432894,COMPLETE
99,2446.2760326145226,2023-02-03 23:58:20.504529,2023-02-03 23:58:49.502178,0 days 00:00:28.997649,,Plain,Bernoulli,10,0.9032195676355872,0.20608023100484912,4,487,18,0.8880006086658035,COMPLETE
72,2446.505216481433,2023-02-03 23:47:46.999227,2023-02-03 23:48:07.446843,0 days 00:00:20.447616,,Plain,Bernoulli,10,0.7835956057242467,0.1524485861211122,2,497,16,0.9690343055489402,COMPLETE
79,2447.1746729615957,2023-02-03 23:50:33.416400,2023-02-03 23:50:50.403157,0 days 00:00:16.986757,,Plain,Bernoulli,10,0.8357750116596327,0.21179920802224933,5,441,18,0.9650693554681917,COMPLETE
81,2448.4684991379418,2023-02-03 23:51:17.067804,2023-02-03 23:51:34.049258,0 days 00:00:16.981454,,Plain,Bernoulli,9,0.775183435418268,0.2517509623616347,2,499,18,0.9355407644331472,COMPLETE
55,2449.571023791903,2023-02-03 23:41:05.776302,2023-02-03 23:41:25.215245,0 days 00:00:19.438943,,Plain,Bernoulli,10,0.8074736426005246,0.23590493514884356,8,395,19,0.9967152436609714,COMPLETE
64,2450.0257403627775,2023-02-03 23:44:32.683427,2023-02-03 23:44:52.116853,0 days 00:00:19.433426,,Plain,Bernoulli,10,0.8136404951779258,0.2207643889879891,4,444,17,0.9999021929720181,COMPLETE
80,2451.321550903237,2023-02-03 23:50:54.494154,2023-02-03 23:51:11.830359,0 days 00:00:17.336205,,Plain,Bernoulli,9,0.7676921586201946,0.22998590536590438,2,498,18,0.9343688204518138,COMPLETE
93,2451.6675312131742,2023-02-03 23:55:58.918061,2023-02-03 23:56:25.231200,0 days 00:00:26.313139,,Plain,Bernoulli,10,0.8822119125503435,0.16416730899890308,2,491,18,0.9432905445822537,COMPLETE
71,2451.6853544945475,2023-02-03 23:47:24.796884,2023-02-03 23:47:42.438403,0 days 00:00:17.641519,,Plain,Bernoulli,10,0.805812746450989,0.1512676172367245,2,479,17,0.9715879925809009,COMPLETE
53,2452.252959392952,2023-02-03 23:40:19.612705,2023-02-03 23:40:40.769867,0 days 00:00:21.157162,,Plain,Bernoulli,10,0.8885898868254697,0.1873640282272525,11,456,20,0.9475417109856838,COMPLETE
51,2452.8167904248303,2023-02-03 23:39:34.279158,2023-02-03 23:39:53.586572,0 days 00:00:19.307414,,Plain,Bernoulli,10,0.8284263840269295,0.20140354154146786,11,418,20,0.9969406206346475,COMPLETE
97,2453.3396313039298,2023-02-03 23:57:37.395957,2023-02-03 23:57:55.074568,0 days 00:00:17.678611,,Plain,Bernoulli,10,0.8629826005903833,0.17079595341843218,4,468,18,0.9421620502162582,COMPLETE
65,2453.380388142071,2023-02-03 23:44:56.757958,2023-02-03 23:45:23.970016,0 days 00:00:27.212058,,Plain,Bernoulli,10,0.8153759242759593,0.23142764242002176,2,481,18,0.9961503696048708,COMPLETE
98,2454.0534510112197,2023-02-03 23:57:59.441768,2023-02-03 23:58:15.783812,0 days 00:00:16.342044,,Plain,Bernoulli,9,0.915487855002055,0.2981194975017446,3,500,16,0.9757701104601615,COMPLETE
94,2454.512360330711,2023-02-03 23:56:29.971581,2023-02-03 23:56:48.380555,0 days 00:00:18.408974,,Plain,Bernoulli,10,0.8720118125133407,0.146262848716092,2,492,17,0.8990272127155953,COMPLETE
50,2455.2205963754463,2023-02-03 23:38:59.537727,2023-02-03 23:39:29.660243,0 days 00:00:30.122516,,Plain,Bernoulli,10,0.8485037249005298,0.19610548172948325,11,416,18,0.9761545331855295,COMPLETE
75,2456.058118801101,2023-02-03 23:49:01.179636,2023-02-03 23:49:21.209052,0 days 00:00:20.029416,,Plain,Bernoulli,10,0.7112249237026581,0.23523214346958446,4,453,19,0.9515739210137387,COMPLETE
48,2456.8451695883195,2023-02-03 23:38:16.712406,2023-02-03 23:38:33.475417,0 days 00:00:16.763011,,Plain,Bernoulli,10,0.8535027322913,0.18543928189927406,11,415,18,0.900356831478707,COMPLETE
96,2457.462868756001,2023-02-03 23:57:16.178726,2023-02-03 23:57:33.385068,0 days 00:00:17.206342,,Plain,Bernoulli,10,0.9282299945803743,0.2535289286904737,3,491,18,0.9201032521282636,COMPLETE
