iteration,rmse,datetime_start,datetime_complete,duration,bagging_temperature,boosting_type,bootstrap_type,depth,l2_leaf_reg,learning_rate,min_data_in_leaf,n_estimators,one_hot_max_size,subsample,state
226,2411.989368704026,2022-05-26 01:59:18.309258,2022-05-26 02:00:37.928705,0 days 00:01:19.619447,,Plain,Bernoulli,10,0.9491780038684846,0.2317443046392417,20,481,15,0.9990915161974332,COMPLETE
225,2413.587562076741,2022-05-26 01:57:58.778205,2022-05-26 01:59:18.309053,0 days 00:01:19.530848,,Plain,Bernoulli,10,0.953074296613122,0.228200251397646,20,482,15,0.9996015083434742,COMPLETE
220,2414.6386537296016,2022-05-26 01:51:24.090612,2022-05-26 01:52:43.148126,0 days 00:01:19.057514,,Plain,Bernoulli,10,0.9809463360126652,0.2185287362151206,20,482,15,0.9995774343338315,COMPLETE
230,2415.096153398931,2022-05-26 02:04:35.096328,2022-05-26 02:05:54.641291,0 days 00:01:19.544963,0.13502895745560917,Plain,Bayesian,10,0.9539590032325725,0.22847659034486245,20,481,15,,COMPLETE
272,2415.099261067588,2022-05-26 03:04:55.072131,2022-05-26 03:06:13.660364,0 days 00:01:18.588233,0.02401765832678815,Plain,Bayesian,10,0.9995265224401669,0.2381092622980876,20,481,15,,COMPLETE
222,2415.2417413916833,2022-05-26 01:54:02.767288,2022-05-26 01:55:21.768321,0 days 00:01:19.001033,,Plain,Bernoulli,10,0.9802556971028027,0.21673758959202194,20,482,15,0.9963047420805001,COMPLETE
218,2415.4144391865743,2022-05-26 01:48:45.077877,2022-05-26 01:50:04.909495,0 days 00:01:19.831618,,Plain,Bernoulli,10,0.9787781299050241,0.19056227038319673,20,483,15,0.9993232447282239,COMPLETE
261,2415.754298172195,2022-05-26 02:46:38.581928,2022-05-26 02:47:57.398587,0 days 00:01:18.816659,0.04340963949563312,Plain,Bayesian,10,0.9631620462100382,0.2051498745919314,20,478,15,,COMPLETE
219,2415.7996900962535,2022-05-26 01:50:04.909699,2022-05-26 01:51:24.089545,0 days 00:01:19.179846,,Plain,Bernoulli,10,0.9977542691649918,0.2112525788441827,20,483,14,0.991098003649874,COMPLETE
284,2416.2018227668004,2022-05-26 03:18:46.339238,2022-05-26 03:20:04.701411,0 days 00:01:18.362173,0.004725401951720665,Plain,Bayesian,10,0.9977677305356921,0.2208616700857675,19,480,17,,COMPLETE
227,2416.283246827527,2022-05-26 02:00:37.928909,2022-05-26 02:01:56.555844,0 days 00:01:18.626935,0.08536337863339494,Plain,Bayesian,10,0.9568192602027764,0.23615517760619226,20,480,15,,COMPLETE
231,2416.340527325082,2022-05-26 02:05:54.641530,2022-05-26 02:07:14.094227,0 days 00:01:19.452697,0.07340727059570416,Plain,Bayesian,10,0.9596475285120071,0.22648842197755578,20,480,15,,COMPLETE
224,2416.4086893718704,2022-05-26 01:56:40.469863,2022-05-26 01:57:58.777144,0 days 00:01:18.307281,,Plain,Bernoulli,10,0.9543037170680484,0.2221117439394897,20,481,15,0.999470305109675,COMPLETE
223,2416.4250802903052,2022-05-26 01:55:21.768547,2022-05-26 01:56:40.469667,0 days 00:01:18.701120,,Plain,Bernoulli,10,0.966587013534943,0.22296028953604563,20,481,15,0.9974713253689554,COMPLETE
232,2416.4761579817828,2022-05-26 02:07:14.094427,2022-05-26 02:08:32.876527,0 days 00:01:18.782100,0.06192633000599734,Plain,Bayesian,10,0.9512643132597849,0.22638434402453822,20,480,15,,COMPLETE
