iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
103,2418.0214782341136,2023-01-30 04:18:44.515448,2023-01-30 04:19:12.088336,0 days 00:00:27.572888,10.0,0.8,10.0,500.0,15.0,COMPLETE
498,2418.022257153453,2023-01-30 07:32:35.655692,2023-01-30 07:33:09.399573,0 days 00:00:33.743881,10.0,0.8,10.0,500.0,15.0,COMPLETE
489,2418.022257153453,2023-01-30 07:28:54.234380,2023-01-30 07:29:17.419062,0 days 00:00:23.184682,10.0,0.8,10.0,500.0,10.0,COMPLETE
491,2418.0222669329764,2023-01-30 07:29:46.957170,2023-01-30 07:30:04.645911,0 days 00:00:17.688741,10.0,0.8,10.0,500.0,10.0,COMPLETE
255,2418.699451228844,2023-01-30 05:34:59.813898,2023-01-30 05:35:25.044122,0 days 00:00:25.230224,10.0,0.75,10.0,500.0,15.0,COMPLETE
247,2418.699451228844,2023-01-30 05:30:50.725528,2023-01-30 05:31:12.947044,0 days 00:00:22.221516,10.0,0.75,10.0,500.0,10.0,COMPLETE
237,2418.699451228844,2023-01-30 05:25:59.387285,2023-01-30 05:26:20.352206,0 days 00:00:20.964921,10.0,0.75,10.0,500.0,15.0,COMPLETE
211,2418.699451228844,2023-01-30 05:12:41.706918,2023-01-30 05:13:08.850339,0 days 00:00:27.143421,10.0,0.75,10.0,500.0,15.0,COMPLETE
202,2418.699451228844,2023-01-30 05:08:04.690132,2023-01-30 05:08:28.400506,0 days 00:00:23.710374,10.0,0.75,10.0,500.0,10.0,COMPLETE
201,2418.699451228844,2023-01-30 05:07:31.373536,2023-01-30 05:07:59.824009,0 days 00:00:28.450473,10.0,0.75,10.0,500.0,10.0,COMPLETE
177,2418.699451228844,2023-01-30 04:54:57.651655,2023-01-30 04:55:22.311415,0 days 00:00:24.659760,10.0,0.75,10.0,500.0,10.0,COMPLETE
173,2418.699451228844,2023-01-30 04:53:11.247919,2023-01-30 04:53:31.853479,0 days 00:00:20.605560,10.0,0.75,10.0,500.0,15.0,COMPLETE
158,2418.699451228844,2023-01-30 04:45:34.565853,2023-01-30 04:45:54.239656,0 days 00:00:19.673803,10.0,0.75,10.0,500.0,10.0,COMPLETE
156,2418.699451228844,2023-01-30 04:44:33.817639,2023-01-30 04:45:00.004681,0 days 00:00:26.187042,10.0,0.75,10.0,500.0,15.0,COMPLETE
151,2418.699451228844,2023-01-30 04:42:11.433266,2023-01-30 04:42:35.818810,0 days 00:00:24.385544,10.0,0.75,10.0,500.0,15.0,COMPLETE
135,2418.699451228844,2023-01-30 04:34:08.145677,2023-01-30 04:34:28.621429,0 days 00:00:20.475752,10.0,0.75,10.0,500.0,15.0,COMPLETE
256,2418.699451228844,2023-01-30 05:35:29.234628,2023-01-30 05:35:55.588875,0 days 00:00:26.354247,10.0,0.75,10.0,500.0,15.0,COMPLETE
130,2418.699451228844,2023-01-30 04:31:52.663079,2023-01-30 04:32:12.585086,0 days 00:00:19.922007,10.0,0.75,10.0,500.0,15.0,COMPLETE
