iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
103,2418.0214782341136,2023-01-30 12:20:40.267305,2023-01-30 12:21:06.937403,0 days 00:00:26.670098,10,0.8,20,500,5,COMPLETE
269,2418.0214782341136,2023-01-30 13:50:40.845443,2023-01-30 13:51:04.079698,0 days 00:00:23.234255,10,0.8,20,500,5,COMPLETE
317,2418.0214782341136,2023-01-30 14:15:14.343864,2023-01-30 14:15:36.718886,0 days 00:00:22.375022,10,0.8,20,500,5,COMPLETE
42,2418.0214782341136,2023-01-30 11:50:44.057620,2023-01-30 11:51:07.494535,0 days 00:00:23.436915,10,0.8,20,500,5,COMPLETE
348,2418.0214782341136,2023-01-30 14:30:35.353320,2023-01-30 14:31:01.766794,0 days 00:00:26.413474,10,0.8,20,500,5,COMPLETE
255,2418.0214782341136,2023-01-30 13:43:29.691588,2023-01-30 13:43:52.303161,0 days 00:00:22.611573,10,0.8,20,500,5,COMPLETE
117,2418.0214782341136,2023-01-30 12:27:09.591699,2023-01-30 12:27:43.108914,0 days 00:00:33.517215,10,0.8,20,500,5,COMPLETE
195,2418.0214886839517,2023-01-30 13:08:21.725587,2023-01-30 13:08:42.760113,0 days 00:00:21.034526,10,0.8,20,500,5,COMPLETE
152,2418.022257153453,2023-01-30 12:46:06.595865,2023-01-30 12:46:28.232898,0 days 00:00:21.637033,10,0.8,20,500,5,COMPLETE
155,2418.022257153453,2023-01-30 12:47:41.555882,2023-01-30 12:48:21.074814,0 days 00:00:39.518932,10,0.8,20,500,5,COMPLETE
420,2418.022257153453,2023-01-30 15:05:41.191367,2023-01-30 15:06:02.134686,0 days 00:00:20.943319,10,0.8,20,500,5,COMPLETE
136,2418.022257153453,2023-01-30 12:37:38.930597,2023-01-30 12:38:11.157937,0 days 00:00:32.227340,10,0.8,20,500,5,COMPLETE
91,2418.022257153453,2023-01-30 12:14:21.473239,2023-01-30 12:14:58.983610,0 days 00:00:37.510371,10,0.8,20,500,5,COMPLETE
2,2418.022257153453,2023-01-30 11:31:42.588852,2023-01-30 11:32:07.857041,0 days 00:00:25.268189,10,0.8,20,500,5,COMPLETE
217,2418.022257153453,2023-01-30 13:21:03.183943,2023-01-30 13:21:42.089124,0 days 00:00:38.905181,10,0.8,20,500,5,COMPLETE
