iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
321,2418.0214782341136,2023-01-30 21:23:23.471343,2023-01-30 21:23:44.351356,0 days 00:00:20.880013,10,0.8,10,500,15,COMPLETE
183,2418.0214782341136,2023-01-30 20:20:37.071796,2023-01-30 20:20:58.987900,0 days 00:00:21.916104,10,0.8,10,500,15,COMPLETE
389,2418.0214782341136,2023-01-30 21:55:13.464583,2023-01-30 21:55:49.001480,0 days 00:00:35.536897,10,0.8,20,500,15,COMPLETE
348,2418.0214782341136,2023-01-30 21:35:37.100926,2023-01-30 21:35:59.037295,0 days 00:00:21.936369,10,0.8,10,500,15,COMPLETE
484,2418.0214782341136,2023-01-30 22:39:34.402781,2023-01-30 22:39:55.878022,0 days 00:00:21.475241,10,0.8,10,500,15,COMPLETE
366,2418.0214782341136,2023-01-30 21:43:56.553616,2023-01-30 21:44:17.710179,0 days 00:00:21.156563,10,0.8,10,500,15,COMPLETE
244,2418.0214782341136,2023-01-30 20:48:22.987362,2023-01-30 20:48:45.729112,0 days 00:00:22.741750,10,0.8,20,500,15,COMPLETE
283,2418.0214782341136,2023-01-30 21:05:58.677655,2023-01-30 21:06:20.144270,0 days 00:00:21.466615,10,0.8,10,500,15,COMPLETE
497,2418.0214782341136,2023-01-30 22:45:47.745939,2023-01-30 22:46:07.735351,0 days 00:00:19.989412,10,0.8,20,500,15,COMPLETE
85,2418.0214782341136,2023-01-30 19:35:38.721226,2023-01-30 19:35:59.403823,0 days 00:00:20.682597,10,0.8,10,500,15,COMPLETE
115,2418.0214886839517,2023-01-30 19:49:32.424518,2023-01-30 19:50:02.556374,0 days 00:00:30.131856,10,0.8,20,500,15,COMPLETE
149,2418.0214886839517,2023-01-30 20:05:39.216329,2023-01-30 20:05:59.581234,0 days 00:00:20.364905,10,0.8,10,500,15,COMPLETE
402,2418.0214886839517,2023-01-30 22:02:28.601517,2023-01-30 22:02:55.030061,0 days 00:00:26.428544,10,0.8,10,500,10,COMPLETE
78,2418.022257153453,2023-01-30 19:32:33.452881,2023-01-30 19:32:54.435643,0 days 00:00:20.982762,10,0.8,10,500,15,COMPLETE
286,2418.022257153453,2023-01-30 21:07:18.697415,2023-01-30 21:07:39.256915,0 days 00:00:20.559500,10,0.8,10,500,15,COMPLETE
164,2418.022257153453,2023-01-30 20:12:13.379248,2023-01-30 20:12:34.053260,0 days 00:00:20.674012,10,0.8,10,500,15,COMPLETE
452,2418.022257153453,2023-01-30 22:25:40.371947,2023-01-30 22:26:00.767353,0 days 00:00:20.395406,10,0.8,10,500,15,COMPLETE
45,2418.022257153453,2023-01-30 19:17:44.052908,2023-01-30 19:18:04.597351,0 days 00:00:20.544443,10,0.8,20,500,15,COMPLETE
47,2418.022257153453,2023-01-30 19:18:35.408437,2023-01-30 19:18:55.899955,0 days 00:00:20.491518,10,0.8,20,500,15,COMPLETE
49,2418.022257153453,2023-01-30 19:19:29.157813,2023-01-30 19:19:49.587512,0 days 00:00:20.429699,10,0.8,10,500,15,COMPLETE
390,2418.022257153453,2023-01-30 21:55:53.887040,2023-01-30 21:56:15.688460,0 days 00:00:21.801420,10,0.8,20,500,15,COMPLETE
444,2418.022257153453,2023-01-30 22:21:54.886263,2023-01-30 22:22:15.895482,0 days 00:00:21.009219,10,0.8,10,500,15,COMPLETE
