iteration,rmse,datetime_start,datetime_complete,duration,metric,n_neighbors,state
31,4896.40625,2022-06-04 22:27:43.237748,2022-06-04 22:27:44.310128,0 days 00:00:01.072380,minkowski,11,COMPLETE
70,4896.40625,2022-06-04 22:28:25.292005,2022-06-04 22:28:26.370115,0 days 00:00:01.078110,minkowski,11,COMPLETE
83,4896.40625,2022-06-04 22:28:39.422489,2022-06-04 22:28:40.502530,0 days 00:00:01.080041,minkowski,11,COMPLETE
71,4896.40625,2022-06-04 22:28:26.370286,2022-06-04 22:28:27.445090,0 days 00:00:01.074804,minkowski,11,COMPLETE
12,4896.40625,2022-06-04 22:27:22.796066,2022-06-04 22:27:23.856907,0 days 00:00:01.060841,chebyshev,11,COMPLETE
82,4896.40625,2022-06-04 22:28:38.345552,2022-06-04 22:28:39.422259,0 days 00:00:01.076707,minkowski,11,COMPLETE
88,4896.40625,2022-06-04 22:28:44.863930,2022-06-04 22:28:45.936357,0 days 00:00:01.072427,minkowski,11,COMPLETE
81,4896.40625,2022-06-04 22:28:37.246489,2022-06-04 22:28:38.345400,0 days 00:00:01.098911,minkowski,11,COMPLETE
28,4896.40625,2022-06-04 22:27:39.957444,2022-06-04 22:27:41.054059,0 days 00:00:01.096615,minkowski,11,COMPLETE
92,4896.40625,2022-06-04 22:28:49.225112,2022-06-04 22:28:50.323815,0 days 00:00:01.098703,minkowski,11,COMPLETE
77,4896.40625,2022-06-04 22:28:32.886775,2022-06-04 22:28:33.968218,0 days 00:00:01.081443,minkowski,11,COMPLETE
94,4896.40625,2022-06-04 22:28:51.416045,2022-06-04 22:28:52.500400,0 days 00:00:01.084355,minkowski,11,COMPLETE
76,4896.40625,2022-06-04 22:28:31.813424,2022-06-04 22:28:32.886551,0 days 00:00:01.073127,minkowski,11,COMPLETE
75,4896.40625,2022-06-04 22:28:30.712737,2022-06-04 22:28:31.813206,0 days 00:00:01.100469,minkowski,11,COMPLETE
74,4896.40625,2022-06-04 22:28:29.624940,2022-06-04 22:28:30.712599,0 days 00:00:01.087659,minkowski,11,COMPLETE
85,4896.40625,2022-06-04 22:28:41.587170,2022-06-04 22:28:42.677643,0 days 00:00:01.090473,minkowski,11,COMPLETE
61,4896.69970703125,2022-06-04 22:28:15.551692,2022-06-04 22:28:16.619943,0 days 00:00:01.068251,euclidean,9,COMPLETE
68,4896.69970703125,2022-06-04 22:28:23.086709,2022-06-04 22:28:24.178540,0 days 00:00:01.091831,minkowski,9,COMPLETE
20,4896.69970703125,2022-06-04 22:27:31.391687,2022-06-04 22:27:32.454392,0 days 00:00:01.062705,manhattan,9,COMPLETE
14,4896.69970703125,2022-06-04 22:27:24.914027,2022-06-04 22:27:25.980256,0 days 00:00:01.066229,chebyshev,9,COMPLETE
57,4896.69970703125,2022-06-04 22:28:11.219320,2022-06-04 22:28:12.314830,0 days 00:00:01.095510,euclidean,9,COMPLETE
65,4896.69970703125,2022-06-04 22:28:19.871698,2022-06-04 22:28:20.937034,0 days 00:00:01.065336,minkowski,9,COMPLETE
