iteration,rmse,datetime_start,datetime_complete,duration,alpha,fit_intercept,max_iter,normalize,selection,tol,state
882,4744.426059421435,2023-02-25 23:29:16.070396,2023-02-25 23:29:17.822714,0 days 00:00:01.752318,0.0019883650045505463,True,7460166,False,random,4.330136578250669e-05,COMPLETE
871,4744.4268290370965,2023-02-25 23:29:05.871743,2023-02-25 23:29:07.609608,0 days 00:00:01.737865,0.006232055047655593,True,7311344,False,random,6.093992854145306e-05,COMPLETE
752,4744.427370167319,2023-02-25 23:26:57.456784,2023-02-25 23:26:59.360911,0 days 00:00:01.904127,0.019424139467650564,True,7103769,False,random,3.077269579513634e-05,COMPLETE
698,4744.427713834116,2023-02-25 23:25:08.749356,2023-02-25 23:25:10.324296,0 days 00:00:01.574940,0.022425142330334102,True,7788372,False,random,5.5653504450638566e-05,COMPLETE
906,4744.42800650496,2023-02-25 23:29:37.159771,2023-02-25 23:29:38.745257,0 days 00:00:01.585486,0.04251693208625037,True,7787854,False,random,8.797133735805146e-05,COMPLETE
915,4744.428129379711,2023-02-25 23:29:44.705479,2023-02-25 23:29:46.341834,0 days 00:00:01.636355,0.0021220006606540026,True,7614188,False,random,0.00011895158452870629,COMPLETE
743,4744.428926891891,2023-02-25 23:26:50.571487,2023-02-25 23:26:52.163117,0 days 00:00:01.591630,0.034638518175747535,True,7158507,False,random,0.00012945323541036356,COMPLETE
707,4744.431014407235,2023-02-25 23:25:15.705603,2023-02-25 23:25:17.487717,0 days 00:00:01.782114,0.014035609817713159,True,8105602,False,random,2.610931404774777e-05,COMPLETE
873,4744.431565005156,2023-02-25 23:29:08.649568,2023-02-25 23:29:10.219455,0 days 00:00:01.569887,0.04015842857786445,True,7201687,False,random,0.0001000277842022173,COMPLETE
896,4744.434342929442,2023-02-25 23:29:27.966614,2023-02-25 23:29:30.202076,0 days 00:00:02.235462,0.06585039513170395,True,7079089,False,random,1.8799798442086645e-05,COMPLETE
809,4744.434657485656,2023-02-25 23:27:41.819488,2023-02-25 23:27:43.609497,0 days 00:00:01.790009,0.06202623912514376,True,8151087,False,random,3.650351336499329e-05,COMPLETE
713,4744.435099957373,2023-02-25 23:25:20.673045,2023-02-25 23:25:22.532266,0 days 00:00:01.859221,0.06470421910736127,True,7304410,False,random,2.190059822977868e-05,COMPLETE
689,4744.437696528791,2023-02-25 23:25:01.808682,2023-02-25 23:25:03.396374,0 days 00:00:01.587692,0.09462403681646181,True,7384183,False,random,5.648594943258563e-05,COMPLETE
687,4744.439060106868,2023-02-25 23:24:59.491858,2023-02-25 23:25:00.966177,0 days 00:00:01.474319,0.07068484716709557,True,7450224,False,random,0.00010506373171756647,COMPLETE
680,4744.441157456139,2023-02-25 23:24:54.306687,2023-02-25 23:24:55.787416,0 days 00:00:01.480729,0.10283902824986757,True,5418124,False,random,6.88792859616589e-05,COMPLETE
998,4744.444873561933,2023-02-25 23:31:18.295932,2023-02-25 23:31:20.301158,0 days 00:00:02.005226,0.11201536638975772,True,8182876,False,random,4.3500885314096576e-05,COMPLETE
852,4744.451727959341,2023-02-25 23:28:50.481621,2023-02-25 23:28:52.206003,0 days 00:00:01.724382,0.1321152228893761,True,8055295,False,random,5.311394849476994e-05,COMPLETE
769,4744.45389984587,2023-02-25 23:27:11.372641,2023-02-25 23:27:13.008833,0 days 00:00:01.636192,0.1266343001597651,True,7572956,False,random,5.266984308047317e-05,COMPLETE
