iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,max_iter,penatly,state
638,4911.369260075241,2023-02-25 23:57:17.254572,2023-02-25 23:57:18.745134,0 days 00:00:01.490562,11.600000000000001,0.00011646771570061629,1.1,0.00020361102019258634,23,2773,2459810,l1,COMPLETE
574,4919.158631394655,2023-02-25 23:56:33.961490,2023-02-25 23:56:35.126842,0 days 00:00:01.165352,10.3,0.00010114621032818877,1.2,0.00012402376676322216,10,2680,872167,l1,COMPLETE
867,4920.198370497988,2023-02-26 00:00:22.920844,2023-02-26 00:00:24.189521,0 days 00:00:01.268677,12.0,0.00010078124684947411,1.1,0.001623605713036003,15,2942,988968,l1,COMPLETE
350,4932.002342216062,2023-02-25 23:54:19.596462,2023-02-25 23:54:20.412260,0 days 00:00:00.815798,11.100000000000001,0.0002254236014258035,1.2,0.00011369343054141176,10,2844,1449822,l1,COMPLETE
349,4932.002342216062,2023-02-25 23:54:18.770582,2023-02-25 23:54:19.595963,0 days 00:00:00.825381,11.100000000000001,0.0002080648670580908,1.2,0.0001812222461429595,10,2840,1457923,l1,COMPLETE
348,4932.002342216062,2023-02-25 23:54:17.931033,2023-02-25 23:54:18.769956,0 days 00:00:00.838923,11.100000000000001,0.00023457317757856824,1.2,0.0017420929828454378,10,2831,1681895,l1,COMPLETE
347,4932.002342216062,2023-02-25 23:54:16.836090,2023-02-25 23:54:17.929269,0 days 00:00:01.093179,11.100000000000001,0.00023280240699570477,1.2,0.0018305506004901552,10,2835,2739965,l1,COMPLETE
346,4932.002342216062,2023-02-25 23:54:16.023322,2023-02-25 23:54:16.835517,0 days 00:00:00.812195,11.100000000000001,0.0001967310502987012,1.2,0.001354246952934936,10,2840,1612238,l1,COMPLETE
865,4936.578905270167,2023-02-26 00:00:20.739047,2023-02-26 00:00:21.835593,0 days 00:00:01.096546,11.600000000000001,0.00011270260922683008,1.1,0.0015789282640430121,14,2922,1097952,l1,COMPLETE
393,4939.227888652906,2023-02-25 23:54:46.581187,2023-02-25 23:54:47.385924,0 days 00:00:00.804737,11.100000000000001,0.00017548575202240875,1.2,0.003894692416865312,10,2808,1894235,l1,COMPLETE
503,4939.227888652906,2023-02-25 23:55:48.083380,2023-02-25 23:55:49.038539,0 days 00:00:00.955159,11.100000000000001,0.00020828235013879226,1.2,0.002298653781438108,10,2753,1844414,l1,COMPLETE
532,4939.227888652906,2023-02-25 23:56:06.377798,2023-02-25 23:56:07.290397,0 days 00:00:00.912599,11.100000000000001,0.00011192800190359199,1.2,0.003772961125873526,10,2813,2081516,l1,COMPLETE
975,4940.244594272902,2023-02-26 00:01:55.871883,2023-02-26 00:01:57.664571,0 days 00:00:01.792688,11.0,0.00014193731464813458,1.2,0.00011133216726849117,23,2981,2100943,l1,COMPLETE
683,4940.613602579434,2023-02-25 23:57:49.440440,2023-02-25 23:57:51.214955,0 days 00:00:01.774515,10.9,0.00013092262510299243,1.2,0.0017883051406649194,23,2831,2059313,l1,COMPLETE
356,4940.87723108845,2023-02-25 23:54:23.413596,2023-02-25 23:54:24.144118,0 days 00:00:00.730522,11.5,0.0002463536779505487,1.2,0.0018923854664989062,10,2839,1622214,l1,COMPLETE
756,4946.555721780718,2023-02-25 23:58:49.051863,2023-02-25 23:58:50.963539,0 days 00:00:01.911676,11.0,0.0001017139042265149,1.1,0.002153000392246959,21,2806,2847273,l1,COMPLETE
948,4947.047598203342,2023-02-26 00:01:31.673283,2023-02-26 00:01:33.577719,0 days 00:00:01.904436,11.3,0.00010521216125082905,1.2,0.003571697627571807,23,2929,1783758,l1,COMPLETE
755,4947.6109292095025,2023-02-25 23:58:47.529893,2023-02-25 23:58:49.051157,0 days 00:00:01.521264,10.9,0.0001159539157866756,1.1,0.0020432630276642025,21,2801,2821650,l1,COMPLETE
691,4960.298828123024,2023-02-25 23:57:56.158034,2023-02-25 23:57:57.758509,0 days 00:00:01.600475,10.7,0.00021268808816844934,1.2,0.004090830465934591,23,2926,2265862,l1,COMPLETE
514,4961.040911471397,2023-02-25 23:55:54.817251,2023-02-25 23:55:55.881735,0 days 00:00:01.064484,10.8,0.00010415023394315425,1.2,0.006742066683656449,22,2786,1963076,l1,COMPLETE
720,4962.046184781928,2023-02-25 23:58:18.847775,2023-02-25 23:58:20.843639,0 days 00:00:01.995864,10.2,0.00015398621911168165,1.2,0.003532300131860516,21,2850,1860905,l1,COMPLETE
672,4962.291328440417,2023-02-25 23:57:40.826995,2023-02-25 23:57:42.730130,0 days 00:00:01.903135,10.2,0.00011165664479684991,1.2,0.003333541876314308,21,2789,1992681,l1,COMPLETE
775,4963.536110476341,2023-02-25 23:59:04.002981,2023-02-25 23:59:05.285417,0 days 00:00:01.282436,10.9,0.0001651510944321357,1.1,0.0034859777273889064,20,2801,1896067,l1,COMPLETE
833,4968.39109292585,2023-02-25 23:59:51.931503,2023-02-25 23:59:53.483323,0 days 00:00:01.551820,11.100000000000001,0.0001465279698150573,1.2,0.008822271249363824,21,2780,2394223,l1,COMPLETE
