iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
68,4911.220907314948,2023-02-25 23:51:22.958612,2023-02-25 23:51:25.654281,0 days 00:00:02.695669,6.1,5.945860515361705e-05,0.8,0.0014169963255906024,15,8700,epsilon_insensitive,5707704,True,l1,COMPLETE
77,4915.918857460126,2023-02-25 23:51:33.536008,2023-02-25 23:51:36.032654,0 days 00:00:02.496646,5.7,5.17342562783182e-07,1.0,0.0011961958823669345,16,9669,epsilon_insensitive,6393648,True,l1,COMPLETE
96,4925.3110558243625,2023-02-25 23:51:50.782685,2023-02-25 23:51:53.913946,0 days 00:00:03.131261,5.6,3.800069440628498e-06,1.0,0.001079571997633875,17,1872,epsilon_insensitive,6655464,True,l1,COMPLETE
40,4926.788106658797,2023-02-25 23:51:06.969764,2023-02-25 23:51:07.695075,0 days 00:00:00.725311,6.8,0.00022857020710954375,0.4,0.001545325143185391,17,6678,epsilon_insensitive,7550445,True,l1,COMPLETE
91,4927.204516334282,2023-02-25 23:51:45.090319,2023-02-25 23:51:47.493972,0 days 00:00:02.403653,5.6,1.590779544887674e-05,1.0,0.0017385389466886142,16,1168,epsilon_insensitive,7286007,True,l1,COMPLETE
41,4930.924345028201,2023-02-25 23:51:07.695472,2023-02-25 23:51:08.418467,0 days 00:00:00.722995,6.7,0.00020320185559271714,0.4,0.001314297795606452,17,6835,epsilon_insensitive,7426742,True,l1,COMPLETE
36,4934.5141934726325,2023-02-25 23:51:05.450983,2023-02-25 23:51:06.175007,0 days 00:00:00.724024,5.5,0.00032577830843345806,0.4,0.0013375467970843397,18,8899,epsilon_insensitive,5957371,True,l1,COMPLETE
73,4941.528044590939,2023-02-25 23:51:29.579431,2023-02-25 23:51:31.901417,0 days 00:00:02.321986,6.3,2.1408722958721096e-05,0.9,0.0010349525829689505,13,9203,epsilon_insensitive,4518820,True,l1,COMPLETE
81,4943.288682258759,2023-02-25 23:51:38.217302,2023-02-25 23:51:39.098480,0 days 00:00:00.881178,3.9000000000000004,3.1628758231293926e-06,1.0,0.0031546840735766843,17,478,epsilon_insensitive,6430624,True,l1,COMPLETE
43,4946.541413793957,2023-02-25 23:51:09.050251,2023-02-25 23:51:09.820399,0 days 00:00:00.770148,6.9,0.00016586268158575056,0.4,0.0012906322111561532,18,5492,epsilon_insensitive,7368819,True,l1,COMPLETE
80,4949.090235044828,2023-02-25 23:51:37.354065,2023-02-25 23:51:38.216961,0 days 00:00:00.862896,4.8,3.863290131795569e-07,1.0,0.004201158755540018,17,226,epsilon_insensitive,6420515,True,l1,COMPLETE
84,4961.700420349518,2023-02-25 23:51:40.595644,2023-02-25 23:51:41.716967,0 days 00:00:01.121323,5.5,6.5439936492477585e-06,0.9,0.0010955827490942561,16,1222,epsilon_insensitive,7186475,True,l1,COMPLETE
95,4961.832855691973,2023-02-25 23:51:49.936408,2023-02-25 23:51:50.782358,0 days 00:00:00.845950,6.7,5.263985792729857e-05,1.0,0.0025802032217416065,17,581,epsilon_insensitive,4633671,True,l1,COMPLETE
65,4965.862399736672,2023-02-25 23:51:19.671038,2023-02-25 23:51:20.881261,0 days 00:00:01.210223,6.9,0.00022273057273815994,0.4,0.004805913715594273,16,9516,epsilon_insensitive,5887011,True,l1,COMPLETE
72,4967.288406606511,2023-02-25 23:51:28.529615,2023-02-25 23:51:29.579070,0 days 00:00:01.049455,6.4,2.2203440368951263e-05,0.9,0.0012391212296059832,15,9999,epsilon_insensitive,5275362,True,l1,COMPLETE
70,4968.2096508798695,2023-02-25 23:51:26.185899,2023-02-25 23:51:27.396636,0 days 00:00:01.210737,5.3,3.494872744601676e-06,0.9,0.00474449888841173,15,8824,epsilon_insensitive,5812427,True,l1,COMPLETE
86,4969.194192367669,2023-02-25 23:51:42.293353,2023-02-25 23:51:43.086712,0 days 00:00:00.793359,5.0,9.787204325770914e-05,1.0,0.003431090594101704,17,592,epsilon_insensitive,5526247,True,l1,COMPLETE
67,4969.819096832425,2023-02-25 23:51:21.754594,2023-02-25 23:51:22.958132,0 days 00:00:01.203538,6.0,6.0142246324419854e-05,0.4,0.004674553802520899,15,9430,epsilon_insensitive,5779633,True,l1,COMPLETE
71,4972.569831219964,2023-02-25 23:51:27.397114,2023-02-25 23:51:28.529291,0 days 00:00:01.132177,5.2,4.605573377059297e-05,0.9,0.0043733989636498835,15,8857,epsilon_insensitive,5754452,True,l1,COMPLETE
92,4973.006704396858,2023-02-25 23:51:47.494478,2023-02-25 23:51:48.554500,0 days 00:00:01.060022,5.3,6.984704096290024e-05,1.0,0.0030192179748784378,16,871,epsilon_insensitive,7179829,True,l1,COMPLETE
74,4978.87457202331,2023-02-25 23:51:31.901755,2023-02-25 23:51:32.753775,0 days 00:00:00.852020,6.3,9.92641152772885e-05,1.0,0.0010797269229057965,13,9903,epsilon_insensitive,5159310,True,l1,COMPLETE
54,4979.449230787088,2023-02-25 23:51:14.135811,2023-02-25 23:51:14.888320,0 days 00:00:00.752509,9.5,0.00013408358533363487,0.30000000000000004,0.001424931202085512,19,5934,epsilon_insensitive,8167555,True,l1,COMPLETE
52,4987.209994422486,2023-02-25 23:51:13.083434,2023-02-25 23:51:13.780826,0 days 00:00:00.697392,6.9,0.00024588525082123276,0.4,0.00789697627396526,18,6965,epsilon_insensitive,7670085,True,l1,COMPLETE
82,4996.209359589912,2023-02-25 23:51:39.098804,2023-02-25 23:51:39.971633,0 days 00:00:00.872829,4.0,2.179960341082524e-06,1.0,0.0036148943069466534,17,778,epsilon_insensitive,6342202,True,l1,COMPLETE
79,4996.54368277165,2023-02-25 23:51:36.566756,2023-02-25 23:51:37.353751,0 days 00:00:00.786995,7.7,8.155788138142582e-05,1.0,0.006213495614446619,12,8241,epsilon_insensitive,6277382,True,l1,COMPLETE
90,4996.773718168394,2023-02-25 23:51:44.443687,2023-02-25 23:51:45.089915,0 days 00:00:00.646228,6.0,4.007855244354203e-05,0.9,0.00395507035214165,14,7572,epsilon_insensitive,7567513,True,l1,COMPLETE
83,4999.625170211902,2023-02-25 23:51:39.971955,2023-02-25 23:51:40.595321,0 days 00:00:00.623366,4.8,5.0294127055697116e-05,1.0,0.00750357799633218,17,206,epsilon_insensitive,6493993,True,l1,COMPLETE
