iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
51,3609.1539844205777,2023-02-24 23:54:43.082608,2023-02-24 23:55:04.914943,0 days 00:00:21.832335,23,300,98,8,221,198,COMPLETE
63,3609.8997946964087,2023-02-24 23:58:53.885488,2023-02-24 23:59:14.029319,0 days 00:00:20.143831,16,300,96,12,252,182,COMPLETE
95,3611.215943239633,2023-02-25 00:12:23.557095,2023-02-25 00:12:39.659217,0 days 00:00:16.102122,22,296,98,22,229,146,COMPLETE
89,3613.830477782127,2023-02-25 00:09:36.286145,2023-02-25 00:10:04.691013,0 days 00:00:28.404868,19,295,96,20,246,258,COMPLETE
54,3615.202056394838,2023-02-24 23:55:35.034916,2023-02-24 23:55:52.849920,0 days 00:00:17.815004,21,300,93,12,284,146,COMPLETE
58,3619.5852291175834,2023-02-24 23:56:50.337439,2023-02-24 23:57:12.915505,0 days 00:00:22.578066,18,300,95,16,265,200,COMPLETE
81,3623.5680730515314,2023-02-25 00:05:53.996526,2023-02-25 00:06:27.317696,0 days 00:00:33.321170,21,292,95,15,246,304,COMPLETE
57,3624.734723743865,2023-02-24 23:56:28.261135,2023-02-24 23:56:50.336027,0 days 00:00:22.074892,20,300,92,15,251,199,COMPLETE
76,3625.1577909473663,2023-02-25 00:03:18.209214,2023-02-25 00:03:47.745000,0 days 00:00:29.535786,21,293,95,18,250,269,COMPLETE
28,3626.413566556799,2023-02-24 23:37:22.196366,2023-02-24 23:38:16.300989,0 days 00:00:54.104623,22,299,99,11,226,500,COMPLETE
71,3626.837531183053,2023-02-25 00:01:33.414289,2023-02-25 00:01:57.961707,0 days 00:00:24.547418,19,300,91,15,263,219,COMPLETE
41,3632.314950260175,2023-02-24 23:47:18.518147,2023-02-24 23:48:11.244849,0 days 00:00:52.726702,21,293,100,15,249,484,COMPLETE
59,3632.403871619554,2023-02-24 23:57:12.915851,2023-02-24 23:57:36.521830,0 days 00:00:23.605979,18,300,91,15,261,210,COMPLETE
65,3633.0241059653463,2023-02-24 23:59:34.202979,2023-02-24 23:59:55.278558,0 days 00:00:21.075579,20,294,95,17,280,174,COMPLETE
72,3634.1874401898745,2023-02-25 00:01:57.962010,2023-02-25 00:02:12.739795,0 days 00:00:14.777785,19,294,96,13,242,133,COMPLETE
33,3634.5902553694996,2023-02-24 23:41:35.277677,2023-02-24 23:42:25.427449,0 days 00:00:50.149772,23,290,95,8,210,469,COMPLETE
91,3639.234015791804,2023-02-25 00:10:32.302354,2023-02-25 00:11:04.825253,0 days 00:00:32.522899,19,295,96,21,238,298,COMPLETE
96,3639.3241263104255,2023-02-25 00:12:39.659515,2023-02-25 00:12:55.303006,0 days 00:00:15.643491,22,295,99,22,183,145,COMPLETE
53,3639.60712371308,2023-02-24 23:55:18.141798,2023-02-24 23:55:35.034622,0 days 00:00:16.892824,23,297,93,8,230,153,COMPLETE
97,3640.8878425018647,2023-02-25 00:12:55.303404,2023-02-25 00:13:08.507308,0 days 00:00:13.203904,24,285,97,24,208,122,COMPLETE
90,3643.1950555168182,2023-02-25 00:10:04.691328,2023-02-25 00:10:32.302021,0 days 00:00:27.610693,17,266,66,19,246,256,COMPLETE
74,3643.6449756087563,2023-02-25 00:02:37.646681,2023-02-25 00:02:55.148285,0 days 00:00:17.501604,19,300,85,11,220,161,COMPLETE
45,3643.7673313331084,2023-02-24 23:50:44.114968,2023-02-24 23:51:35.575563,0 days 00:00:51.460595,23,289,100,6,231,475,COMPLETE
44,3643.8143781711806,2023-02-24 23:49:51.464299,2023-02-24 23:50:44.114675,0 days 00:00:52.650376,23,291,98,6,230,485,COMPLETE
49,3645.3422443533395,2023-02-24 23:53:32.549991,2023-02-24 23:53:54.655658,0 days 00:00:22.105667,25,289,98,8,221,203,COMPLETE
31,3645.906213967162,2023-02-24 23:39:47.843752,2023-02-24 23:40:41.666674,0 days 00:00:53.822922,23,294,91,10,234,497,COMPLETE
80,3646.0468847315697,2023-02-25 00:05:27.112425,2023-02-25 00:05:53.996239,0 days 00:00:26.883814,21,297,81,16,296,222,COMPLETE
92,3647.137067364335,2023-02-25 00:11:04.825553,2023-02-25 00:11:34.952179,0 days 00:00:30.126626,21,288,99,16,259,271,COMPLETE
46,3648.3201855568145,2023-02-24 23:51:35.575938,2023-02-24 23:51:53.713955,0 days 00:00:18.138017,23,283,98,2,200,170,COMPLETE
18,3648.723086932903,2023-02-24 23:30:16.365678,2023-02-24 23:31:07.044901,0 days 00:00:50.679223,29,274,74,19,347,425,COMPLETE
83,3648.868506751996,2023-02-25 00:06:58.067669,2023-02-25 00:07:32.537370,0 days 00:00:34.469701,20,287,90,14,253,314,COMPLETE
27,3649.208573480904,2023-02-24 23:36:26.895608,2023-02-24 23:37:22.196110,0 days 00:00:55.300502,22,300,100,16,272,495,COMPLETE
11,3650.384083700042,2023-02-24 23:24:44.602317,2023-02-24 23:25:36.257532,0 days 00:00:51.655215,24,296,84,30,140,496,COMPLETE
78,3650.7618459474306,2023-02-25 00:04:19.940186,2023-02-25 00:04:51.377003,0 days 00:00:31.436817,18,290,89,19,439,243,COMPLETE
66,3652.2333845732496,2023-02-24 23:59:55.278895,2023-02-25 00:00:21.683664,0 days 00:00:26.404769,17,284,97,11,300,218,COMPLETE
98,3653.755018690646,2023-02-25 00:13:08.507656,2023-02-25 00:13:24.773856,0 days 00:00:16.266200,22,291,95,20,232,149,COMPLETE
42,3654.0000481747907,2023-02-24 23:48:11.245128,2023-02-24 23:49:03.118768,0 days 00:00:51.873640,21,291,93,14,244,479,COMPLETE
55,3655.201711479966,2023-02-24 23:55:52.850240,2023-02-24 23:56:11.676947,0 days 00:00:18.826707,21,299,93,13,287,153,COMPLETE
20,3656.287249428232,2023-02-24 23:31:39.764347,2023-02-24 23:32:13.981017,0 days 00:00:34.216670,28,271,68,24,351,287,COMPLETE
70,3657.280475259538,2023-02-25 00:01:16.520580,2023-02-25 00:01:33.413882,0 days 00:00:16.893302,20,294,94,12,192,158,COMPLETE
85,3659.414050283328,2023-02-25 00:08:10.065235,2023-02-25 00:08:33.113668,0 days 00:00:23.048433,22,290,94,14,226,212,COMPLETE
37,3661.235039533794,2023-02-24 23:44:37.419472,2023-02-24 23:45:25.696692,0 days 00:00:48.277220,25,287,96,11,251,444,COMPLETE
6,3661.897630268515,2023-02-24 23:21:45.868007,2023-02-24 23:22:38.601282,0 days 00:00:52.733275,25,287,77,30,416,418,COMPLETE
56,3662.4253396008357,2023-02-24 23:56:11.677253,2023-02-24 23:56:28.260813,0 days 00:00:16.583560,19,280,84,12,304,137,COMPLETE
86,3663.7930270735997,2023-02-25 00:08:33.113984,2023-02-25 00:08:51.962686,0 days 00:00:18.848702,22,283,97,11,267,167,COMPLETE
10,3663.912053525207,2023-02-24 23:23:52.105881,2023-02-24 23:24:44.601883,0 days 00:00:52.496002,24,300,85,28,132,500,COMPLETE
50,3664.1307169023103,2023-02-24 23:53:54.655961,2023-02-24 23:54:43.082316,0 days 00:00:48.426355,24,263,87,3,257,444,COMPLETE
61,3664.1466145855006,2023-02-24 23:58:06.795710,2023-02-24 23:58:29.787230,0 days 00:00:22.991520,18,300,91,15,262,204,COMPLETE
52,3665.6392493285994,2023-02-24 23:55:04.915207,2023-02-24 23:55:18.141478,0 days 00:00:13.226271,22,294,100,6,203,121,COMPLETE
62,3665.680560532607,2023-02-24 23:58:29.787514,2023-02-24 23:58:53.885094,0 days 00:00:24.097580,18,282,88,15,319,197,COMPLETE
21,3665.7040770251597,2023-02-24 23:32:13.981421,2023-02-24 23:32:48.475864,0 days 00:00:34.494443,28,269,69,25,367,288,COMPLETE
32,3669.726076126934,2023-02-24 23:40:41.666940,2023-02-24 23:41:35.277379,0 days 00:00:53.610439,22,287,89,10,240,500,COMPLETE
94,3674.5647289610997,2023-02-25 00:11:58.780174,2023-02-25 00:12:23.556712,0 days 00:00:24.776538,19,279,91,13,251,227,COMPLETE
43,3676.4188576987517,2023-02-24 23:49:03.119048,2023-02-24 23:49:51.464018,0 days 00:00:48.344970,19,274,97,9,211,454,COMPLETE
38,3676.582998994324,2023-02-24 23:45:25.696950,2023-02-24 23:46:10.123302,0 days 00:00:44.426352,20,278,88,4,213,417,COMPLETE
12,3676.9098363866738,2023-02-24 23:25:36.257749,2023-02-24 23:26:33.818693,0 days 00:00:57.560944,30,258,83,23,311,481,COMPLETE
16,3677.478111968139,2023-02-24 23:28:53.457472,2023-02-24 23:29:39.382491,0 days 00:00:45.925019,24,255,92,26,191,439,COMPLETE
87,3678.392538692484,2023-02-25 00:08:51.962984,2023-02-25 00:09:17.010031,0 days 00:00:25.047047,20,273,92,18,219,234,COMPLETE
64,3682.4552987653565,2023-02-24 23:59:14.029650,2023-02-24 23:59:34.202633,0 days 00:00:20.172983,16,269,96,12,251,186,COMPLETE
34,3682.610083296612,2023-02-24 23:42:25.427715,2023-02-24 23:43:12.182249,0 days 00:00:46.754534,23,246,37,7,214,457,COMPLETE
82,3684.0903823304848,2023-02-25 00:06:27.318071,2023-02-25 00:06:58.067351,0 days 00:00:30.749280,21,295,95,9,237,280,COMPLETE
5,3684.7466400854323,2023-02-24 23:21:02.387764,2023-02-24 23:21:45.867705,0 days 00:00:43.479941,28,230,86,14,370,375,COMPLETE
93,3687.749119805679,2023-02-25 00:11:34.952535,2023-02-25 00:11:58.779831,0 days 00:00:23.827296,18,291,94,20,287,195,COMPLETE
14,3690.3006880895746,2023-02-24 23:27:16.015876,2023-02-24 23:27:56.314701,0 days 00:00:40.298825,22,219,79,23,329,343,COMPLETE
48,3690.6630821484487,2023-02-24 23:52:43.693570,2023-02-24 23:53:32.549688,0 days 00:00:48.856118,19,249,94,5,152,481,COMPLETE
15,3690.9444265446955,2023-02-24 23:27:56.314926,2023-02-24 23:28:53.457128,0 days 00:00:57.142202,26,300,76,18,404,464,COMPLETE
35,3691.7026841808174,2023-02-24 23:43:12.182493,2023-02-24 23:44:01.645340,0 days 00:00:49.462847,20,263,95,4,188,474,COMPLETE
88,3693.4376927051467,2023-02-25 00:09:17.010414,2023-02-25 00:09:36.285817,0 days 00:00:19.275403,21,300,77,9,203,178,COMPLETE
39,3698.9868543017365,2023-02-24 23:46:10.124625,2023-02-24 23:46:38.390261,0 days 00:00:28.265636,25,287,81,12,291,233,COMPLETE
77,3701.304543308795,2023-02-25 00:03:47.745328,2023-02-25 00:04:19.939874,0 days 00:00:32.194546,20,283,87,18,318,265,COMPLETE
23,3703.6762573194665,2023-02-24 23:33:41.828985,2023-02-24 23:34:18.924641,0 days 00:00:37.095656,28,281,64,19,295,306,COMPLETE
26,3704.3349188783623,2023-02-24 23:35:54.156687,2023-02-24 23:36:26.895351,0 days 00:00:32.738664,27,278,50,10,350,274,COMPLETE
73,3709.333351745552,2023-02-25 00:02:12.740119,2023-02-25 00:02:37.646376,0 days 00:00:24.906257,22,285,92,16,258,225,COMPLETE
69,3709.557372663278,2023-02-25 00:00:55.802531,2023-02-25 00:01:16.520220,0 days 00:00:20.717689,16,278,89,17,270,186,COMPLETE
2,3714.213802619604,2023-02-24 23:19:43.673798,2023-02-24 23:20:10.185124,0 days 00:00:26.511326,26,284,65,13,383,222,COMPLETE
60,3716.2776896257324,2023-02-24 23:57:36.522269,2023-02-24 23:58:06.795384,0 days 00:00:30.273115,17,275,83,17,279,251,COMPLETE
79,3716.9135499754802,2023-02-25 00:04:51.377290,2023-02-25 00:05:27.112128,0 days 00:00:35.734838,22,277,59,21,268,326,COMPLETE
13,3719.78478183501,2023-02-24 23:26:33.818958,2023-02-24 23:27:16.015639,0 days 00:00:42.196681,24,269,94,30,128,416,COMPLETE
75,3722.160439601934,2023-02-25 00:02:55.148605,2023-02-25 00:03:18.208923,0 days 00:00:23.060318,20,270,98,13,285,191,COMPLETE
22,3722.902322844526,2023-02-24 23:32:48.476246,2023-02-24 23:33:41.828707,0 days 00:00:53.352461,29,254,74,21,344,458,COMPLETE
40,3723.9336957162,2023-02-24 23:46:38.390538,2023-02-24 23:47:18.517851,0 days 00:00:40.127313,16,226,44,14,165,402,COMPLETE
47,3733.0844489308106,2023-02-24 23:51:53.714312,2023-02-24 23:52:43.693315,0 days 00:00:49.979003,21,264,86,6,176,481,COMPLETE
25,3734.0178924309835,2023-02-24 23:34:59.260409,2023-02-24 23:35:54.156448,0 days 00:00:54.896039,29,211,80,23,512,444,COMPLETE
24,3734.428815373346,2023-02-24 23:34:18.924931,2023-02-24 23:34:59.260151,0 days 00:00:40.335220,26,241,90,26,174,391,COMPLETE
7,3743.1231058715653,2023-02-24 23:22:38.601529,2023-02-24 23:22:56.918323,0 days 00:00:18.316794,17,236,51,13,262,171,COMPLETE
29,3785.162004373549,2023-02-24 23:38:16.301245,2023-02-24 23:39:03.662145,0 days 00:00:47.360900,20,195,100,10,225,472,COMPLETE
84,3797.2398450705023,2023-02-25 00:07:32.537658,2023-02-25 00:08:10.064896,0 days 00:00:37.527238,19,211,32,17,274,362,COMPLETE
17,3808.129653229748,2023-02-24 23:29:39.382764,2023-02-24 23:30:16.365311,0 days 00:00:36.982547,21,200,61,30,309,325,COMPLETE
30,3906.750782611661,2023-02-24 23:39:03.662428,2023-02-24 23:39:47.843441,0 days 00:00:44.181013,22,184,97,16,277,429,COMPLETE
99,3933.5516168677514,2023-02-25 00:13:24.779208,2023-02-25 00:13:41.126476,0 days 00:00:16.347268,23,178,93,22,218,165,COMPLETE
4,3970.723741755575,2023-02-24 23:20:31.957130,2023-02-24 23:21:02.387526,0 days 00:00:30.430396,17,169,70,2,462,262,COMPLETE
0,3980.5375956995267,2023-02-24 23:19:07.701684,2023-02-24 23:19:23.605966,0 days 00:00:15.904282,27,176,42,5,428,138,COMPLETE
68,3987.1820962683437,2023-02-25 00:00:44.904642,2023-02-25 00:00:55.802198,0 days 00:00:10.897556,17,161,99,14,330,100,COMPLETE
36,4000.2911616162196,2023-02-24 23:44:01.645578,2023-02-24 23:44:37.419241,0 days 00:00:35.773663,23,159,90,8,163,380,COMPLETE
1,4014.0399638945973,2023-02-24 23:19:23.606261,2023-02-24 23:19:43.673550,0 days 00:00:20.067289,19,141,34,13,473,179,COMPLETE
9,4018.9098332292037,2023-02-24 23:23:07.304490,2023-02-24 23:23:52.105632,0 days 00:00:44.801142,18,125,100,28,475,400,COMPLETE
8,4034.799932667873,2023-02-24 23:22:56.918690,2023-02-24 23:23:07.304187,0 days 00:00:10.385497,21,135,71,7,236,109,COMPLETE
3,4062.750376365748,2023-02-24 23:20:10.185368,2023-02-24 23:20:31.956885,0 days 00:00:21.771517,18,138,58,21,199,235,COMPLETE
67,4062.973521749501,2023-02-25 00:00:21.683980,2023-02-25 00:00:44.904346,0 days 00:00:23.220366,21,121,92,20,243,246,COMPLETE
19,4191.035255641781,2023-02-24 23:31:07.045184,2023-02-24 23:31:39.763997,0 days 00:00:32.718813,30,102,54,18,267,355,COMPLETE
