iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
53,3094.864501953125,2022-06-02 05:32:22.356034,2022-06-02 05:34:45.985218,0 days 00:02:23.629184,70.0,698.0,133.0,58.0,390.0,904.0,COMPLETE
71,3094.869140625,2022-06-02 06:08:08.331029,2022-06-02 06:10:10.716596,0 days 00:02:02.385567,63.0,700.0,127.0,64.0,450.0,730.0,COMPLETE
34,3097.479248046875,2022-06-02 05:02:26.921354,2022-06-02 05:04:16.104513,0 days 00:01:49.183159,47.0,697.0,131.0,39.0,237.0,766.0,COMPLETE
73,3098.345947265625,2022-06-02 06:12:08.612744,2022-06-02 06:14:03.632969,0 days 00:01:55.020225,64.0,687.0,136.0,64.0,452.0,689.0,COMPLETE
91,3098.846923828125,2022-06-02 06:48:02.724793,2022-06-02 06:50:16.350983,0 days 00:02:13.626190,67.0,699.0,125.0,47.0,490.0,791.0,COMPLETE
90,3100.462158203125,2022-06-02 06:45:48.155830,2022-06-02 06:48:02.724630,0 days 00:02:14.568800,69.0,699.0,125.0,49.0,482.0,798.0,COMPLETE
33,3100.91845703125,2022-06-02 05:00:39.223879,2022-06-02 05:02:26.921241,0 days 00:01:47.697362,46.0,700.0,132.0,46.0,225.0,768.0,COMPLETE
72,3101.68359375,2022-06-02 06:10:10.716765,2022-06-02 06:12:08.612571,0 days 00:01:57.895806,64.0,682.0,137.0,61.0,458.0,701.0,COMPLETE
63,3103.11279296875,2022-06-02 05:52:50.660244,2022-06-02 05:54:47.869059,0 days 00:01:57.208815,64.0,700.0,129.0,48.0,438.0,700.0,COMPLETE
64,3103.369873046875,2022-06-02 05:54:47.869186,2022-06-02 05:56:46.213398,0 days 00:01:58.344212,64.0,688.0,129.0,48.0,454.0,707.0,COMPLETE
93,3103.720703125,2022-06-02 06:52:32.256885,2022-06-02 06:54:53.624758,0 days 00:02:21.367873,69.0,692.0,127.0,54.0,499.0,817.0,COMPLETE
62,3105.18310546875,2022-06-02 05:50:54.806977,2022-06-02 05:52:50.660117,0 days 00:01:55.853140,68.0,700.0,129.0,48.0,434.0,693.0,COMPLETE
