iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
370,2821.652099609375,2022-06-04 06:36:32.499993,2022-06-04 06:39:37.275160,0 days 00:03:04.775167,153.0,1969.0,120.0,171.0,1000.0,559.0,COMPLETE
217,2821.68603515625,2022-06-03 09:35:44.975551,2022-06-03 09:38:58.248496,0 days 00:03:13.272945,91.0,1923.0,120.0,144.0,1000.0,567.0,COMPLETE
492,2821.797607421875,2022-06-04 16:51:40.932513,2022-06-04 16:55:25.557810,0 days 00:03:44.625297,162.0,1885.0,120.0,102.0,1000.0,635.0,COMPLETE
161,2821.818115234375,2022-06-03 05:35:59.483470,2022-06-03 05:44:17.746744,0 days 00:08:18.263274,152.0,1924.0,120.0,153.0,1000.0,1493.0,COMPLETE
129,2821.844970703125,2022-06-03 03:56:38.315559,2022-06-03 03:59:29.919482,0 days 00:02:51.603923,154.0,1974.0,120.0,176.0,957.0,513.0,COMPLETE
81,2821.906494140625,2022-06-02 22:33:03.651337,2022-06-02 22:40:02.857462,0 days 00:06:59.206125,186.0,1807.0,120.0,175.0,1000.0,1270.0,COMPLETE
194,2821.9072265625,2022-06-03 08:21:43.212553,2022-06-03 08:25:31.106246,0 days 00:03:47.893693,114.0,1855.0,120.0,150.0,1000.0,673.0,COMPLETE
223,2821.9384765625,2022-06-03 09:56:54.226771,2022-06-03 10:04:06.194292,0 days 00:07:11.967521,109.0,1947.0,120.0,149.0,1000.0,1288.0,COMPLETE
151,2821.958984375,2022-06-03 05:01:06.057432,2022-06-03 05:04:13.647219,0 days 00:03:07.589787,141.0,1896.0,120.0,150.0,957.0,547.0,COMPLETE
449,2821.96240234375,2022-06-04 12:53:12.627779,2022-06-04 13:00:32.789499,0 days 00:07:20.161720,151.0,1943.0,120.0,170.0,1000.0,1332.0,COMPLETE
111,2821.965087890625,2022-06-03 02:05:49.138643,2022-06-03 02:13:18.138571,0 days 00:07:28.999928,148.0,1716.0,120.0,161.0,1000.0,1343.0,COMPLETE
110,2821.96923828125,2022-06-03 01:58:23.674681,2022-06-03 02:05:49.138472,0 days 00:07:25.463791,150.0,1776.0,120.0,162.0,1000.0,1334.0,COMPLETE
289,2821.995849609375,2022-06-04 00:51:53.464803,2022-06-04 00:54:46.243745,0 days 00:02:52.778942,104.0,1793.0,120.0,159.0,963.0,504.0,COMPLETE
329,2822.079833984375,2022-06-04 03:29:02.056564,2022-06-04 03:36:00.804174,0 days 00:06:58.747610,143.0,1945.0,120.0,157.0,1000.0,1251.0,COMPLETE
326,2822.105712890625,2022-06-04 03:21:24.287893,2022-06-04 03:24:30.271682,0 days 00:03:05.983789,143.0,1955.0,120.0,153.0,985.0,537.0,COMPLETE
142,2822.127685546875,2022-06-03 04:33:17.836705,2022-06-03 04:35:52.419997,0 days 00:02:34.583292,145.0,1760.0,120.0,151.0,906.0,565.0,COMPLETE
402,2822.143310546875,2022-06-04 09:22:45.392805,2022-06-04 09:25:53.654142,0 days 00:03:08.261337,139.0,1865.0,120.0,153.0,985.0,543.0,COMPLETE
377,2822.161865234375,2022-06-04 06:58:42.182168,2022-06-04 07:06:30.160373,0 days 00:07:47.978205,154.0,1950.0,120.0,138.0,979.0,1327.0,COMPLETE
386,2822.1943359375,2022-06-04 08:03:34.588495,2022-06-04 08:06:23.558817,0 days 00:02:48.970322,146.0,1917.0,120.0,142.0,960.0,500.0,COMPLETE
199,2822.198486328125,2022-06-03 08:39:08.745665,2022-06-03 08:42:40.996745,0 days 00:03:32.251080,117.0,1895.0,120.0,146.0,985.0,606.0,COMPLETE
301,2822.20068359375,2022-06-04 01:48:32.780425,2022-06-04 01:52:22.689050,0 days 00:03:49.908625,137.0,1916.0,120.0,163.0,985.0,671.0,COMPLETE
184,2822.22216796875,2022-06-03 07:53:30.475776,2022-06-03 07:56:01.133654,0 days 00:02:30.657878,123.0,1906.0,120.0,181.0,944.0,565.0,COMPLETE
141,2822.22314453125,2022-06-03 04:30:37.827737,2022-06-03 04:33:17.836520,0 days 00:02:40.008783,150.0,1774.0,120.0,151.0,906.0,578.0,COMPLETE
94,2822.258056640625,2022-06-03 00:03:15.254133,2022-06-03 00:10:50.924905,0 days 00:07:35.670772,166.0,1784.0,120.0,194.0,901.0,1665.0,COMPLETE
144,2822.26416015625,2022-06-03 04:38:30.057040,2022-06-03 04:41:04.527074,0 days 00:02:34.470034,143.0,1893.0,120.0,150.0,877.0,555.0,COMPLETE
375,2822.265869140625,2022-06-04 06:52:19.530122,2022-06-04 06:55:44.037808,0 days 00:03:24.507686,152.0,1949.0,120.0,148.0,985.0,587.0,COMPLETE
234,2822.267822265625,2022-06-03 10:55:31.067109,2022-06-03 10:58:45.573139,0 days 00:03:14.506030,112.0,1773.0,120.0,182.0,958.0,596.0,COMPLETE
231,2822.29052734375,2022-06-03 10:47:51.197518,2022-06-03 10:50:19.095294,0 days 00:02:27.897776,109.0,1808.0,120.0,181.0,946.0,549.0,COMPLETE
213,2822.337646484375,2022-06-03 09:23:26.284697,2022-06-03 09:26:27.748050,0 days 00:03:01.463353,107.0,1915.0,120.0,151.0,960.0,542.0,COMPLETE
210,2822.341064453125,2022-06-03 09:13:19.091742,2022-06-03 09:16:39.489458,0 days 00:03:20.397716,107.0,1980.0,120.0,143.0,999.0,568.0,COMPLETE
180,2822.355712890625,2022-06-03 07:43:19.248886,2022-06-03 07:45:55.362246,0 days 00:02:36.113360,129.0,1906.0,120.0,182.0,944.0,586.0,COMPLETE
483,2822.362548828125,2022-06-04 16:09:30.669655,2022-06-04 16:17:20.549385,0 days 00:07:49.879730,145.0,1826.0,120.0,140.0,985.0,1336.0,COMPLETE
284,2822.375,2022-06-04 00:35:17.145415,2022-06-04 00:38:37.156794,0 days 00:03:20.011379,106.0,1846.0,120.0,170.0,963.0,590.0,COMPLETE
439,2822.432373046875,2022-06-04 12:03:01.213536,2022-06-04 12:10:30.602157,0 days 00:07:29.388621,153.0,1762.0,120.0,156.0,963.0,1308.0,COMPLETE
487,2822.441162109375,2022-06-04 16:32:29.249306,2022-06-04 16:34:50.344534,0 days 00:02:21.095228,188.0,1922.0,120.0,159.0,925.0,500.0,COMPLETE
332,2822.445556640625,2022-06-04 03:49:27.411178,2022-06-04 03:52:28.284961,0 days 00:03:00.873783,138.0,1930.0,120.0,157.0,986.0,536.0,COMPLETE
164,2822.455078125,2022-06-03 05:59:47.712132,2022-06-03 06:07:38.686144,0 days 00:07:50.974012,149.0,1861.0,120.0,153.0,982.0,1387.0,COMPLETE
181,2822.46875,2022-06-03 07:45:55.362451,2022-06-03 07:48:35.727001,0 days 00:02:40.364550,128.0,1964.0,120.0,179.0,945.0,578.0,COMPLETE
155,2822.47265625,2022-06-03 05:11:47.892099,2022-06-03 05:18:46.504355,0 days 00:06:58.612256,145.0,1835.0,120.0,144.0,913.0,1478.0,COMPLETE
126,2822.485595703125,2022-06-03 03:49:17.698338,2022-06-03 03:51:41.638769,0 days 00:02:23.940431,150.0,1834.0,120.0,185.0,895.0,530.0,COMPLETE
352,2822.486328125,2022-06-04 05:16:53.027426,2022-06-04 05:23:52.585587,0 days 00:06:59.558161,134.0,1923.0,120.0,149.0,967.0,1210.0,COMPLETE
244,2822.487060546875,2022-06-03 11:28:22.422829,2022-06-03 11:31:47.473672,0 days 00:03:25.050843,112.0,1904.0,120.0,184.0,982.0,627.0,COMPLETE
469,2822.494384765625,2022-06-04 15:03:59.360833,2022-06-04 15:10:55.732223,0 days 00:06:56.371390,166.0,1895.0,120.0,172.0,967.0,1229.0,COMPLETE
408,2822.49560546875,2022-06-04 09:48:56.990035,2022-06-04 09:52:13.524755,0 days 00:03:16.534720,139.0,1910.0,120.0,142.0,986.0,572.0,COMPLETE
202,2822.5185546875,2022-06-03 08:49:24.081992,2022-06-03 08:52:38.383709,0 days 00:03:14.301717,114.0,1917.0,120.0,147.0,967.0,557.0,COMPLETE
232,2822.5244140625,2022-06-03 10:50:19.095549,2022-06-03 10:52:59.889231,0 days 00:02:40.793682,110.0,1812.0,120.0,180.0,945.0,580.0,COMPLETE
315,2822.531982421875,2022-06-04 02:37:47.850518,2022-06-04 02:41:20.413422,0 days 00:03:32.562904,142.0,1952.0,120.0,155.0,987.0,615.0,COMPLETE
341,2822.544677734375,2022-06-04 04:37:43.450167,2022-06-04 04:46:53.100704,0 days 00:09:09.650537,147.0,1807.0,120.0,156.0,973.0,1596.0,COMPLETE
455,2822.562255859375,2022-06-04 13:36:47.889576,2022-06-04 13:42:32.835669,0 days 00:05:44.946093,143.0,1977.0,120.0,167.0,827.0,1278.0,COMPLETE
496,2822.578857421875,2022-06-04 17:08:51.691319,2022-06-04 17:12:32.104139,0 days 00:03:40.412820,147.0,1865.0,120.0,170.0,999.0,645.0,COMPLETE
87,2822.5810546875,2022-06-02 23:13:59.526709,2022-06-02 23:20:31.789268,0 days 00:06:32.262559,167.0,1797.0,120.0,166.0,809.0,1453.0,COMPLETE
134,2822.58349609375,2022-06-03 04:11:11.887283,2022-06-03 04:13:46.179578,0 days 00:02:34.292295,150.0,1886.0,120.0,161.0,931.0,551.0,COMPLETE
246,2822.59130859375,2022-06-03 11:35:23.906423,2022-06-03 11:38:46.202918,0 days 00:03:22.296495,152.0,1808.0,120.0,179.0,980.0,616.0,COMPLETE
