iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
246,2329.6494479276107,2022-12-28 03:24:58.872051,2022-12-28 03:26:09.630240,0 days 00:01:10.758189,0.49760962523573893,0.6728049675860435,5.41915095188068e-06,0.040192806828724996,14.0,7.0,488.0,0.008520070795413826,9.795472192741522e-06,0.7890677649541235,COMPLETE
210,2330.4200479346523,2022-12-28 02:07:34.669405,2022-12-28 02:08:53.738872,0 days 00:01:19.069467,0.5064327379477863,0.6789066920278236,7.546876507239253e-07,0.04266221655013338,14.0,7.0,529.0,0.007739865508723052,9.264541187808764e-06,0.7998986731324287,COMPLETE
226,2330.4376000961947,2022-12-28 02:54:15.938657,2022-12-28 02:55:29.808733,0 days 00:01:13.870076,0.48418518575357455,0.6754109130168198,1.9670640284488094e-08,0.043363589975613764,14.0,7.0,524.0,0.0027744804902899213,9.106007441115162e-06,0.79175042314669,COMPLETE
176,2330.7982882127585,2022-12-28 01:01:16.966227,2022-12-28 01:02:34.522685,0 days 00:01:17.556458,0.5281986761136642,0.6732998199409774,1.5912888682221852e-05,0.041436031335753735,14.0,7.0,501.0,0.011034173971207534,9.196102328437774e-06,0.7911791255588158,COMPLETE
258,2330.9642320297035,2022-12-28 03:40:35.262793,2022-12-28 03:41:47.582664,0 days 00:01:12.319871,0.4910395947870029,0.6658350921376062,7.759463476949092e-06,0.04157989230965351,14.0,7.0,501.0,0.00031792781524749833,9.534896247337232e-06,0.785872185894435,COMPLETE
255,2331.073401953495,2022-12-28 03:36:34.806153,2022-12-28 03:37:46.500372,0 days 00:01:11.694219,0.49504049525942095,0.6740279779293031,8.118790291045964e-06,0.0423287711643674,14.0,7.0,501.0,0.00025812130248431,9.454636061230442e-06,0.7931125980726697,COMPLETE
294,2331.085485194832,2022-12-28 04:24:02.326129,2022-12-28 04:25:17.910736,0 days 00:01:15.584607,0.527184786916607,0.6718298698901126,1.3128515533446521e-05,0.04426261690104469,14.0,7.0,526.0,0.008353935272827118,9.182038399462957e-06,0.7874898270608913,COMPLETE
181,2331.2053815868344,2022-12-28 01:10:30.654103,2022-12-28 01:11:47.331669,0 days 00:01:16.677566,0.5212679904229038,0.6725516808928076,7.44940189012812e-06,0.04176778078435984,14.0,7.0,504.0,0.011145088491366003,8.787505520848193e-06,0.79475819720759,COMPLETE
174,2331.2317029028072,2022-12-28 00:57:25.045413,2022-12-28 00:58:39.321863,0 days 00:01:14.276450,0.5350163998231823,0.671799831122614,1.5614917499641095e-05,0.045362564333610134,14.0,7.0,477.0,0.012630006447706009,8.769684741874127e-06,0.7894842720804967,COMPLETE
190,2331.8254589598255,2022-12-28 01:28:03.524576,2022-12-28 01:29:16.895583,0 days 00:01:13.371007,0.5083114727381484,0.6743272467940525,2.390229023000557e-06,0.041727448306422936,14.0,7.0,483.0,0.010113284362680977,9.93410333080565e-06,0.7997930151974909,COMPLETE
227,2331.8545178978106,2022-12-28 02:55:45.026559,2022-12-28 02:57:00.088982,0 days 00:01:15.062423,0.4954598928308748,0.6756013634842996,3.305806809317357e-07,0.04368632834041297,14.0,7.0,523.0,0.002969554826479889,9.193283523162521e-06,0.7890612523344196,COMPLETE
259,2332.2421850486426,2022-12-28 03:41:51.834358,2022-12-28 03:43:04.145860,0 days 00:01:12.311502,0.49297793344895563,0.6661582148809874,8.174374189994216e-06,0.04195919017450234,14.0,7.0,504.0,0.0013073372760717577,9.678247731090388e-06,0.7849130053456658,COMPLETE
