iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
82,2364.107512302609,2023-02-07 18:40:07.563357,2023-02-07 18:40:28.666591,0 days 00:00:21.103234,0.40277934258427694,0.6710399349490892,0.1558943130190515,0.08579108868747183,10,6,495,6.179910559571503,0.24724370045329241,0.7140277450159145,COMPLETE
93,2365.6543052877173,2023-02-07 18:44:42.902720,2023-02-07 18:45:04.387500,0 days 00:00:21.484780,0.487532781544262,0.673995446116409,0.20138233899142138,0.08444980652021579,10,5,480,5.363213939619433,0.1416963127309579,0.7066547748713554,COMPLETE
72,2367.3424632798187,2023-02-07 18:35:54.687148,2023-02-07 18:36:23.712775,0 days 00:00:29.025627,0.40712078703165844,0.6421101136523375,0.15342178233931544,0.06954307599555082,10,6,496,4.680368318948156,0.09648086147087126,0.7365396353545157,COMPLETE
86,2367.8664330656693,2023-02-07 18:41:39.470366,2023-02-07 18:42:02.699830,0 days 00:00:23.229464,0.4570404369483687,0.6592291001064216,0.2017244865514738,0.06303651350467834,10,5,485,6.591037544865143,0.25096247290255363,0.7105544841844776,COMPLETE
91,2368.6862201089198,2023-02-07 18:43:48.370391,2023-02-07 18:44:13.544350,0 days 00:00:25.173959,0.4671843289608997,0.7042168870531721,0.28899823984486905,0.06477321966270826,10,6,479,6.489898989207722,0.1787560590214128,0.7152861254666113,COMPLETE
73,2368.8674229178123,2023-02-07 18:36:28.742842,2023-02-07 18:36:50.147753,0 days 00:00:21.404911,0.4040171165633801,0.6373333195356762,0.16051699307758546,0.07208698121677747,10,6,500,4.491054206419459,0.08819216179657097,0.6929742678539148,COMPLETE
44,2369.1484207887934,2023-02-07 18:24:37.004323,2023-02-07 18:25:05.019136,0 days 00:00:28.014813,0.39354829470927544,0.6289500076216945,0.040073944203492445,0.10004479183777001,10,6,445,7.653547738280236,0.1756356885788494,0.7241542150666389,COMPLETE
74,2369.165695055059,2023-02-07 18:36:54.941622,2023-02-07 18:37:16.324717,0 days 00:00:21.383095,0.40946515825382557,0.6371759273271482,0.24643414584412493,0.07128885063321043,10,6,499,2.1932155201808756,0.21013848023825266,0.6903079399376182,COMPLETE
81,2369.3437951720807,2023-02-07 18:39:35.052685,2023-02-07 18:40:03.161067,0 days 00:00:28.108382,0.405600262160298,0.6143056879057287,0.15937688563332394,0.0834266336096347,10,6,499,5.057279131890569,0.24648621851346095,0.7184232339380247,COMPLETE
85,2369.7330253125156,2023-02-07 18:41:12.248678,2023-02-07 18:41:34.383750,0 days 00:00:22.135072,0.4528643017488811,0.6660961054462271,0.1502571214307466,0.06499571539225539,10,6,488,6.456033233664673,0.2610235349348598,0.7114789239289043,COMPLETE
43,2369.783865059698,2023-02-07 18:24:12.923846,2023-02-07 18:24:32.668316,0 days 00:00:19.744470,0.38914701647612443,0.6356786622098602,0.16436855881385487,0.11935263812928074,10,6,434,8.190845138782903,0.17905858082881468,0.7360720793893937,COMPLETE
90,2369.811566221045,2023-02-07 18:43:23.072131,2023-02-07 18:43:44.052064,0 days 00:00:20.979933,0.4463162296636039,0.7029240539634518,0.28440070252143596,0.06373822669047909,10,6,484,7.466560724181114,0.1634328516461678,0.7165323180982266,COMPLETE
61,2369.8580145210462,2023-02-07 18:31:28.739334,2023-02-07 18:31:54.191533,0 days 00:00:25.452199,0.3825652417377274,0.6290850210476084,0.130287413363491,0.07797744938667384,10,6,493,4.846235425786393,0.3440705173464556,0.7285685603477904,COMPLETE
97,2369.991853831455,2023-02-07 18:46:18.862241,2023-02-07 18:46:38.836784,0 days 00:00:19.974543,0.4693923252297566,0.657075488191336,0.10445693810284606,0.08526352080891587,10,7,451,7.378826557607588,0.4383611177637381,0.721298615750446,COMPLETE
92,2370.6342880508632,2023-02-07 18:44:17.669444,2023-02-07 18:44:38.350103,0 days 00:00:20.680659,0.4676419948744574,0.6460941615200446,0.24886742381472376,0.059753468402407216,10,6,471,6.64862583995479,0.252455848408945,0.7400987312031524,COMPLETE
62,2370.7160192148035,2023-02-07 18:31:58.175765,2023-02-07 18:32:19.062230,0 days 00:00:20.886465,0.37288307291941,0.626028118208702,0.18008587534411577,0.07791321944401361,10,6,497,3.9148676094459445,0.34749726279667037,0.7328056965674551,COMPLETE
60,2370.8000554436708,2023-02-07 18:31:03.544841,2023-02-07 18:31:24.741160,0 days 00:00:21.196319,0.410117261240765,0.6272785293109493,0.11888474395992019,0.07669061214284137,10,6,500,4.465411671682673,0.3369047053089467,0.6796726813984885,COMPLETE
71,2372.329932133786,2023-02-07 18:35:29.572094,2023-02-07 18:35:50.620957,0 days 00:00:21.048863,0.3731802721508658,0.6210300566463306,0.2086392556535509,0.07801411450657471,10,6,499,4.696959247866732,0.36678314740107193,0.7367851040060355,COMPLETE
98,2372.823023213625,2023-02-07 18:46:42.915365,2023-02-07 18:47:13.662237,0 days 00:00:30.746872,0.45455096199546663,0.6772775207788202,0.3041537722464301,0.07126443934487121,10,6,477,3.511698032907396,0.05312350437261085,0.654336360956564,COMPLETE
51,2372.860052684582,2023-02-07 18:27:25.389429,2023-02-07 18:27:46.549915,0 days 00:00:21.160486,0.3269508817351098,0.5553412043784447,0.036745400366025686,0.10461187259835245,10,4,480,8.50077470197902,0.3267026600387532,0.7316715704837403,COMPLETE
46,2372.8694003009396,2023-02-07 18:25:29.037065,2023-02-07 18:25:50.402169,0 days 00:00:21.365104,0.34016788207839943,0.6198551351218595,0.04234414129284479,0.10993815679826394,10,4,474,8.003640283386552,0.3482155887905347,0.7357172385953886,COMPLETE
84,2373.1856592713134,2023-02-07 18:40:48.193034,2023-02-07 18:41:08.344545,0 days 00:00:20.151511,0.38826248821493853,0.6112727743713833,0.0966531911981642,0.09551186974054185,10,7,461,5.173287511196732,0.005197444109733773,0.6978887948367497,COMPLETE
63,2373.287870591417,2023-02-07 18:32:23.425154,2023-02-07 18:32:44.395438,0 days 00:00:20.970284,0.37467543234762907,0.6242725315725816,0.2149101415792733,0.0766897794763962,10,6,498,4.259066569650568,0.3411640779954767,0.730633221070906,COMPLETE
