iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
91,2379.6775894329226,2023-01-12 18:25:11.527107,2023-01-12 18:25:47.405992,0 days 00:00:35.878885,0.4267966701052448,0.6825913077595558,0.05585638456635922,0.10142288599318808,10,5,483,1.6252700396541173,2.4399620265343933,0.5409449354282929,COMPLETE
99,2381.4107409711505,2023-01-12 18:30:15.453592,2023-01-12 18:30:48.771789,0 days 00:00:33.318197,0.4707162837225982,0.6311222490403455,0.13882233471551353,0.08657457514145324,10,2,441,10.934650305523993,2.1769192631215457,0.5524105276154065,COMPLETE
86,2384.088909934169,2023-01-12 18:21:45.226156,2023-01-12 18:22:29.038347,0 days 00:00:43.812191,0.447693084043249,0.6547118547655701,0.04773078318255829,0.11403376729723154,10,3,500,8.001025355735916,2.5826168079275678,0.5380164347049586,COMPLETE
97,2384.417399329243,2023-01-12 18:28:50.680606,2023-01-12 18:29:28.108468,0 days 00:00:37.427862,0.3967372009551372,0.6009069858108531,0.08007772149031928,0.0861698378959061,10,2,477,11.627942098539918,2.094364250388012,0.5736304083823335,COMPLETE
92,2386.126739485891,2023-01-12 18:25:53.636327,2023-01-12 18:26:24.013108,0 days 00:00:30.376781,0.4232707204637423,0.7066603904995232,0.05457198034895474,0.10297206849317325,10,5,482,10.86811467806383,2.402368271628576,0.536724566587646,COMPLETE
80,2386.260381767666,2023-01-12 18:17:40.190893,2023-01-12 18:18:10.743156,0 days 00:00:30.552263,0.3928717735878427,0.6893154285490818,0.03198363951939964,0.10011515423007758,10,5,499,4.0933869190937315,2.9826908280641806,0.49838049474746626,COMPLETE
74,2386.4668799712217,2023-01-12 18:14:03.103944,2023-01-12 18:14:31.323638,0 days 00:00:28.219694,0.36228343646712124,0.6383486355965966,0.007980666477189983,0.09629414589914902,10,7,460,4.05930727041843,2.9327258364295434,0.5583890387261212,COMPLETE
81,2387.4083509522825,2023-01-12 18:18:17.835843,2023-01-12 18:18:54.576040,0 days 00:00:36.740197,0.4167758796559307,0.6788422268078729,0.031222194356723253,0.10097851927798202,10,5,492,4.165571067692717,2.9813748459045266,0.4966822992226848,COMPLETE
85,2387.610830704181,2023-01-12 18:21:07.635183,2023-01-12 18:21:38.706155,0 days 00:00:31.070972,0.44373679688887596,0.6835424553184395,0.03971304904330142,0.10186636302745172,10,4,498,8.38456271951113,2.9993258724335474,0.469075822230729,COMPLETE
77,2388.0565969371237,2023-01-12 18:15:53.199174,2023-01-12 18:16:23.409543,0 days 00:00:30.210369,0.3348101271429458,0.6522687304827727,0.04924316748141937,0.10163456180909286,10,6,498,3.9111335087914405,2.9628270928229954,0.5517601173964374,COMPLETE
96,2388.240506425429,2023-01-12 18:28:15.188624,2023-01-12 18:28:44.519240,0 days 00:00:29.330616,0.394276258003691,0.6770778614307797,0.13938136282332927,0.08715044532171895,10,6,478,11.233411552380762,2.401446675063788,0.5309431830211289,COMPLETE
79,2388.397964664475,2023-01-12 18:17:06.006472,2023-01-12 18:17:35.438952,0 days 00:00:29.432480,0.4016979492130949,0.6777864412993,0.033670146681570146,0.09837007738771196,10,5,482,4.01514442228501,2.942028346023823,0.50684096936651,COMPLETE
78,2389.8703745373764,2023-01-12 18:16:29.527938,2023-01-12 18:16:59.211047,0 days 00:00:29.683109,0.3374480222991892,0.6879397319598659,0.031930675772731704,0.09249590751031975,10,6,494,4.0026625112860215,2.9582722555772945,0.5360383633364534,COMPLETE
93,2390.2732082756,2023-01-12 18:26:31.369020,2023-01-12 18:27:03.441683,0 days 00:00:32.072663,0.42806737492717817,0.7103763486863441,0.06694992747280884,0.10630893019045026,10,5,457,4.969555605756696,2.3383445011413078,0.5355526560266531,COMPLETE
84,2390.4014114056204,2023-01-12 18:20:30.206053,2023-01-12 18:21:01.337065,0 days 00:00:31.131012,0.4121512435072804,0.6896032737981682,0.04029841241142438,0.09997218420869373,10,4,492,4.281259463030205,2.528471367137443,0.4991850011935077,COMPLETE
64,2392.8134755040046,2023-01-12 18:08:17.211924,2023-01-12 18:08:42.127013,0 days 00:00:24.915089,0.2385832879263378,0.6861719632639892,0.27012169590591095,0.09530937743106001,10,9,410,1.6479414134691766,0.12633644962827728,0.6981921206713267,COMPLETE
82,2393.20281994394,2023-01-12 18:19:00.901927,2023-01-12 18:19:40.319695,0 days 00:00:39.417768,0.40881151053446463,0.6921163515127241,0.03728191171504144,0.09937975688314107,10,5,484,4.074536203067449,2.9634400545225197,0.4897989104067639,COMPLETE
83,2394.400532377947,2023-01-12 18:19:46.721792,2023-01-12 18:20:25.153812,0 days 00:00:38.432020,0.40488239066068843,0.6913278998535586,0.03925139186344152,0.1010865659613979,10,5,491,4.165358182549211,2.6302010710209904,0.49853431898064293,COMPLETE
65,2395.803728393541,2023-01-12 18:08:48.700543,2023-01-12 18:09:20.766306,0 days 00:00:32.065763,0.24033118183494714,0.669669281195769,0.09210008334011922,0.08440039240181905,10,8,425,0.2089533133126738,0.07117014193484983,0.6180607691787314,COMPLETE
90,2396.8992298238836,2023-01-12 18:24:35.751532,2023-01-12 18:25:05.493192,0 days 00:00:29.741660,0.38720426286643983,0.6777691205462889,0.022492846927036275,0.06707740316450106,10,4,471,7.829511901857101,2.902019857524402,0.5132143977512922,COMPLETE
87,2397.3730875942088,2023-01-12 18:22:35.585483,2023-01-12 18:23:20.385481,0 days 00:00:44.799998,0.4618134203804419,0.7146863672880207,0.044146318145132056,0.11157879193264861,10,3,497,9.227333321862009,2.5691862741113183,0.46080730353088367,COMPLETE
94,2397.522697116071,2023-01-12 18:27:16.331390,2023-01-12 18:27:46.504331,0 days 00:00:30.172941,0.45112146512951423,0.7301546680979886,0.10140576235157128,0.08186790429990753,10,6,481,10.290935177072223,2.6816269128748127,0.43062039662901325,COMPLETE
72,2398.9634093793816,2023-01-12 18:12:52.214314,2023-01-12 18:13:23.292057,0 days 00:00:31.077743,0.33746227825623376,0.6412819952499941,0.011703045142634778,0.09249793067776022,10,8,416,3.007097298135497,2.9223679848233584,0.6047834257578361,COMPLETE
66,2399.163995255622,2023-01-12 18:09:27.789194,2023-01-12 18:09:53.157257,0 days 00:00:25.368063,0.23767690043690118,0.6469749661949037,0.11402394428817914,0.07909491229729873,10,8,418,0.024577411375201308,0.00017627273704490243,0.615019395697041,COMPLETE
89,2401.705643359036,2023-01-12 18:24:00.301790,2023-01-12 18:24:30.806296,0 days 00:00:30.504506,0.43665691906642706,0.6178306791805181,0.11617105687981297,0.11674042828776855,10,4,500,5.714782069115182,2.840328523864206,0.4735257186048513,COMPLETE
73,2404.600517059222,2023-01-12 18:13:30.356179,2023-01-12 18:13:56.257133,0 days 00:00:25.900954,0.3054807928813299,0.6436898941882231,0.0029016068516683428,0.09253873070126567,10,8,413,2.6711207342440617,2.8059279153773473,0.5632835495628004,COMPLETE
44,2406.8636449134183,2023-01-12 17:57:21.538826,2023-01-12 17:57:41.371208,0 days 00:00:19.832382,0.31233568213816104,0.8544943712273488,0.5004300593843946,0.16598437945081962,10,7,205,25.17428167034717,1.3109685935760633,0.7214490830421803,COMPLETE
67,2407.0997064189796,2023-01-12 18:09:59.411166,2023-01-12 18:10:26.320613,0 days 00:00:26.909447,0.23470703874857643,0.6388510038615295,0.07493914299181025,0.07270328828417673,10,7,417,0.014415960034015574,0.008862995383179462,0.6308493293148938,COMPLETE
75,2407.4622749302716,2023-01-12 18:14:37.467961,2023-01-12 18:15:14.784919,0 days 00:00:37.316958,0.3404699210884714,0.5676541191611653,0.0021120916472997103,0.07403844131288767,10,7,460,5.384259166421658,2.7034450390911293,0.5219662572662185,COMPLETE
71,2407.533565529296,2023-01-12 18:12:14.437073,2023-01-12 18:12:40.972144,0 days 00:00:26.535071,0.2892981037929723,0.641748503392523,0.034684589295036934,0.08930537143529728,10,8,412,2.6355537649707017,2.975523952570006,0.6056101908904795,COMPLETE
63,2410.8884852858314,2023-01-12 18:07:45.818245,2023-01-12 18:08:09.409387,0 days 00:00:23.591142,0.24330492140245197,0.7048055232804924,0.1575939211223028,0.12232337957804545,9,8,408,0.05640097080944528,0.5373263555341892,0.6258162604464903,COMPLETE
98,2411.793097646674,2023-01-12 18:29:34.390585,2023-01-12 18:30:10.572651,0 days 00:00:36.182066,0.369125307897322,0.5958702722436591,0.0796371923156424,0.04966609965500095,10,2,466,12.285099020201091,2.402937121460819,0.5729029581811749,COMPLETE
61,2415.1513949090854,2023-01-12 18:06:44.772611,2023-01-12 18:07:05.735496,0 days 00:00:20.962885,0.217485271996473,0.7697543897398496,0.18045700322538166,0.12854070728244793,9,8,355,0.9088486250417649,0.5287791803680623,0.652464129678259,COMPLETE
42,2419.0735247526286,2023-01-12 17:56:21.318901,2023-01-12 17:56:45.438123,0 days 00:00:24.119222,0.25742833725661673,0.8514533916651851,0.563531122240767,0.16408356495104373,10,9,192,29.665830244677764,1.4664206478821593,0.7125369597478964,COMPLETE
59,2420.1845341852422,2023-01-12 18:05:38.706119,2023-01-12 18:06:11.838321,0 days 00:00:33.132202,0.25815160974299356,0.8255135875050055,0.2808590918569577,0.13344275257097657,9,9,352,27.28963270827217,0.5090246713458362,0.656427260600446,COMPLETE
68,2422.1648727653924,2023-01-12 18:10:36.783952,2023-01-12 18:11:01.901047,0 days 00:00:25.117095,0.23320150657498362,0.6376754092239225,0.06500069411284329,0.056292162574696616,10,7,422,0.2522261869885013,0.12095869553458445,0.6091334439198341,COMPLETE
49,2423.517998921103,2023-01-12 17:59:53.335448,2023-01-12 18:00:23.915426,0 days 00:00:30.579978,0.26380395758226965,0.8156865620128395,0.21628542842643272,0.12614493451253672,9,10,309,29.763938430848484,0.2401806304294541,0.7482880956144196,COMPLETE
