iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
98,2390.542000147215,2023-01-06 05:44:16.812400,2023-01-06 05:44:43.022980,0 days 00:00:26.210580,0.41759803677901897,0.5708918132947565,5.105012786381125,0.07879323092925228,10.0,8.0,500.0,25.26123654931493,0.7503491612032973,0.7394772219810125,COMPLETE
44,2390.984514162548,2023-01-06 05:04:03.855675,2023-01-06 05:04:29.865557,0 days 00:00:26.009882,0.4758681222225425,0.5289289782796227,1.9490920994157868,0.06973034726031342,10.0,5.0,480.0,23.889414770230637,0.030566484638929747,0.6430921750670537,COMPLETE
99,2392.895563812016,2023-01-06 05:45:09.942061,2023-01-06 05:45:35.717790,0 days 00:00:25.775729,0.4211361138619987,0.6165674936862924,4.76168230048638,0.0980895340134045,10.0,9.0,500.0,25.539010328021767,0.7700475334172334,0.7344915482728864,COMPLETE
97,2392.966226024993,2023-01-06 05:43:24.446067,2023-01-06 05:43:50.417865,0 days 00:00:25.971798,0.4713164180200798,0.5283343494010637,6.3697517722622115,0.07800687316480383,10.0,9.0,500.0,25.576672015675875,0.37605860582237094,0.7362520262459309,COMPLETE
102,2395.1760792339705,2023-01-06 05:47:42.444286,2023-01-06 05:48:07.451478,0 days 00:00:25.007192,0.41731926503497097,0.5847776304328683,5.090569882971131,0.1208001264948706,10.0,10.0,478.0,24.403067569121344,1.0351129476212153,0.7226361617463813,COMPLETE
87,2397.352074200521,2023-01-06 05:34:54.772152,2023-01-06 05:35:21.427508,0 days 00:00:26.655356,0.4456891535164143,0.5708716792799058,1.5009890008195323,0.08678514755774926,10.0,6.0,491.0,27.34425955328191,0.2175704193476377,0.6101411350691873,COMPLETE
100,2397.459648992355,2023-01-06 05:46:01.249556,2023-01-06 05:46:27.073100,0 days 00:00:25.823544,0.413476731765114,0.6579671101337113,4.652466091132714,0.09772858910772353,10.0,9.0,500.0,25.487003973065775,0.7592316573950567,0.7401330221494355,COMPLETE
72,2398.1185244794046,2023-01-06 05:23:18.693736,2023-01-06 05:23:43.853615,0 days 00:00:25.159879,0.42431055142018864,0.5146916420060139,1.2401633147738806,0.09677232017663977,10.0,6.0,453.0,25.926615133389685,0.08813936897444949,0.746809003299991,COMPLETE
33,2399.2065901205124,2023-01-06 04:57:13.666485,2023-01-06 04:57:43.417349,0 days 00:00:29.750864,0.44485012457915224,0.5527883357631257,0.5583761030988008,0.10569618713109885,10.0,1.0,478.0,24.77881386758954,0.8413911558424584,0.6053515835049883,COMPLETE
59,2400.2993029158897,2023-01-06 05:14:02.967708,2023-01-06 05:14:26.744214,0 days 00:00:23.776506,0.4313449887029435,0.5455095463753428,8.847388221578948,0.08327329527034742,10.0,6.0,431.0,26.83605829498958,0.5842453802987668,0.6679866435340787,COMPLETE
34,2402.5043427527503,2023-01-06 04:57:55.182698,2023-01-06 04:58:23.674569,0 days 00:00:28.491871,0.4391512455513849,0.5336385755950732,0.37988262826125685,0.07273854936158122,10.0,1.0,477.0,25.959664372982886,0.38725169558314465,0.587636962070389,COMPLETE
62,2402.7911608717773,2023-01-06 05:16:05.219218,2023-01-06 05:16:29.868697,0 days 00:00:24.649479,0.4197144813914702,0.5186834006172393,8.512088110141399,0.10483943654106222,10.0,6.0,470.0,22.659306770998395,0.9981271421008245,0.6919937256988844,COMPLETE
73,2403.166917036752,2023-01-06 05:24:03.459788,2023-01-06 05:24:29.275435,0 days 00:00:25.815647,0.4292840126009584,0.5000360658630554,1.2612621329712956,0.07818445528948144,10.0,6.0,454.0,26.373204768528222,0.09471798551784315,0.734328890192155,COMPLETE
92,2403.2872652356664,2023-01-06 05:39:12.136044,2023-01-06 05:39:39.127704,0 days 00:00:26.991660,0.4858819132020261,0.5252760108547747,6.963798120179623,0.06532696058892085,10.0,6.0,489.0,26.464218624492446,0.3940869720404129,0.6220563889625732,COMPLETE
91,2403.543605849481,2023-01-06 05:38:19.830758,2023-01-06 05:38:48.020397,0 days 00:00:28.189639,0.48095597898342035,0.5284769392625716,6.944570599375992,0.06507757022195332,10.0,6.0,489.0,27.057363588064383,0.39646489933114337,0.621452150135235,COMPLETE
54,2403.969644522029,2023-01-06 05:10:42.015471,2023-01-06 05:11:07.049538,0 days 00:00:25.034067,0.43314223955807946,0.5253415437530912,0.5864363903051535,0.08419440386401984,10.0,5.0,450.0,22.124105939840835,0.012237301068369014,0.662666055294124,COMPLETE
36,2404.0577393377207,2023-01-06 04:59:16.737291,2023-01-06 04:59:43.345133,0 days 00:00:26.607842,0.46464564695554084,0.5053282378955294,0.7354599672984014,0.10646057849770246,10.0,4.0,498.0,25.221771583626946,0.33177919942899037,0.6076490129943921,COMPLETE
75,2404.4255285546064,2023-01-06 05:25:38.251991,2023-01-06 05:26:06.074329,0 days 00:00:27.822338,0.38268101216100925,0.5495584885437342,1.571144476173309,0.09500950582005033,10.0,6.0,439.0,27.368556920116966,0.09114459116673002,0.7290193364911071,COMPLETE
74,2404.4326712385264,2023-01-06 05:24:51.061720,2023-01-06 05:25:16.056705,0 days 00:00:24.994985,0.422687948528441,0.5214159001768867,1.2258705343751748,0.08143400740554503,10.0,7.0,456.0,26.507028643666064,0.2560738819496392,0.7326048027676162,COMPLETE
93,2404.8515597721535,2023-01-06 05:40:03.025437,2023-01-06 05:40:29.422192,0 days 00:00:26.396755,0.49000441259914823,0.5343591424822689,6.775113282235443,0.06015934390357402,10.0,6.0,490.0,27.54533723413592,0.39652225095744364,0.6152246628592096,COMPLETE
46,2405.6518368338866,2023-01-06 05:05:18.351066,2023-01-06 05:05:53.266994,0 days 00:00:34.915928,0.3966530510232422,0.512342685631016,0.8798095218090874,0.10044168405234527,10.0,6.0,480.0,25.80378503492724,0.0028498375896989607,0.7108569069989644,COMPLETE
63,2406.0561451190283,2023-01-06 05:16:47.850499,2023-01-06 05:17:11.856069,0 days 00:00:24.005570,0.4211810926946127,0.5408410294288548,8.914608821250821,0.08461212692865672,10.0,6.0,441.0,22.39435071630254,1.0583712345526246,0.6874596495295691,COMPLETE
84,2407.4379721113532,2023-01-06 05:32:29.993854,2023-01-06 05:32:56.131293,0 days 00:00:26.137439,0.4142660960604587,0.5292115045088625,1.140875452539051,0.11177169933697492,10.0,6.0,475.0,24.8019275505996,0.43743402997812597,0.6627484604323871,COMPLETE
