iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
75,2361.9115710935553,2023-01-12 20:51:24.130345,2023-01-12 20:51:56.841563,0 days 00:00:32.711218,0.4862607536296313,0.7363723748184364,0.49442590693207433,0.0835987676334166,10,0,452,3.9629943273186203,1.4120634006921455,0.7178508693009299,COMPLETE
74,2362.0024050990974,2023-01-12 20:50:49.930247,2023-01-12 20:51:17.764276,0 days 00:00:27.834029,0.48484124847030047,0.6689197985298052,0.493034450985561,0.09696143878259195,10,0,453,5.1198763085863135,1.4006802467885575,0.7173585877589694,COMPLETE
63,2365.096045649253,2023-01-12 20:45:18.172823,2023-01-12 20:45:46.152056,0 days 00:00:27.979233,0.4321507718267778,0.5489945615341307,0.4770790726958912,0.11159100828111054,10,0,496,5.116001616537559,1.3334217769726247,0.6985450936635034,COMPLETE
91,2365.688535131327,2023-01-12 20:58:58.513411,2023-01-12 20:59:23.624693,0 days 00:00:25.111282,0.4815308650533148,0.737756063271819,0.7133333966420491,0.1159478470669604,10,9,487,6.760301753633689,1.406388380301149,0.7355335958655911,COMPLETE
73,2365.839995165555,2023-01-12 20:50:13.409687,2023-01-12 20:50:41.196954,0 days 00:00:27.787267,0.34328705872085724,0.6700750693104911,0.7726399229557326,0.09497603462616842,10,0,484,10.198119324456519,1.5284415691093611,0.7146942764699161,COMPLETE
93,2367.400824475885,2023-01-12 20:59:59.954997,2023-01-12 21:00:26.219998,0 days 00:00:26.265001,0.4739217393384476,0.8009172632294579,0.8063767298465835,0.09915452847271694,10,10,489,6.534602288847385,1.0457422704884156,0.7497901850040524,COMPLETE
38,2368.0389319619103,2023-01-12 20:32:36.036127,2023-01-12 20:33:01.966947,0 days 00:00:25.930820,0.4773448494261852,0.5880210600618807,0.12212289201416743,0.06279515165568733,10,1,470,4.606660730722167,1.6288613769784805,0.7494383907582934,COMPLETE
92,2368.3920104317103,2023-01-12 20:59:30.249352,2023-01-12 20:59:54.912613,0 days 00:00:24.663261,0.4917790455772521,0.7475031554620595,0.8171519590992348,0.09924575118747594,10,10,490,6.3582335666687655,1.232176750440929,0.7492290632784775,COMPLETE
47,2368.4450401760605,2023-01-12 20:36:58.312520,2023-01-12 20:37:24.418827,0 days 00:00:26.106307,0.46101613242097494,0.527571255803281,0.12672114781834545,0.09047150202771709,10,0,458,0.3957099826166566,1.8520229374159345,0.7496643404288463,COMPLETE
77,2369.042678156389,2023-01-12 20:52:30.982554,2023-01-12 20:52:55.562264,0 days 00:00:24.579710,0.4846859465496626,0.7294385182117533,0.439557267238627,0.11419930113461636,10,9,484,7.3542689597832975,1.3949184540205621,0.736923991300315,COMPLETE
