iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
95,2314.8922322926983,2023-02-05 01:15:34.960596,2023-02-05 01:17:08.418011,0 days 00:01:33.457415,0.5963437225938975,0.5397632869597988,3.488145012208428e-05,0.0400324206156328,13,7,923,0.01081720903887184,3.1069275339931064e-06,0.7751847708310758,COMPLETE
74,2316.677440575885,2023-02-05 00:43:07.623283,2023-02-05 00:44:36.671385,0 days 00:01:29.048102,0.5701877320954128,0.5285604342327659,2.7300718919486804e-05,0.04040713551523225,13,7,922,0.009581778814781033,2.500922751616049e-06,0.7847357143449117,COMPLETE
51,2317.228349294467,2023-02-05 00:05:31.886640,2023-02-05 00:07:05.767573,0 days 00:01:33.880933,0.5884084113999429,0.5325239205862726,3.341756418975946e-05,0.0400154608706013,13,7,963,0.011929877231227393,2.3331049744910815e-06,0.7706765145641915,COMPLETE
42,2317.9507214096743,2023-02-04 23:51:41.868648,2023-02-04 23:52:42.964824,0 days 00:01:01.096176,0.5831959490203653,0.529010793966834,3.3580224569342126e-05,0.04480263343511368,12,7,861,0.0110103914643867,3.2679454813474222e-06,0.784158482409796,COMPLETE
76,2318.684305011451,2023-02-05 00:47:00.148015,2023-02-05 00:48:27.745946,0 days 00:01:27.597931,0.5717055150121325,0.534369129012747,3.0127739792078937e-05,0.04012781219059057,13,7,894,0.007107655333497964,2.8212581784497814e-06,0.7728854616100185,COMPLETE
48,2318.7035535899745,2023-02-04 23:59:49.435656,2023-02-05 00:01:22.694036,0 days 00:01:33.258380,0.5911412791123165,0.5306676312407643,2.8942704401697956e-05,0.04015374851950516,13,7,960,0.010831969011588548,2.1537799372550586e-06,0.7883780928559407,COMPLETE
64,2318.7056052767916,2023-02-05 00:26:01.163117,2023-02-05 00:27:08.707154,0 days 00:01:07.544037,0.5499856165390115,0.5173797862617091,3.3084465278711776e-05,0.043295463592431416,12,7,977,0.009538368171640684,2.5695115731091373e-06,0.7923433056395834,COMPLETE
97,2319.112321198663,2023-02-05 01:18:12.933592,2023-02-05 01:19:42.588481,0 days 00:01:29.654889,0.5903675698321048,0.5477384038090254,3.055810712946388e-05,0.04133499215636136,13,7,903,0.010034384824781662,3.1205980332063395e-06,0.7545116317972349,COMPLETE
72,2319.3724275957125,2023-02-05 00:39:53.019461,2023-02-05 00:41:26.452621,0 days 00:01:33.433160,0.5613613647259297,0.5274107967451728,3.437049250727154e-05,0.04331291988116255,13,7,968,0.01133345750222577,2.6077361088797917e-06,0.7940156152939147,COMPLETE
63,2319.3886894160923,2023-02-05 00:24:50.639635,2023-02-05 00:25:56.372421,0 days 00:01:05.732786,0.5702809653573039,0.5264989326283791,3.6256837296526024e-05,0.04275490494623165,12,7,944,0.011316957633993135,2.4599223548611127e-06,0.7748042650779617,COMPLETE
98,2319.8421521220916,2023-02-05 01:19:47.141454,2023-02-05 01:21:09.671743,0 days 00:01:22.530289,0.5902195242883147,0.5549945592960743,2.98147366999703e-05,0.04029905585675332,13,10,966,0.008173943162790107,3.819246885664339e-06,0.7604063751562222,COMPLETE
90,2319.8465617161996,2023-02-05 01:05:14.817169,2023-02-05 01:07:14.000480,0 days 00:01:59.183311,0.570009605214745,0.5362617964502927,2.7542094485190334e-05,0.04216913786785163,14,7,882,0.010991797049002551,2.945453852668768e-06,0.7790097874531264,COMPLETE
85,2319.8866509518557,2023-02-05 00:57:57.339586,2023-02-05 00:59:25.565415,0 days 00:01:28.225829,0.5503187070742929,0.5105270043884481,3.317056090473998e-05,0.04215951088574167,13,7,927,0.011449244596576875,1.808950627427628e-06,0.7805417988783337,COMPLETE
65,2320.0863429625533,2023-02-05 00:27:13.690441,2023-02-05 00:28:47.609843,0 days 00:01:33.919402,0.5474519605437694,0.5005962256591894,3.637799515196268e-05,0.043681966227702124,13,7,983,0.009172625367131218,2.598181006773572e-06,0.7924290290624177,COMPLETE
94,2320.349683511336,2023-02-05 01:14:23.823764,2023-02-05 01:15:30.779347,0 days 00:01:06.955583,0.5850876437176817,0.5341297025414237,3.1465143555433726e-05,0.04469867832906958,12,7,935,0.011057770108005712,2.0479255363230755e-06,0.7882029509480153,COMPLETE
86,2320.366489858106,2023-02-05 00:59:34.022870,2023-02-05 01:00:35.010161,0 days 00:01:00.987291,0.5811815482337608,0.5241317847907475,3.100202023937938e-05,0.040029153163732324,12,7,868,0.01172461744974955,1.8631933938543304e-06,0.7741211217262935,COMPLETE
47,2320.5253682182697,2023-02-04 23:58:04.043774,2023-02-04 23:59:40.614223,0 days 00:01:36.570449,0.5873695852929784,0.5265732509283917,3.9956337432721266e-05,0.040999673709094187,13,7,959,0.012220846214901836,2.0880364110569988e-06,0.7873634082603188,COMPLETE
83,2320.6482591574195,2023-02-05 00:55:36.292320,2023-02-05 00:56:37.993594,0 days 00:01:01.701274,0.545334929374219,0.5269854948406688,2.9440774231366172e-05,0.04805103047968562,13,7,614,0.00980796190264792,2.263417329128939e-06,0.7838044754210713,COMPLETE
91,2320.697024479805,2023-02-05 01:07:18.054472,2023-02-05 01:09:21.224153,0 days 00:02:03.169681,0.5705591977623847,0.538293718482581,2.9292266067092796e-05,0.04192173144800614,14,7,913,0.010702753310116763,3.2073552968727913e-06,0.7806746364297691,COMPLETE
71,2321.0187158226286,2023-02-05 00:38:39.539432,2023-02-05 00:39:46.696242,0 days 00:01:07.156810,0.5577534697207149,0.5273316526803699,3.688440476360582e-05,0.04706621611186546,12,7,969,0.010375287678819109,2.5977687762550503e-06,0.7997073882367584,COMPLETE
24,2321.304595916228,2023-02-04 23:31:46.682135,2023-02-04 23:32:44.818858,0 days 00:00:58.136723,0.5532054358702369,0.5366345448898798,3.6312336225668706e-05,0.04785284174803143,12,7,822,0.010774201859199833,3.040351532935351e-06,0.79750003054478,COMPLETE
34,2321.366893901573,2023-02-04 23:41:34.911323,2023-02-04 23:42:37.971097,0 days 00:01:03.059774,0.5828523203471032,0.5212421883118943,3.224886528372997e-05,0.049200839305570884,12,8,934,0.011345101703924377,3.163427623046972e-06,0.7786886749778258,COMPLETE
84,2321.3899326885225,2023-02-05 00:56:45.030634,2023-02-05 00:57:53.280277,0 days 00:01:08.249643,0.593971016159316,0.5326173983237247,2.4145973312557185e-05,0.04494779898622614,12,7,969,0.006445528625475076,2.737802317645571e-06,0.7947369565065352,COMPLETE
31,2321.484884726773,2023-02-04 23:38:25.198678,2023-02-04 23:39:24.015595,0 days 00:00:58.816917,0.5745747514209693,0.5244678254496216,3.8021734617448043e-05,0.04037839697392472,12,7,844,0.012341689740084637,3.4944009834983622e-06,0.7789904619674025,COMPLETE
41,2321.5632318784697,2023-02-04 23:50:37.763005,2023-02-04 23:51:37.345125,0 days 00:00:59.582120,0.574369361404566,0.52275533710663,3.856850605104802e-05,0.04506433117804341,12,7,852,0.01243861458815939,3.4143061181182467e-06,0.7822885927353224,COMPLETE
32,2321.5688527201637,2023-02-04 23:39:28.833856,2023-02-04 23:40:28.302685,0 days 00:00:59.468829,0.5815034312752732,0.5212746887657884,3.7527846562013885e-05,0.041537244819946216,12,8,832,0.011687170337640168,3.2280689363722384e-06,0.7774012220719028,COMPLETE
99,2321.6269341282714,2023-02-05 01:21:14.440180,2023-02-05 01:22:45.058026,0 days 00:01:30.617846,0.5983322395818317,0.5478846259184134,3.708311135872761e-05,0.04588298775758843,13,8,953,0.00960320946791482,3.1273076334832443e-06,0.7960682923743878,COMPLETE
73,2321.8509085247833,2023-02-05 00:41:31.300855,2023-02-05 00:43:02.185146,0 days 00:01:30.884291,0.559756261992718,0.5160193386141468,3.3888636415447866e-05,0.04320603155121309,13,7,949,0.011184835491953371,1.9982266570353164e-06,0.7861927461778853,COMPLETE
53,2321.8893205122486,2023-02-05 00:09:24.373539,2023-02-05 00:10:53.942806,0 days 00:01:29.569267,0.5882326939812585,0.5439940503315713,2.9702719212111397e-05,0.044127986507554486,13,7,909,0.013349071130259639,2.5397648041894995e-06,0.7899317837151753,COMPLETE
30,2322.173272123809,2023-02-04 23:37:19.581695,2023-02-04 23:38:19.453737,0 days 00:00:59.872042,0.5720961264622594,0.5214355617694683,3.787874009381652e-05,0.04727599116731096,12,7,839,0.012655391343047467,3.5319060867662614e-06,0.7796516118343864,COMPLETE
33,2322.3130303269395,2023-02-04 23:40:33.735865,2023-02-04 23:41:30.825189,0 days 00:00:57.089324,0.5847220104698668,0.5221898544339459,4.5299668699006217e-05,0.042103228380334055,12,8,844,0.014080916255282495,1.7998932718263295e-06,0.7786051842051879,COMPLETE
25,2322.5869158773735,2023-02-04 23:32:48.856446,2023-02-04 23:33:50.280618,0 days 00:01:01.424172,0.5569817786377242,0.5081140058852209,3.803433575748412e-05,0.04565303784140023,12,7,752,0.011859910794763315,3.9348761749683005e-06,0.7972945149183946,COMPLETE
79,2323.0961027890826,2023-02-05 00:50:40.401496,2023-02-05 00:51:41.543909,0 days 00:01:01.142413,0.56963559927018,0.5422500027801821,2.6946790590986546e-05,0.04635804981457434,12,8,913,0.011337069508166476,1.6573062459416883e-06,0.7706536699414074,COMPLETE
89,2323.1413574388885,2023-02-05 01:03:28.472667,2023-02-05 01:05:09.785415,0 days 00:01:41.312748,0.5773524692020515,0.5457233833892549,3.8354423449441275e-05,0.04564925975093449,13,7,952,0.012142923505981592,1.8268861982075552e-06,0.7881499866990106,COMPLETE
56,2323.392129168343,2023-02-05 00:14:14.339687,2023-02-05 00:15:26.479448,0 days 00:01:12.139761,0.5865714200054865,0.5152524731422233,3.507214649339212e-05,0.04323389623635103,13,11,905,0.007772479359593842,2.0497838822231026e-06,0.758758285248449,COMPLETE
