iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
76,2396.7344605272065,2023-02-04 22:44:53.416663,2023-02-04 22:45:26.460921,0 days 00:00:33.044258,0.47908082378944006,0.9714917730582117,1.8054261248568921,0.07614833014231757,10,5,466,9.266885792136689,1.5109603313215947,0.6474296934483893,COMPLETE
93,2399.7125287206,2023-02-04 22:53:45.403132,2023-02-04 22:54:15.468618,0 days 00:00:30.065486,0.4719929663710183,0.9857035571846431,1.5758880976725722,0.07442362810676062,10,5,494,11.450483005529762,1.2812446130476411,0.6746446405431638,COMPLETE
75,2399.8173480813466,2023-02-04 22:44:25.065653,2023-02-04 22:44:49.759755,0 days 00:00:24.694102,0.47186152282200955,0.9694634050837502,1.7388442518775846,0.07217223222019939,10,5,468,9.902996496331381,1.4675833160828078,0.6589962250264226,COMPLETE
66,2400.192298757678,2023-02-04 22:39:58.564048,2023-02-04 22:40:23.020327,0 days 00:00:24.456279,0.48355208852249937,0.9283915693843348,0.8733274306385361,0.08740316902990908,10,7,485,12.28305395666674,1.507374150735222,0.7027550354876272,COMPLETE
92,2400.4334204369384,2023-02-04 22:53:16.245371,2023-02-04 22:53:41.605553,0 days 00:00:25.360182,0.47635152257156,0.9617383527677035,1.8640315359177657,0.078262698079548,10,5,492,11.323773673117529,1.4687893649781465,0.6837208574482003,COMPLETE
69,2401.1721615433485,2023-02-04 22:41:26.408876,2023-02-04 22:41:51.309945,0 days 00:00:24.901069,0.48476151121419625,0.931073603996405,1.3288437073471044,0.08425250763323117,10,7,499,11.2036292613916,1.5113778447033568,0.6701494565262771,COMPLETE
65,2401.2382145990982,2023-02-04 22:39:29.722949,2023-02-04 22:39:54.094937,0 days 00:00:24.371988,0.4876654232295465,0.9368122047719398,0.7815742476758276,0.0854677041016631,10,7,486,12.760139471436027,1.4321329355012429,0.6907274203667441,COMPLETE
79,2401.8012477250877,2023-02-04 22:46:38.113853,2023-02-04 22:47:03.919703,0 days 00:00:25.805850,0.49932898888585486,0.9788545248830548,1.9175482851998733,0.07777766002346079,10,5,470,8.923044770454485,1.7024437052960368,0.6608998974331357,COMPLETE
81,2402.2166886145014,2023-02-04 22:47:47.447672,2023-02-04 22:48:11.676144,0 days 00:00:24.228472,0.47528811628561163,0.9843425446719252,1.9358619459783657,0.08189578247154745,10,5,447,7.408045892364628,1.6470545743317049,0.6859806745009788,COMPLETE
77,2403.2074469991526,2023-02-04 22:45:29.936058,2023-02-04 22:45:59.949478,0 days 00:00:30.013420,0.47235284734004424,0.9798366344257817,1.8674792845755048,0.08025558676138085,10,5,467,8.98664186302459,1.4483505431590493,0.6099054465269179,COMPLETE
89,2403.2881297719973,2023-02-04 22:51:46.373822,2023-02-04 22:52:10.964634,0 days 00:00:24.590812,0.4393220744985349,0.9673029782194889,1.9723404547540793,0.07572559915333023,10,6,492,5.515326222639193,1.3978886575569875,0.6662567736099801,COMPLETE
73,2403.293089535887,2023-02-04 22:43:26.874940,2023-02-04 22:43:54.881099,0 days 00:00:28.006159,0.4999113621911018,0.8961714585224161,1.8782867005442023,0.07878419101807968,10,6,466,10.25453485862019,1.5081565529198973,0.6491319759472927,COMPLETE
87,2404.3502023469305,2023-02-04 22:50:50.017797,2023-02-04 22:51:15.148498,0 days 00:00:25.130701,0.49976115232049184,0.9596269005458522,1.9753494568530807,0.08497896831306734,10,4,455,9.207757111550695,1.7548168317125323,0.6819882137141601,COMPLETE
62,2404.3838640261533,2023-02-04 22:38:05.782399,2023-02-04 22:38:30.065627,0 days 00:00:24.283228,0.4657785134839404,0.8848599297455235,0.3171732479565984,0.11912158979051679,10,7,480,13.664687637420629,1.080226740571844,0.7456669515793586,COMPLETE
71,2404.5181405575227,2023-02-04 22:42:28.931776,2023-02-04 22:42:54.663078,0 days 00:00:25.731302,0.483469321947425,0.9536421993858997,1.3079668409396341,0.06897576178098958,10,6,500,10.340051269239094,1.4795603001555302,0.6489136405667224,COMPLETE
84,2404.7820940306065,2023-02-04 22:49:12.032751,2023-02-04 22:49:44.270261,0 days 00:00:32.237510,0.4562030153708061,0.9650747946169953,1.6582938642230913,0.09366595659395649,10,5,490,6.423463160325929,1.8099582099361073,0.6250531142545743,COMPLETE
70,2405.217834435404,2023-02-04 22:41:54.892255,2023-02-04 22:42:25.650880,0 days 00:00:30.758625,0.4821645645347964,0.9391319571073412,1.2928217987589858,0.07381158771309974,10,6,498,10.392286309029483,1.5198141639707083,0.6367890460558978,COMPLETE
83,2405.5153354301156,2023-02-04 22:48:42.332975,2023-02-04 22:49:08.605713,0 days 00:00:26.272738,0.4767393877212987,0.999021099866994,2.2325290843392063,0.04986607324253055,10,5,472,11.496450955421588,1.5403559996789207,0.6880398882363391,COMPLETE
63,2405.5336276692774,2023-02-04 22:38:33.066536,2023-02-04 22:38:58.060628,0 days 00:00:24.994092,0.4649490962818657,0.919421423543668,0.2566596607362485,0.1193756523278641,10,7,483,13.042329692653931,1.3341938603749324,0.699252536796657,COMPLETE
97,2405.8349089062463,2023-02-04 22:55:55.202338,2023-02-04 22:56:20.363297,0 days 00:00:25.160959,0.45356328674791874,0.9822153576327849,1.75097502871092,0.07175629146643812,10,4,472,9.03857931649612,1.8808115268062715,0.6571694840695648,COMPLETE
95,2405.9444213174224,2023-02-04 22:54:49.820751,2023-02-04 22:55:19.585073,0 days 00:00:29.764322,0.48753682422860306,0.9577737592322902,2.420042719487678,0.0977038990624607,10,5,492,11.960256707345433,1.741165723053819,0.6818260376766186,COMPLETE
67,2406.6676518409217,2023-02-04 22:40:26.816508,2023-02-04 22:40:51.885378,0 days 00:00:25.068870,0.49851317809682566,0.9310958242695384,1.3283532677055865,0.08945677666628052,10,7,486,12.557882647009736,1.5117084570511259,0.6719056407650087,COMPLETE
88,2406.774966856267,2023-02-04 22:51:18.220359,2023-02-04 22:51:43.195980,0 days 00:00:24.975621,0.4551844634266664,0.9881131085344281,1.6145779531769393,0.06599144636701867,10,4,478,8.043544592708473,1.623782219818215,0.6433545873661114,COMPLETE
85,2407.0635826637813,2023-02-04 22:49:48.209988,2023-02-04 22:50:19.360219,0 days 00:00:31.150231,0.4885868075061609,0.98486318175712,2.3511704981809434,0.07881718909195169,10,5,466,7.586148287514784,1.5962494845835882,0.6100419206725325,COMPLETE
82,2407.3586374880183,2023-02-04 22:48:14.752371,2023-02-04 22:48:38.873129,0 days 00:00:24.120758,0.48674966752769505,0.9790567111930865,1.9474477938767492,0.07804832634147299,10,5,447,7.267288865504891,1.6821014855537906,0.6477609764165903,COMPLETE
61,2407.4321597953763,2023-02-04 22:37:38.654581,2023-02-04 22:38:01.751735,0 days 00:00:23.097154,0.4645407159994158,0.8685520296280594,0.4405100714774236,0.11480201810490143,10,7,439,13.44659910925964,1.0885154922205962,0.7490416413646516,COMPLETE
78,2407.8938336405704,2023-02-04 22:46:03.458776,2023-02-04 22:46:34.786076,0 days 00:00:31.327300,0.4705417674577982,0.976336725950045,2.7155915528732084,0.08265661561357139,10,6,461,8.730726029582467,1.4143887184206805,0.6010349878774784,COMPLETE
68,2408.162546826524,2023-02-04 22:40:55.594190,2023-02-04 22:41:19.914249,0 days 00:00:24.320059,0.48992452569986406,0.9281926422309362,1.5983881558426762,0.08581511780224826,10,7,485,11.982554538730193,1.3908152566080094,0.6727703038531868,COMPLETE
72,2408.2012810697174,2023-02-04 22:42:57.792924,2023-02-04 22:43:23.071761,0 days 00:00:25.278837,0.4857726833166977,0.9501896242313674,1.359879560653252,0.07080812535322097,10,5,499,10.446886290329154,1.5441525106473875,0.635942213596915,COMPLETE
64,2408.2325050625745,2023-02-04 22:39:01.229995,2023-02-04 22:39:26.253820,0 days 00:00:25.023825,0.4967361377151914,0.9257408603071166,0.9476935032255582,0.10175890426866906,10,7,483,13.185855091537146,1.3286675379832802,0.7028848806025754,COMPLETE
91,2408.8535405524226,2023-02-04 22:52:47.824049,2023-02-04 22:53:11.848725,0 days 00:00:24.024676,0.4356506151644421,0.9423439793259579,1.918464274876151,0.09215076008586097,10,6,475,9.568503601121684,1.567176320446918,0.6287769016285292,COMPLETE
86,2409.245653160456,2023-02-04 22:50:22.839109,2023-02-04 22:50:46.604467,0 days 00:00:23.765358,0.47252370742393685,0.9450341258253077,2.6213217922312912,0.0640085578413101,10,5,445,8.390983644783399,1.4530997724416481,0.6580674864046038,COMPLETE
80,2409.5734403836236,2023-02-04 22:47:07.428292,2023-02-04 22:47:43.969924,0 days 00:00:36.541632,0.4983573327209538,0.9721878814971727,1.7804023946143885,0.06060651185689668,10,5,467,9.407080304882408,1.6937485960052048,0.6639929014366887,COMPLETE
59,2410.6335739806796,2023-02-04 22:36:50.028983,2023-02-04 22:37:17.666215,0 days 00:00:27.637232,0.4489635260803627,0.8746559996206147,0.2824902894569438,0.13035207669023754,10,7,483,13.720780010433378,1.1958805927919354,0.747364942298369,COMPLETE
96,2413.622646117582,2023-02-04 22:55:23.100778,2023-02-04 22:55:43.450977,0 days 00:00:20.350199,0.46922898672125807,0.9987020479452112,2.9021443270007845,0.08857950499145961,9,4,455,9.809095615699157,1.2913370667296915,0.696914351786136,COMPLETE
