iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
234,2456.666,2023-02-10 04:58:26.398206,2023-02-10 04:58:57.295555,0 days 00:00:30.897349,0.485439679042759,0.926355937094923,0.30175043967979875,0.17233491573412527,10,0,345,25.23640758750651,0.5173552296166154,0.7497330112517567,COMPLETE
185,2456.7924,2023-02-10 04:33:41.279982,2023-02-10 04:34:06.608797,0 days 00:00:25.328815,0.48761784131357955,0.9072686373883346,0.28739061762124624,0.15946916112745346,10,0,374,24.169428805800223,0.6969459981984287,0.7489354039485634,COMPLETE
180,2456.9555,2023-02-10 04:31:15.068480,2023-02-10 04:31:40.256291,0 days 00:00:25.187811,0.48418314290278885,0.9288135893410211,0.3366979754879365,0.1777253031705066,10,0,352,23.690968455496233,0.5352320915194886,0.7393412804736134,COMPLETE
196,2457.3894,2023-02-10 04:39:11.512713,2023-02-10 04:39:48.484443,0 days 00:00:36.971730,0.470726320889541,0.9296984316873794,0.27119984082047655,0.16608101156073557,10,0,347,25.727624716621538,0.7810509438956428,0.7290328342738486,COMPLETE
254,2457.6201,2023-02-10 05:08:36.362533,2023-02-10 05:09:01.380482,0 days 00:00:25.017949,0.4858369497643964,0.9376652450119185,0.27680746182733573,0.16043025172459804,10,0,333,24.42821974009908,0.6425656534001569,0.7498112048143957,COMPLETE
183,2458.0255,2023-02-10 04:32:43.177622,2023-02-10 04:33:08.368452,0 days 00:00:25.190830,0.48286614974604375,0.9259256534367536,0.29071214550956437,0.16648587922924762,10,0,353,22.904686610391387,0.6773265008208434,0.7414504413757501,COMPLETE
156,2458.2154,2023-02-10 04:18:44.897437,2023-02-10 04:19:09.751790,0 days 00:00:24.854353,0.453930091902882,0.9178670003366001,0.35296472949184865,0.17540427558021363,10,0,326,23.013551871713354,0.4288249658414471,0.721519470915604,COMPLETE
266,2458.3361,2023-02-10 05:14:49.740517,2023-02-10 05:15:15.897757,0 days 00:00:26.157240,0.47935850132991115,0.9684030558444997,0.26654095130573047,0.15756789622329895,10,0,305,9.803408654608884,0.6337666018251081,0.7285871537964357,COMPLETE
200,2458.4088,2023-02-10 04:41:25.148191,2023-02-10 04:41:50.006125,0 days 00:00:24.857934,0.4738595920162418,0.9303501995936437,0.26976824281070133,0.16916781835260902,10,1,401,25.133005257744404,0.8244650117337657,0.7291923476401122,COMPLETE
184,2458.4572,2023-02-10 04:33:12.333732,2023-02-10 04:33:37.335174,0 days 00:00:25.001442,0.4828764910636243,0.9087402574214016,0.2912542322473633,0.16600612543062931,10,0,350,24.119617463367153,0.531738907352489,0.7429976058728727,COMPLETE
