iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
231,2453.1461425999996,2023-02-10 20:12:47.149238,2023-02-10 20:13:24.678737,0 days 00:00:37.529499,0.4774853414619115,0.8578864784785124,0.44218265961118336,0.17001635038216067,10.0,2.0,384.0,10.907468234223764,1.578423064198563,0.7268154302613179,COMPLETE
226,2454.1891112,2023-02-10 20:09:17.917936,2023-02-10 20:09:54.150167,0 days 00:00:36.232231,0.4907770211317141,0.8580266688047984,0.4835409870235442,0.18024058824993422,10.0,2.0,381.0,12.901169867122723,1.8147262575716303,0.7250498671762551,COMPLETE
234,2455.0176268,2023-02-10 20:14:49.858644,2023-02-10 20:15:25.082740,0 days 00:00:35.224096,0.47472251853715525,0.8664553391785331,0.42851858471527826,0.16941300474700302,10.0,2.0,387.0,10.792684813950206,1.594497920656852,0.7292548453982363,COMPLETE
233,2457.3504882,2023-02-10 20:14:09.735434,2023-02-10 20:14:45.651897,0 days 00:00:35.916463,0.47238344892488876,0.8638754220853944,0.42614727941903363,0.16682281051327386,10.0,2.0,385.0,11.112847532898481,1.6103857997379065,0.7277014813848559,COMPLETE
240,2457.4066405999997,2023-02-10 20:18:52.174506,2023-02-10 20:19:28.024612,0 days 00:00:35.850106,0.4805438871028269,0.8644741341437535,0.4450336406290611,0.16852262725801923,10.0,2.0,384.0,11.101616211589754,1.484471813875057,0.7270812801735617,COMPLETE
218,2457.4839354000005,2023-02-10 20:03:55.175568,2023-02-10 20:04:30.863388,0 days 00:00:35.687820,0.48207599410938656,0.8558061750327938,0.4863579347619568,0.1703234298075011,10.0,2.0,384.0,11.158274476995105,1.7526126163872204,0.729097369222144,COMPLETE
247,2457.7316406,2023-02-10 20:23:28.355758,2023-02-10 20:24:04.463788,0 days 00:00:36.108030,0.4900025789114507,0.8730346230816538,0.4411809963230781,0.18262783823138112,10.0,2.0,408.0,11.361700314454751,1.6460168950027272,0.7383471125159722,COMPLETE
203,2457.8814939999997,2023-02-10 19:53:57.262082,2023-02-10 19:54:33.435101,0 days 00:00:36.173019,0.4995619580443738,0.8501330650419638,0.5062531629674868,0.17692497213787825,10.0,2.0,398.0,11.71014446079275,1.8877689818554273,0.6971968118040522,COMPLETE
300,2458.0586426,2023-02-10 21:03:29.453611,2023-02-10 21:04:01.846494,0 days 00:00:32.392883,0.4833551003038456,0.8932346147141569,0.440990796330715,0.17935819456936594,10.0,3.0,396.0,10.612104134714007,1.4938822287421825,0.7214257307586103,COMPLETE
282,2458.1492678000004,2023-02-10 20:52:33.272065,2023-02-10 20:53:06.004667,0 days 00:00:32.732602,0.4896122008677008,0.8916966347010968,0.4270224852631157,0.15713926546038665,10.0,2.0,378.0,10.439163416787203,1.6194753101946695,0.7235923555808884,COMPLETE
