iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
200,2456.9982,2023-02-10 16:47:58.922703,2023-02-10 16:48:31.528023,0 days 00:00:32.605320,0.4670363375159522,0.7797156907389489,0.4792185319793162,0.15273448275072268,10,5,147,17.1762174290466,0.14179319728983975,0.7499854090837783,COMPLETE
262,2457.93,2023-02-10 17:27:12.414347,2023-02-10 17:27:45.051008,0 days 00:00:32.636661,0.460093297909223,0.7833171755282285,0.4713238271050393,0.16526903201594081,10,5,146,8.067262861496127,0.14583458979556738,0.7495833815967944,COMPLETE
261,2458.2026,2023-02-10 17:26:32.212664,2023-02-10 17:27:07.582152,0 days 00:00:35.369488,0.46343871731476255,0.7783513915190629,0.45876385489099214,0.16628007002182332,10,5,139,7.761907433997098,0.12571730227235495,0.7497993836295261,COMPLETE
193,2458.3192,2023-02-10 16:43:30.969104,2023-02-10 16:44:04.581751,0 days 00:00:33.612647,0.47562736897208613,0.777198307802803,0.4884271135289035,0.1834095358904898,10,5,140,10.985641090940923,0.09312534968351384,0.7375320809712356,COMPLETE
184,2458.3636,2023-02-10 16:37:50.842257,2023-02-10 16:38:24.931311,0 days 00:00:34.089054,0.47235430935228634,0.784502012984728,0.4440854320968327,0.17304476408371414,10,5,107,3.4941860085973997,0.1481038590278834,0.743713617703217,COMPLETE
292,2458.8619,2023-02-10 17:45:40.291634,2023-02-10 17:46:13.314071,0 days 00:00:33.022437,0.4789795127928888,0.7852074788501978,0.07706006875918459,0.17787065121578224,10,6,153,11.792855282667237,0.2581262124649563,0.740161155242466,COMPLETE
270,2459.0433,2023-02-10 17:32:07.277708,2023-02-10 17:32:50.801932,0 days 00:00:43.524224,0.4636216889706029,0.790382280719889,0.04553197872253317,0.17192775774724803,10,0,133,7.9684551886228325,0.12052751270004466,0.7422001050205171,COMPLETE
191,2459.0555,2023-02-10 16:42:17.226116,2023-02-10 16:42:50.197749,0 days 00:00:32.971633,0.48587440840200674,0.7888443921425119,0.47582665724038037,0.18458922847734466,10,5,137,16.053080624225352,0.06739843095239911,0.7323196111251623,COMPLETE
201,2459.2162,2023-02-10 16:48:36.379487,2023-02-10 16:49:10.056633,0 days 00:00:33.677146,0.4663512398224073,0.7775167230049588,0.4761843959060338,0.15650149829856935,10,5,147,16.810994170877095,0.13925352595471735,0.7414774757750495,COMPLETE
269,2459.4891,2023-02-10 17:31:30.076886,2023-02-10 17:32:03.309329,0 days 00:00:33.232443,0.4650906095861442,0.7748113368518086,0.10672953674037855,0.17055061725127318,10,5,133,7.246447233437915,0.11963235827669459,0.7408504203115689,COMPLETE
253,2460.2941,2023-02-10 17:21:06.804764,2023-02-10 17:21:40.361920,0 days 00:00:33.557156,0.46047391386554487,0.7708248939069796,0.5235905613980261,0.17007390947251974,10,5,135,8.191711045897264,0.014313777689285045,0.7489025373236773,COMPLETE
208,2460.3468,2023-02-10 16:52:53.386703,2023-02-10 16:53:28.102009,0 days 00:00:34.715306,0.4594391937245222,0.7819610583494915,0.5007972540952834,0.15360130430502292,10,5,159,18.581485537484532,0.26796339564156385,0.749770919369227,COMPLETE
181,2460.4448,2023-02-10 16:35:51.116415,2023-02-10 16:36:26.384141,0 days 00:00:35.267726,0.48775288521281435,0.5735939177925551,0.4536614952073303,0.1810439591998896,10,5,109,2.3545552757691537,0.06550468480318745,0.7321672366776615,COMPLETE
254,2460.5395,2023-02-10 17:21:45.168201,2023-02-10 17:22:24.725697,0 days 00:00:39.557496,0.45842843759600366,0.7737363506794519,0.5293293180202883,0.1684977264200277,10,5,137,10.155635293207785,0.16471773900816078,0.7484448124856543,COMPLETE
205,2460.6803,2023-02-10 16:50:59.346586,2023-02-10 16:51:33.411067,0 days 00:00:34.064481,0.46675080203249564,0.7556402590417907,0.47631250963111943,0.15825459637739067,10,5,136,16.622453440588473,0.2956196467591015,0.748575484241848,COMPLETE
248,2460.7076,2023-02-10 17:18:08.769689,2023-02-10 17:18:42.923766,0 days 00:00:34.154077,0.4582892481095872,0.7813482543978618,0.45880064011886434,0.13824528640521574,10,5,142,16.315630197484133,0.052349727711931415,0.7281622865224493,COMPLETE
243,2460.8428,2023-02-10 17:14:53.062122,2023-02-10 17:15:34.502851,0 days 00:00:41.440729,0.46196203451147977,0.8031173415228389,0.4713201707995602,0.15588385078586994,10,5,149,15.712082765889981,0.19721078358269684,0.7491255385160411,COMPLETE
275,2460.9661,2023-02-10 17:35:25.198266,2023-02-10 17:35:58.658217,0 days 00:00:33.459951,0.47722002155421367,0.7935959579776717,0.02475145636660278,0.16395690198375226,10,5,123,8.35926647893389,0.12690029951055629,0.7386795218833989,COMPLETE
210,2460.9784,2023-02-10 16:54:10.920848,2023-02-10 16:54:46.659892,0 days 00:00:35.739044,0.45057959904908484,0.7767623579782762,0.48845726947073875,0.15125331337090778,10,5,167,15.959661796366962,0.26196694515905794,0.7487460402865098,COMPLETE
152,2461.1381,2023-02-10 16:16:59.655362,2023-02-10 16:17:33.672393,0 days 00:00:34.017031,0.49278789123557193,0.5919148238238162,0.4524256510139878,0.18369074932840454,10,5,121,2.295934952509701,0.032701842539986696,0.7322342707170546,COMPLETE
247,2461.1554,2023-02-10 17:17:30.368626,2023-02-10 17:18:04.737900,0 days 00:00:34.369274,0.4581267116765643,0.7821434867377536,0.46188320408019734,0.15596138352341418,10,5,151,15.580154336099001,0.11617740545967514,0.732060060246466,COMPLETE
198,2461.1562,2023-02-10 16:46:39.582818,2023-02-10 16:47:17.450551,0 days 00:00:37.867733,0.4685264471640499,0.7556431809243002,0.5023766823106798,0.17202693065380315,10,5,136,15.92385981013019,0.20912771058943622,0.7425759737257072,COMPLETE
196,2461.1707,2023-02-10 16:45:24.727656,2023-02-10 16:45:57.663390,0 days 00:00:32.935734,0.4725254835481886,0.769364713950112,0.49758342708578596,0.1735826996554521,10,5,141,17.188770350586577,0.21363064607556795,0.7499699643272205,COMPLETE
223,2461.2963,2023-02-10 17:02:24.042600,2023-02-10 17:02:58.108816,0 days 00:00:34.066216,0.44842629853190596,0.7767809496881876,0.48125528782977,0.1470968574155697,10,5,147,17.161562630262786,0.13948415628263894,0.7380762839325892,COMPLETE
192,2461.5328,2023-02-10 16:42:54.612237,2023-02-10 16:43:26.753034,0 days 00:00:32.140797,0.4745816229903538,0.7583758495512757,0.47942077294755736,0.18260212887108057,10,5,137,19.27239075683429,0.07592734561912068,0.732386547819068,COMPLETE
161,2461.5597,2023-02-10 16:22:40.506307,2023-02-10 16:23:13.954946,0 days 00:00:33.448639,0.47891791670153294,0.5726836513741169,0.3911128423383531,0.19336348417038918,10,5,122,2.5953947100632417,0.0958830800064766,0.7254962555439243,COMPLETE
211,2461.593,2023-02-10 16:54:51.045354,2023-02-10 16:55:25.221947,0 days 00:00:34.176593,0.45089892376770285,0.776835466740587,0.49380289306323655,0.15168201325693692,10,5,172,16.11338702775231,0.32155851461508905,0.7483199935549456,COMPLETE
206,2461.8271,2023-02-10 16:51:37.598770,2023-02-10 16:52:11.319710,0 days 00:00:33.720940,0.4665718151941268,0.7576802106249039,0.5065931209900456,0.15706356028231838,10,5,148,16.872187891068705,0.2576301297909171,0.7481408615653004,COMPLETE
272,2461.9239,2023-02-10 17:33:35.290591,2023-02-10 17:34:10.908267,0 days 00:00:35.617676,0.46868939699048034,0.8116033673698508,0.05114420505673351,0.17078626082386206,10,0,131,7.934557191501178,0.05268658021424402,0.7403248743627606,COMPLETE
224,2461.9301,2023-02-10 17:03:02.321430,2023-02-10 17:03:35.206982,0 days 00:00:32.885552,0.4481850707411323,0.7770728747426564,0.502999223987599,0.14806501645231074,10,5,149,17.337992481330783,0.1688936059662994,0.7328656337467597,COMPLETE
174,2462.0671,2023-02-10 16:31:08.980822,2023-02-10 16:31:44.386002,0 days 00:00:35.405180,0.48913058757204453,0.5779840495269706,0.4505761980542036,0.17725402224314138,10,5,113,3.8386110969277834,0.020970861348478295,0.7294500448197848,COMPLETE
183,2462.3737,2023-02-10 16:37:09.546738,2023-02-10 16:37:45.961358,0 days 00:00:36.414620,0.4719303750426519,0.5692430747623948,0.45072099929404075,0.1788570397644211,10,5,108,3.5115927676916456,0.10081810626132935,0.7411826936794053,COMPLETE
215,2462.4162,2023-02-10 16:57:25.190851,2023-02-10 16:57:59.053352,0 days 00:00:33.862501,0.42710507128413355,0.7912052957084451,0.4902992180738026,0.1507602069609536,10,5,136,16.07147805177362,0.08702546523613038,0.7499657778135281,COMPLETE
155,2462.5584,2023-02-10 16:18:55.692350,2023-02-10 16:19:29.617547,0 days 00:00:33.925197,0.4871892085364113,0.5916611133691932,0.44304026686241005,0.18471230022161578,10,5,130,1.8629016908939375,0.008167151044814094,0.7039291927971483,COMPLETE
294,2462.6039,2023-02-10 17:46:56.978551,2023-02-10 17:47:32.033631,0 days 00:00:35.055080,0.42000785134060087,0.7947002500383449,0.22914269272345933,0.1711060273925823,10,2,148,11.081178778064661,0.2121388897357256,0.740372863142807,COMPLETE
218,2462.6422,2023-02-10 16:59:23.492479,2023-02-10 16:59:57.636884,0 days 00:00:34.144405,0.46659196069959397,0.7884990555861797,0.4234609556098735,0.1519333772252174,10,5,151,17.10384782374934,0.23905218630721325,0.7357616609478033,COMPLETE
242,2462.6529,2023-02-10 17:14:15.913091,2023-02-10 17:14:48.252556,0 days 00:00:32.339465,0.4749805701577977,0.798301738567295,0.4757915658807437,0.1620953262294818,10,5,151,15.609874623179213,0.11652201055068775,0.7399255749573336,COMPLETE
195,2462.7752,2023-02-10 16:44:46.315130,2023-02-10 16:45:20.446398,0 days 00:00:34.131268,0.46720678160128853,0.7642489965302597,0.477974783411334,0.1761824488846378,10,5,134,16.904100849207886,0.2158016772057699,0.741533522001769,COMPLETE
279,2462.8814,2023-02-10 17:37:44.338180,2023-02-10 17:38:18.257261,0 days 00:00:33.919081,0.4776411572034068,0.7993017623272862,0.1254008372705194,0.1635275200286466,10,4,141,8.662970094849651,0.12168275773507968,0.7178153945787101,COMPLETE
182,2462.9123,2023-02-10 16:36:30.350709,2023-02-10 16:37:05.447460,0 days 00:00:35.096751,0.474121611320478,0.5668152348584127,0.4425483790326164,0.1810711766558328,10,5,109,3.1367283941207056,0.0939627086161363,0.7400866926674353,COMPLETE
136,2463.0401,2023-02-10 16:06:55.034809,2023-02-10 16:07:27.964642,0 days 00:00:32.929833,0.48231581523758027,0.5843662493931446,0.49392864712664464,0.17493097472848637,10,6,111,2.3421779807334464,0.19571177834910514,0.7190261660469525,COMPLETE
143,2463.2379,2023-02-10 16:11:08.046762,2023-02-10 16:11:43.110507,0 days 00:00:35.063745,0.4799299882602975,0.580141424320667,0.5116285146749481,0.18386833137961392,10,5,133,2.109713622611156,0.18160024354319773,0.7215918020153702,COMPLETE
203,2463.2765,2023-02-10 16:49:57.898900,2023-02-10 16:50:31.317395,0 days 00:00:33.418495,0.46668127897645284,0.751759245728732,0.5083143122525627,0.15754518282099195,10,5,145,17.77271948715955,0.1973327641032378,0.7491617582797677,COMPLETE
