iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
166,2446.0658689999996,2023-02-11 03:52:16.232113,2023-02-11 03:52:44.119030,0 days 00:00:27.886917,0.4675237174537607,0.9884495091527224,0.6574661776539868,0.16012846305371803,10,2,306,15.82032992179983,0.24357110664798282,0.7247573249627748,COMPLETE
244,2447.2447266000004,2023-02-11 04:33:00.654638,2023-02-11 04:33:28.750941,0 days 00:00:28.096303,0.44501538682213787,0.9920535126025188,0.4675781535205459,0.1542519835425697,10,3,287,8.563347844973347,0.12070444427909496,0.7386127395193438,COMPLETE
278,2448.0832517999997,2023-02-11 04:50:40.837332,2023-02-11 04:51:10.890634,0 days 00:00:30.053302,0.49942332207709017,0.999463663821983,0.6306343537101565,0.14854904610765562,10,2,285,6.175333342982789,0.15351953337775684,0.7215645050757226,COMPLETE
173,2448.5206054,2023-02-11 03:56:01.230477,2023-02-11 03:56:28.678709,0 days 00:00:27.448232,0.4724797456588326,0.9881067660215253,0.5104519061590678,0.145736970521626,10,3,290,14.136963042608267,0.1318484594115331,0.749423379589192,COMPLETE
172,2448.6024414,2023-02-11 03:55:28.759010,2023-02-11 03:55:56.082089,0 days 00:00:27.323079,0.48831771829646975,0.9973706780831787,0.6102957032982995,0.14612245287715298,10,3,295,16.01949461365907,0.1712913140982999,0.7388992675614207,COMPLETE
147,2448.7198242,2023-02-11 03:41:43.071146,2023-02-11 03:42:10.869726,0 days 00:00:27.798580,0.4977247703906992,0.939737110333564,0.5503247711349438,0.1435749150052963,10,2,296,13.876263078189181,0.25819347021979583,0.7496651766349599,COMPLETE
232,2448.8141600000004,2023-02-11 04:26:49.177533,2023-02-11 04:27:17.381143,0 days 00:00:28.203610,0.4525175578169633,0.9898279543133888,0.5213479817566077,0.14240530001229537,10,4,302,0.5404590241889551,0.11331601548082444,0.734159627933007,COMPLETE
195,2448.8297366,2023-02-11 04:07:44.346654,2023-02-11 04:08:11.602960,0 days 00:00:27.256306,0.499649960057505,0.9583885125593126,0.48990784020074146,0.15304369253463843,10,3,264,14.543723860417947,0.25686705694890577,0.7497067205724296,COMPLETE
134,2449.1673339999998,2023-02-11 03:35:06.235095,2023-02-11 03:35:33.750853,0 days 00:00:27.515758,0.48930434725648075,0.9462677192701111,0.5374326382043481,0.16226256988651896,10,2,289,12.343853177087903,0.40695082975287433,0.7485987584174125,COMPLETE
122,2449.4182616,2023-02-11 03:28:55.199109,2023-02-11 03:29:22.705739,0 days 00:00:27.506630,0.49829631900205845,0.9319056809155049,0.5763629631161874,0.1671194732957166,10,2,255,14.034380689654713,0.3863555370148471,0.7400266645417743,COMPLETE
120,2449.4523924,2023-02-11 03:27:51.161500,2023-02-11 03:28:18.617792,0 days 00:00:27.456292,0.49541507726654155,0.930534722489981,0.5854658496469209,0.1697209037188824,10,3,258,13.976668233974793,0.14219559028440518,0.7404862470807839,COMPLETE
