iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
200,2312.352385660639,2023-01-29 20:10:36.175346,2023-01-29 20:12:46.949914,0 days 00:02:10.774568,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
134,2312.352385660639,2023-01-29 17:32:04.012859,2023-01-29 17:34:18.729550,0 days 00:02:14.716691,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
90,2312.352385660639,2023-01-29 15:55:16.896551,2023-01-29 15:57:24.469351,0 days 00:02:07.572800,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
89,2312.352385660639,2023-01-29 15:53:05.099804,2023-01-29 15:55:12.634204,0 days 00:02:07.534400,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
88,2312.352385660639,2023-01-29 15:50:49.633273,2023-01-29 15:53:00.869079,0 days 00:02:11.235806,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
87,2312.352385660639,2023-01-29 15:48:35.678074,2023-01-29 15:50:43.602295,0 days 00:02:07.924221,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
86,2312.352385660639,2023-01-29 15:46:19.493069,2023-01-29 15:48:28.627225,0 days 00:02:09.134156,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
85,2312.352385660639,2023-01-29 15:44:06.991146,2023-01-29 15:46:14.789800,0 days 00:02:07.798654,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
84,2312.352385660639,2023-01-29 15:41:51.468826,2023-01-29 15:43:59.004452,0 days 00:02:07.535626,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
83,2312.352385660639,2023-01-29 15:39:37.039380,2023-01-29 15:41:44.790049,0 days 00:02:07.750669,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
82,2312.352385660639,2023-01-29 15:37:25.600667,2023-01-29 15:39:32.877136,0 days 00:02:07.276469,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
81,2312.352385660639,2023-01-29 15:35:12.868543,2023-01-29 15:37:20.944808,0 days 00:02:08.076265,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
135,2312.352385660639,2023-01-29 17:34:23.112215,2023-01-29 17:36:38.316656,0 days 00:02:15.204441,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
79,2312.352385660639,2023-01-29 15:31:05.096605,2023-01-29 15:33:12.751951,0 days 00:02:07.655346,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
78,2312.352385660639,2023-01-29 15:28:42.657380,2023-01-29 15:31:00.178626,0 days 00:02:17.521246,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
77,2312.352385660639,2023-01-29 15:26:30.182501,2023-01-29 15:28:37.792362,0 days 00:02:07.609861,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
76,2312.352385660639,2023-01-29 15:24:17.656501,2023-01-29 15:26:25.182966,0 days 00:02:07.526465,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
