iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
199,2836.6699219999996,2023-03-02 02:24:07.581266,2023-03-02 02:24:21.413371,0 days 00:00:13.832105,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
127,2836.6699219999996,2023-03-02 02:02:13.160332,2023-03-02 02:02:27.007972,0 days 00:00:13.847640,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
128,2836.6699219999996,2023-03-02 02:02:31.541297,2023-03-02 02:02:45.595758,0 days 00:00:14.054461,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
129,2836.6699219999996,2023-03-02 02:02:50.340703,2023-03-02 02:03:04.179688,0 days 00:00:13.838985,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
131,2836.6699219999996,2023-03-02 02:03:26.812853,2023-03-02 02:03:40.508086,0 days 00:00:13.695233,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
132,2836.6699219999996,2023-03-02 02:03:44.958691,2023-03-02 02:03:58.751433,0 days 00:00:13.792742,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
133,2836.6699219999996,2023-03-02 02:04:03.135549,2023-03-02 02:04:17.058601,0 days 00:00:13.923052,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
134,2836.6699219999996,2023-03-02 02:04:21.292052,2023-03-02 02:04:35.026479,0 days 00:00:13.734427,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
135,2836.6699219999996,2023-03-02 02:04:39.518572,2023-03-02 02:04:53.864606,0 days 00:00:14.346034,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
126,2836.6699219999996,2023-03-02 02:01:54.450482,2023-03-02 02:02:08.500159,0 days 00:00:14.049677,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
136,2836.6699219999996,2023-03-02 02:04:58.694448,2023-03-02 02:05:12.370493,0 days 00:00:13.676045,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
138,2836.6699219999996,2023-03-02 02:05:35.173159,2023-03-02 02:05:48.977330,0 days 00:00:13.804171,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
141,2836.6699219999996,2023-03-02 02:06:29.939792,2023-03-02 02:06:43.751415,0 days 00:00:13.811623,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
142,2836.6699219999996,2023-03-02 02:06:47.981013,2023-03-02 02:07:01.679852,0 days 00:00:13.698839,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
143,2836.6699219999996,2023-03-02 02:07:06.008601,2023-03-02 02:07:20.103678,0 days 00:00:14.095077,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
144,2836.6699219999996,2023-03-02 02:07:24.260250,2023-03-02 02:07:38.232398,0 days 00:00:13.972148,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
145,2836.6699219999996,2023-03-02 02:07:42.385162,2023-03-02 02:07:56.176409,0 days 00:00:13.791247,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
146,2836.6699219999996,2023-03-02 02:08:00.442204,2023-03-02 02:08:14.243727,0 days 00:00:13.801523,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
147,2836.6699219999996,2023-03-02 02:08:18.671889,2023-03-02 02:08:32.457356,0 days 00:00:13.785467,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
137,2836.6699219999996,2023-03-02 02:05:16.887244,2023-03-02 02:05:30.716327,0 days 00:00:13.829083,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
125,2836.6699219999996,2023-03-02 02:01:35.645268,2023-03-02 02:01:49.949854,0 days 00:00:14.304586,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
124,2836.6699219999996,2023-03-02 02:01:17.009702,2023-03-02 02:01:31.039860,0 days 00:00:14.030158,0.5,0.7,15,9,800,5.5,0.8,COMPLETE
