iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,params_num_boost_round,reg_lambda,subsample,state
99,2795.958252,2023-02-28 15:20:21.171642,2023-02-28 15:20:38.003057,0 days 00:00:16.831415,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
124,2795.958252,2023-02-28 15:29:31.269482,2023-02-28 15:29:48.118041,0 days 00:00:16.848559,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
125,2795.958252,2023-02-28 15:29:52.339900,2023-02-28 15:30:09.532971,0 days 00:00:17.193071,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
126,2795.958252,2023-02-28 15:30:18.475476,2023-02-28 15:30:35.419476,0 days 00:00:16.944000,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
127,2795.958252,2023-02-28 15:30:39.647347,2023-02-28 15:30:56.491398,0 days 00:00:16.844051,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
128,2795.958252,2023-02-28 15:31:01.342502,2023-02-28 15:31:18.951761,0 days 00:00:17.609259,0.6,0.7,15,8,600,5.5,0.8,COMPLETE
130,2795.958252,2023-02-28 15:31:48.219121,2023-02-28 15:32:05.017937,0 days 00:00:16.798816,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
131,2795.958252,2023-02-28 15:32:09.403948,2023-02-28 15:32:26.356205,0 days 00:00:16.952257,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
132,2795.958252,2023-02-28 15:32:30.482476,2023-02-28 15:32:47.502105,0 days 00:00:17.019629,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
133,2795.958252,2023-02-28 15:32:51.507377,2023-02-28 15:33:08.424525,0 days 00:00:16.917148,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
134,2795.958252,2023-02-28 15:33:12.827776,2023-02-28 15:33:29.970467,0 days 00:00:17.142691,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
135,2795.958252,2023-02-28 15:33:33.914046,2023-02-28 15:33:50.690144,0 days 00:00:16.776098,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
137,2795.958252,2023-02-28 15:34:16.012434,2023-02-28 15:34:33.325999,0 days 00:00:17.313565,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
138,2795.958252,2023-02-28 15:34:37.350418,2023-02-28 15:34:54.406507,0 days 00:00:17.056089,0.6,0.7,15,8,800,5.5,0.8,COMPLETE
139,2795.958252,2023-02-28 15:35:00.421498,2023-02-28 15:35:17.567249,0 days 00:00:17.145751,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
140,2795.958252,2023-02-28 15:35:21.821044,2023-02-28 15:35:38.743475,0 days 00:00:16.922431,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
141,2795.958252,2023-02-28 15:35:42.879568,2023-02-28 15:36:00.000869,0 days 00:00:17.121301,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
142,2795.958252,2023-02-28 15:36:04.015035,2023-02-28 15:36:21.258998,0 days 00:00:17.243963,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
143,2795.958252,2023-02-28 15:36:25.331909,2023-02-28 15:36:42.323912,0 days 00:00:16.992003,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
144,2795.958252,2023-02-28 15:36:46.544133,2023-02-28 15:37:03.786021,0 days 00:00:17.241888,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
123,2795.958252,2023-02-28 15:29:09.888694,2023-02-28 15:29:27.253569,0 days 00:00:17.364875,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
145,2795.958252,2023-02-28 15:37:08.803420,2023-02-28 15:37:26.062370,0 days 00:00:17.258950,0.6,0.7,15,8,700,5.5,0.8,COMPLETE
