iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
194,2312.352385660639,2023-01-31 12:05:43.582792,2023-01-31 12:07:28.320389,0 days 00:01:44.737597,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
100,2312.352385660639,2023-01-31 09:15:59.539169,2023-01-31 09:17:42.737739,0 days 00:01:43.198570,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
99,2312.352385660639,2023-01-31 09:14:08.442551,2023-01-31 09:15:52.662983,0 days 00:01:44.220432,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
98,2312.352385660639,2023-01-31 09:12:19.977672,2023-01-31 09:14:04.096964,0 days 00:01:44.119292,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
144,2312.352385660639,2023-01-31 10:35:03.036800,2023-01-31 10:36:46.294819,0 days 00:01:43.258019,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
96,2312.352385660639,2023-01-31 09:08:54.110643,2023-01-31 09:10:39.210223,0 days 00:01:45.099580,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
95,2312.352385660639,2023-01-31 09:07:05.704422,2023-01-31 09:08:49.672442,0 days 00:01:43.968020,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
94,2312.352385660639,2023-01-31 09:05:14.753502,2023-01-31 09:06:59.469401,0 days 00:01:44.715899,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
93,2312.352385660639,2023-01-31 09:03:21.416389,2023-01-31 09:05:05.073826,0 days 00:01:43.657437,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
92,2312.352385660639,2023-01-31 09:01:33.971210,2023-01-31 09:03:17.393800,0 days 00:01:43.422590,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
91,2312.352385660639,2023-01-31 08:59:43.286763,2023-01-31 09:01:29.855244,0 days 00:01:46.568481,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
90,2312.352385660639,2023-01-31 08:57:48.653511,2023-01-31 08:59:32.435786,0 days 00:01:43.782275,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
89,2312.352385660639,2023-01-31 08:55:43.049687,2023-01-31 08:57:44.648286,0 days 00:02:01.598599,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
88,2312.352385660639,2023-01-31 08:53:46.369923,2023-01-31 08:55:30.976761,0 days 00:01:44.606838,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
145,2312.352385660639,2023-01-31 10:36:50.518332,2023-01-31 10:38:33.528639,0 days 00:01:43.010307,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
101,2312.352385660639,2023-01-31 09:17:47.330045,2023-01-31 09:19:30.953492,0 days 00:01:43.623447,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
86,2312.352385660639,2023-01-31 08:50:30.250864,2023-01-31 08:52:13.877119,0 days 00:01:43.626255,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
84,2312.352385660639,2023-01-31 08:46:50.848757,2023-01-31 08:48:36.165415,0 days 00:01:45.316658,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
83,2312.352385660639,2023-01-31 08:44:59.959291,2023-01-31 08:46:45.460632,0 days 00:01:45.501341,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
82,2312.352385660639,2023-01-31 08:43:11.552395,2023-01-31 08:44:55.746290,0 days 00:01:44.193895,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
81,2312.352385660639,2023-01-31 08:41:11.489173,2023-01-31 08:42:55.473501,0 days 00:01:43.984328,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
146,2312.352385660639,2023-01-31 10:38:37.981573,2023-01-31 10:40:21.594706,0 days 00:01:43.613133,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
79,2312.352385660639,2023-01-31 08:37:29.859631,2023-01-31 08:39:13.482828,0 days 00:01:43.623197,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
78,2312.352385660639,2023-01-31 08:35:40.388947,2023-01-31 08:37:25.615593,0 days 00:01:45.226646,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
77,2312.352385660639,2023-01-31 08:33:49.704922,2023-01-31 08:35:35.482254,0 days 00:01:45.777332,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
147,2312.352385660639,2023-01-31 10:40:30.327808,2023-01-31 10:42:13.894283,0 days 00:01:43.566475,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
75,2312.352385660639,2023-01-31 08:30:13.076181,2023-01-31 08:31:57.078512,0 days 00:01:44.002331,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
74,2312.352385660639,2023-01-31 08:28:23.821198,2023-01-31 08:30:08.739647,0 days 00:01:44.918449,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
73,2312.352385660639,2023-01-31 08:26:34.685151,2023-01-31 08:28:19.003955,0 days 00:01:44.318804,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
72,2312.352385660639,2023-01-31 08:24:39.640259,2023-01-31 08:26:24.725608,0 days 00:01:45.085349,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
71,2312.352385660639,2023-01-31 08:22:51.003368,2023-01-31 08:24:34.533381,0 days 00:01:43.530013,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
85,2312.352385660639,2023-01-31 08:48:40.756443,2023-01-31 08:50:25.117822,0 days 00:01:44.361379,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
102,2312.352385660639,2023-01-31 09:19:37.951981,2023-01-31 09:21:21.355439,0 days 00:01:43.403458,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
103,2312.352385660639,2023-01-31 09:21:26.509032,2023-01-31 09:23:11.192773,0 days 00:01:44.683741,0.6,0.5,15.0,8.0,800.0,6.5,0.78,COMPLETE
