iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
99,2762.6793216888777,2023-03-01 03:03:07.239986,2023-03-01 03:03:18.993118,0 days 00:00:11.753132,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
198,2762.6793216888777,2023-03-01 03:31:21.313166,2023-03-01 03:31:33.189076,0 days 00:00:11.875910,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
100,2762.6793216888777,2023-03-01 03:03:23.299652,2023-03-01 03:03:35.054647,0 days 00:00:11.754995,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
101,2762.6793216888777,2023-03-01 03:03:39.315749,2023-03-01 03:03:51.139175,0 days 00:00:11.823426,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
102,2762.6793216888777,2023-03-01 03:03:55.433045,2023-03-01 03:04:07.115263,0 days 00:00:11.682218,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
103,2762.6793216888777,2023-03-01 03:04:11.521528,2023-03-01 03:04:23.368490,0 days 00:00:11.846962,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
104,2762.6793216888777,2023-03-01 03:04:27.684915,2023-03-01 03:04:39.540067,0 days 00:00:11.855152,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
105,2762.6793216888777,2023-03-01 03:04:43.812436,2023-03-01 03:04:55.474516,0 days 00:00:11.662080,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
106,2762.6793216888777,2023-03-01 03:05:04.245594,2023-03-01 03:05:16.044032,0 days 00:00:11.798438,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
107,2762.6793216888777,2023-03-01 03:05:20.598043,2023-03-01 03:05:32.783908,0 days 00:00:12.185865,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
161,2762.6793216888777,2023-03-01 03:21:11.425095,2023-03-01 03:21:23.296431,0 days 00:00:11.871336,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
160,2762.6793216888777,2023-03-01 03:20:55.135772,2023-03-01 03:21:07.023492,0 days 00:00:11.887720,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
110,2762.6793216888777,2023-03-01 03:06:43.397894,2023-03-01 03:07:00.338588,0 days 00:00:16.940694,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
111,2762.6793216888777,2023-03-01 03:07:04.689320,2023-03-01 03:07:17.043928,0 days 00:00:12.354608,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
112,2762.6793216888777,2023-03-01 03:07:31.994087,2023-03-01 03:07:44.155447,0 days 00:00:12.161360,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
113,2762.6793216888777,2023-03-01 03:08:06.597614,2023-03-01 03:08:18.661811,0 days 00:00:12.064197,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
98,2762.6793216888777,2023-03-01 03:02:51.140105,2023-03-01 03:03:02.996693,0 days 00:00:11.856588,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
