iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,params_num_boost_round,reg_lambda,subsample,state
200,2314.3526373248087,2023-03-01 02:26:24.387685,2023-03-01 02:28:13.336106,0 days 00:01:48.948421,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
141,2314.3526373248087,2023-03-01 00:31:35.184923,2023-03-01 00:33:23.681103,0 days 00:01:48.496180,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
140,2314.3526373248087,2023-03-01 00:29:40.857814,2023-03-01 00:31:30.465634,0 days 00:01:49.607820,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
139,2314.3526373248087,2023-03-01 00:27:48.224954,2023-03-01 00:29:36.818195,0 days 00:01:48.593241,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
138,2314.3526373248087,2023-03-01 00:25:54.033331,2023-03-01 00:27:43.289534,0 days 00:01:49.256203,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
137,2314.3526373248087,2023-03-01 00:24:00.104446,2023-03-01 00:25:49.018471,0 days 00:01:48.914025,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
136,2314.3526373248087,2023-03-01 00:22:06.838858,2023-03-01 00:23:55.184579,0 days 00:01:48.345721,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
135,2314.3526373248087,2023-03-01 00:20:13.635738,2023-03-01 00:22:02.255676,0 days 00:01:48.619938,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
134,2314.3526373248087,2023-03-01 00:18:21.350496,2023-03-01 00:20:09.574378,0 days 00:01:48.223882,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
133,2314.3526373248087,2023-03-01 00:16:24.011954,2023-03-01 00:18:13.173873,0 days 00:01:49.161919,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
132,2314.3526373248087,2023-03-01 00:14:30.425579,2023-03-01 00:16:19.231842,0 days 00:01:48.806263,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
131,2314.3526373248087,2023-03-01 00:12:36.743751,2023-03-01 00:14:25.151016,0 days 00:01:48.407265,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
