iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
171,2316.7207965972175,2023-02-26 11:54:01.345774,2023-02-26 11:55:54.143856,0 days 00:01:52.798082,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
199,2316.7207965972175,2023-02-28 06:29:38.556858,2023-02-28 06:31:26.714324,0 days 00:01:48.157466,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
167,2316.7207965972175,2023-02-26 11:46:17.697075,2023-02-26 11:48:10.922383,0 days 00:01:53.225308,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
168,2316.7207965972175,2023-02-26 11:48:13.400163,2023-02-26 11:50:05.735078,0 days 00:01:52.334915,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
169,2316.7207965972175,2023-02-26 11:50:09.871784,2023-02-26 11:52:02.696911,0 days 00:01:52.825127,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
170,2316.7207965972175,2023-02-26 11:52:05.034229,2023-02-26 11:53:58.103311,0 days 00:01:53.069082,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
172,2316.7207965972175,2023-02-26 11:55:56.546413,2023-02-26 11:57:49.450347,0 days 00:01:52.903934,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
173,2316.7207965972175,2023-02-26 11:57:51.810811,2023-02-26 11:59:45.614342,0 days 00:01:53.803531,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
174,2316.7207965972175,2023-02-26 11:59:48.021381,2023-02-26 12:01:40.407067,0 days 00:01:52.385686,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
175,2316.7207965972175,2023-02-26 12:01:43.199005,2023-02-26 12:03:36.096188,0 days 00:01:52.897183,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
176,2316.7207965972175,2023-02-26 12:03:38.372279,2023-02-26 12:05:32.095040,0 days 00:01:53.722761,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
177,2316.7207965972175,2023-02-26 12:05:34.583554,2023-02-26 12:07:29.470016,0 days 00:01:54.886462,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
179,2316.7207965972175,2023-02-26 12:09:31.092311,2023-02-26 12:11:24.929712,0 days 00:01:53.837401,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
180,2316.7207965972175,2023-02-26 12:11:27.402030,2023-02-26 12:13:20.230982,0 days 00:01:52.828952,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
182,2316.7207965972175,2023-02-28 05:57:44.386463,2023-02-28 05:59:31.967985,0 days 00:01:47.581522,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
183,2316.7207965972175,2023-02-28 05:59:37.132447,2023-02-28 06:01:30.641009,0 days 00:01:53.508562,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
178,2316.7207965972175,2023-02-26 12:07:32.873363,2023-02-26 12:09:27.808754,0 days 00:01:54.935391,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
185,2316.7207965972175,2023-02-28 06:03:24.767378,2023-02-28 06:05:13.264435,0 days 00:01:48.497057,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
198,2316.7207965972175,2023-02-28 06:27:46.217327,2023-02-28 06:29:35.225461,0 days 00:01:49.008134,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
197,2316.7207965972175,2023-02-28 06:25:53.608089,2023-02-28 06:27:42.153134,0 days 00:01:48.545045,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
196,2316.7207965972175,2023-02-28 06:24:02.181917,2023-02-28 06:25:50.552737,0 days 00:01:48.370820,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
184,2316.7207965972175,2023-02-28 06:01:33.300646,2023-02-28 06:03:21.644557,0 days 00:01:48.343911,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
194,2316.7207965972175,2023-02-28 06:20:18.531940,2023-02-28 06:22:08.457318,0 days 00:01:49.925378,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
193,2316.7207965972175,2023-02-28 06:18:27.099237,2023-02-28 06:20:15.078857,0 days 00:01:47.979620,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
192,2316.7207965972175,2023-02-28 06:16:34.401409,2023-02-28 06:18:23.251519,0 days 00:01:48.850110,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
195,2316.7207965972175,2023-02-28 06:22:10.954975,2023-02-28 06:23:59.448376,0 days 00:01:48.493401,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
190,2316.7207965972175,2023-02-28 06:12:50.710975,2023-02-28 06:14:39.878444,0 days 00:01:49.167469,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
189,2316.7207965972175,2023-02-28 06:11:00.381215,2023-02-28 06:12:47.929646,0 days 00:01:47.548431,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
188,2316.7207965972175,2023-02-28 06:09:10.051964,2023-02-28 06:10:57.660823,0 days 00:01:47.608859,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
187,2316.7207965972175,2023-02-28 06:07:07.894560,2023-02-28 06:08:56.421714,0 days 00:01:48.527154,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
186,2316.7207965972175,2023-02-28 06:05:16.740063,2023-02-28 06:07:05.044277,0 days 00:01:48.304214,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
191,2316.7207965972175,2023-02-28 06:14:43.024310,2023-02-28 06:16:31.165584,0 days 00:01:48.141274,0.6,0.5,15.0,8.0,800.0,5.5,0.8,COMPLETE
133,2316.7564450351642,2023-02-26 10:37:40.728536,2023-02-26 10:39:43.135470,0 days 00:02:02.406934,0.6,0.5,15.0,7.0,800.0,5.5,0.8,COMPLETE
94,2316.7564450351642,2023-02-26 09:18:41.564404,2023-02-26 09:20:40.536610,0 days 00:01:58.972206,0.6,0.5,15.0,7.0,800.0,5.5,0.8,COMPLETE
102,2316.7564450351642,2023-02-26 09:34:58.857936,2023-02-26 09:36:58.002377,0 days 00:01:59.144441,0.6,0.5,15.0,7.0,800.0,5.5,0.8,COMPLETE
101,2316.7564450351642,2023-02-26 09:32:56.684887,2023-02-26 09:34:55.793932,0 days 00:01:59.109045,0.6,0.5,15.0,7.0,800.0,5.5,0.8,COMPLETE
