feature,weight,std
horsepower,0.3177288924995384,0.001511037450932745
year,0.08714661215724469,0.0006001235838823014
mileage,0.08030878718561121,0.0009174619889158192
width,0.074056659770211,0.00040544655581409376
engine_displacement,0.06657611256573995,0.000364705791947468
height,0.0505266702125138,0.00015815956248765154
highway_fuel_economy,0.02680115518643065,0.0001585902718014579
wheel_system_display_Front-Wheel Drive,0.026406873865827185,0.00012090109743808145
fuel_tank_volume,0.02590248590569011,0.00021812848377504392
back_legroom,0.02506614596250394,0.00011298222912219014
maximum_seating,0.024055793513358535,0.0002848256030269431
wheelbase,0.0238334106075349,0.00031791894853813697
horsepower_rpm,0.023758599221330036,0.00020463172940663883
savings_amount,0.01875015080097935,0.00012736704351030091
is_new,0.018620206490682013,0.0001826247476418176
length,0.016252035501908058,0.00018202461060800841
front_legroom,0.012422542864695619,0.0001366668489081408
city_fuel_economy,0.010205996424367947,0.00010828187092107708
wheel_system_display_Four-Wheel Drive,0.008598283076627977,0.00015716502514036377
daysonmarket,0.006738756018490655,9.812686190411663e-05
