iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
75,2683.3918,2023-01-20 00:46:18.973969,2023-01-20 00:49:08.438823,0 days 00:02:49.464854,8.0,0.790321381601683,0.020277596404023806,0.001149665265378832,0.00799366990237335,11.0,540.0,933.0,359.0,0.9498255188690254,COMPLETE
76,2683.4182,2023-01-20 00:49:17.863441,2023-01-20 00:51:53.026342,0 days 00:02:35.162901,8.0,0.7903306562716568,0.02025106166683783,0.0011577595202043804,0.007999305374239289,11.0,540.0,933.0,359.0,0.949619048912669,COMPLETE
87,2683.5241,2023-01-20 01:19:59.552768,2023-01-20 01:22:36.310831,0 days 00:02:36.758063,8.0,0.7905855097035874,0.02037330471410034,0.0011255135892506978,0.007999300439626496,11.0,540.0,933.0,359.0,0.9432134569665909,COMPLETE
73,2683.6489,2023-01-20 00:40:21.777127,2023-01-20 00:43:05.760404,0 days 00:02:43.983277,8.0,0.7889399808475461,0.020678164743295917,0.001157666515625851,0.007980915848935738,11.0,540.0,933.0,358.0,0.9470026169388147,COMPLETE
91,2683.7322,2023-01-20 01:31:11.160464,2023-01-20 01:33:56.827691,0 days 00:02:45.667227,8.0,0.7908092058136291,0.020605758895971864,0.0011030048119269327,0.007975848537767198,11.0,540.0,933.0,359.0,0.9499421819629182,COMPLETE
81,2683.7552,2023-01-20 01:03:32.137561,2023-01-20 01:06:20.270252,0 days 00:02:48.132691,8.0,0.7907215882205919,0.02020868518522546,0.0010995317763407783,0.007996179349251707,11.0,541.0,933.0,359.0,0.9497379708485177,COMPLETE
77,2683.7624,2023-01-20 00:51:59.476720,2023-01-20 00:54:36.336364,0 days 00:02:36.859644,8.0,0.7898105866294918,0.02025904012735242,0.0011635970876418126,0.007991030869536536,11.0,540.0,933.0,359.0,0.9485272862969385,COMPLETE
78,2683.7738,2023-01-20 00:54:42.595505,2023-01-20 00:57:34.576342,0 days 00:02:51.980837,8.0,0.7905442141484701,0.020253144239353184,0.0011398400931934994,0.007999656898144589,11.0,541.0,933.0,359.0,0.9496027059922858,COMPLETE
84,2683.8945,2023-01-20 01:11:47.114166,2023-01-20 01:14:21.355141,0 days 00:02:34.240975,8.0,0.7927812537242419,0.020207874584644042,0.0010715980599641528,0.007999063609135148,11.0,541.0,932.0,359.0,0.9495336643653871,COMPLETE
80,2683.9072,2023-01-20 01:00:37.607403,2023-01-20 01:03:25.036074,0 days 00:02:47.428671,8.0,0.790629492182903,0.02027873896993424,0.0011106808474017527,0.007992107759614231,11.0,541.0,932.0,359.0,0.9492766422973625,COMPLETE
