iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
88,2632.6071239906464,2023-01-26 20:40:32.929015,2023-01-26 20:41:11.736361,0 days 00:00:38.807346,10,0.774982767376917,0.02882206628062635,0.0016511070127227818,0.00798879300097316,11,542,934,359,0.9376244855806946,COMPLETE
84,2633.1071481015647,2023-01-26 20:34:35.390573,2023-01-26 20:35:25.547461,0 days 00:00:50.156888,10,0.7728596907336229,0.028228452702524432,0.0016495767093521868,0.0079903339416206,11,543,933,358,0.9357216564643285,COMPLETE
92,2633.1829485250514,2023-01-26 20:45:29.289499,2023-01-26 20:46:25.914154,0 days 00:00:56.624655,10,0.7747156360013185,0.02835314342097891,0.0016972466309698204,0.007962036542616858,11,543,933,359,0.9386321313778336,COMPLETE
81,2633.3146285225093,2023-01-26 20:28:34.228015,2023-01-26 20:29:23.842481,0 days 00:00:49.614466,10,0.7744976529389703,0.02896794195877349,0.001651723085089041,0.007977041175323805,11,542,933,359,0.9350805516280853,COMPLETE
91,2633.486331208766,2023-01-26 20:44:00.806791,2023-01-26 20:44:54.460784,0 days 00:00:53.653993,10,0.7745133892433572,0.02880880438442352,0.0016374593895199904,0.007985127116918797,11,542,933,359,0.9375430812019088,COMPLETE
65,2633.5067067196474,2023-01-26 19:58:20.072718,2023-01-26 19:59:09.876251,0 days 00:00:49.803533,9,0.7854567434961504,0.02998096147802094,0.0015281581508104665,0.007956847965500802,11,540,932,359,0.945428263464184,COMPLETE
68,2633.535071768192,2023-01-26 20:02:35.836846,2023-01-26 20:03:54.483715,0 days 00:01:18.646869,9,0.7836914257453723,0.028883587423850436,0.0015836744267883787,0.007995976805689394,11,540,933,360,0.9421004642675632,COMPLETE
51,2633.5799920503223,2023-01-26 19:39:55.001854,2023-01-26 19:40:33.531258,0 days 00:00:38.529404,8,0.7833054717227214,0.027215878880412804,0.0013643944310067855,0.007894198399642723,11,541,931,352,0.9458915666493253,COMPLETE
96,2633.6086755571787,2023-01-26 20:52:25.841220,2023-01-26 20:53:01.044377,0 days 00:00:35.203157,10,0.7748015922256324,0.027635585205200187,0.001599547771758472,0.007991291284896783,11,543,934,361,0.9338872372021837,COMPLETE
98,2633.7630800219586,2023-01-26 20:55:06.158585,2023-01-26 20:55:56.730512,0 days 00:00:50.571927,10,0.7768153182659512,0.027978009301945817,0.0017375107852634934,0.007989878936660854,11,544,933,362,0.9424204677560846,COMPLETE
82,2633.7664136762446,2023-01-26 20:30:54.739255,2023-01-26 20:31:41.048457,0 days 00:00:46.309202,10,0.7741411703525977,0.028897731809909226,0.00164491940892082,0.007976910094898456,11,542,933,359,0.935107511837631,COMPLETE
85,2633.8205130516394,2023-01-26 20:36:20.183931,2023-01-26 20:37:15.997154,0 days 00:00:55.813223,10,0.7729957825619123,0.028342035616241226,0.001653805036126197,0.007979504521647713,11,542,934,358,0.930779728840828,COMPLETE
71,2633.8363602218387,2023-01-26 20:11:45.610313,2023-01-26 20:12:45.041388,0 days 00:00:59.431075,9,0.7794851919858752,0.0295548959240199,0.0015688891746849106,0.007966627593617232,11,540,933,359,0.9411035894359061,COMPLETE
80,2633.961984287982,2023-01-26 20:26:05.113900,2023-01-26 20:27:21.596451,0 days 00:01:16.482551,10,0.7740064074333898,0.028858119013759898,0.001641127047049961,0.007985164592102922,11,542,933,359,0.935269933226045,COMPLETE
95,2633.968460486063,2023-01-26 20:50:37.065436,2023-01-26 20:51:12.487891,0 days 00:00:35.422455,10,0.7768132915932662,0.02820571965089087,0.0016981704158518464,0.0079573981504473,11,542,933,358,0.9376378520883435,COMPLETE
97,2633.9865031809586,2023-01-26 20:53:50.033395,2023-01-26 20:54:39.354207,0 days 00:00:49.320812,10,0.774611113579291,0.027692240750195888,0.0016031940665485551,0.007997920479859335,11,543,934,361,0.9331125245931273,COMPLETE
