iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
95,2684.3347,2023-01-19 11:07:45.552046,2023-01-19 11:16:04.318300,0 days 00:08:18.766254,9.0,0.8057484065817484,0.021403931872852878,0.0012964100075579395,0.00799995793205517,11.0,543.0,928.0,362.0,0.9480243348736116,COMPLETE
57,2684.8765,2023-01-19 07:14:59.176996,2023-01-19 07:19:43.421274,0 days 00:04:44.244278,9.0,0.8031953257290728,0.020811239403188467,0.0012390781905068542,0.007997925469720163,11.0,541.0,927.0,365.0,0.9442444881919682,COMPLETE
82,2684.8854,2023-01-19 09:41:16.364908,2023-01-19 09:47:19.044842,0 days 00:06:02.679934,9.0,0.8088731845748264,0.020770950187923652,0.0012999068217371115,0.007999051653829064,11.0,543.0,925.0,363.0,0.9497406266903624,COMPLETE
65,2685.0187,2023-01-19 07:58:34.456985,2023-01-19 08:04:02.764893,0 days 00:05:28.307908,9.0,0.8040621300316991,0.021009779306109835,0.0013062068429398066,0.007959448509835739,11.0,543.0,926.0,364.0,0.9490267562478188,COMPLETE
96,2685.0426,2023-01-19 11:16:10.640717,2023-01-19 11:24:01.117434,0 days 00:07:50.476717,9.0,0.8058160043217947,0.021373669704108287,0.0013378915899159764,0.007971794872527287,11.0,542.0,928.0,362.0,0.9497503895031426,COMPLETE
98,2685.106,2023-01-19 11:33:15.996081,2023-01-19 11:39:27.508873,0 days 00:06:11.512792,9.0,0.8059660140080295,0.021402472645574735,0.0013442485922355045,0.007971956642010688,11.0,541.0,928.0,362.0,0.9452439152870545,COMPLETE
67,2685.2221,2023-01-19 08:09:51.861009,2023-01-19 08:15:41.305723,0 days 00:05:49.444714,9.0,0.8063442924309765,0.020859636205837768,0.0013783603903616735,0.007953012758777415,11.0,543.0,926.0,364.0,0.94957466897808,COMPLETE
74,2685.2659,2023-01-19 08:51:12.540857,2023-01-19 08:56:46.423423,0 days 00:05:33.882566,9.0,0.8047717798591901,0.021413844844191492,0.0013298984055260935,0.007989137416738307,11.0,543.0,925.0,363.0,0.9499561223610624,COMPLETE
94,2685.3552,2023-01-19 11:01:21.757528,2023-01-19 11:07:39.127405,0 days 00:06:17.369877,9.0,0.8058209510335194,0.02089392900715382,0.001299196821036758,0.007982360498750226,11.0,543.0,928.0,363.0,0.9477185952618705,COMPLETE
97,2685.3583,2023-01-19 11:24:07.904217,2023-01-19 11:33:09.509129,0 days 00:09:01.604912,9.0,0.8035391082373653,0.02178955982211915,0.0013398977567605289,0.007969541855534402,11.0,542.0,928.0,362.0,0.9497826078195969,COMPLETE
64,2685.4951,2023-01-19 07:52:45.654688,2023-01-19 07:58:27.929050,0 days 00:05:42.274362,9.0,0.8075520716240389,0.02128122804268491,0.001246048690686601,0.007958264026947333,11.0,542.0,926.0,365.0,0.9480549943412325,COMPLETE
99,2685.5396,2023-01-19 11:39:34.013139,2023-01-19 11:46:09.958003,0 days 00:06:35.944864,9.0,0.8033692777537129,0.021573811581481358,0.0013447611205432348,0.007970677416976256,11.0,541.0,928.0,362.0,0.945306767232607,COMPLETE
68,2685.6376,2023-01-19 08:15:47.955427,2023-01-19 08:22:13.791030,0 days 00:06:25.835603,9.0,0.8045383732209643,0.02183557870910745,0.0014081241330310703,0.007954970580936211,11.0,543.0,926.0,364.0,0.9498699051710287,COMPLETE
83,2685.6512,2023-01-19 09:47:25.915105,2023-01-19 09:53:27.474449,0 days 00:06:01.559344,9.0,0.8084104929579642,0.020816245740270346,0.0013131998317195861,0.00799657396414127,11.0,543.0,925.0,363.0,0.947896978524356,COMPLETE
84,2685.6707,2023-01-19 09:53:33.898725,2023-01-19 09:59:59.265464,0 days 00:06:25.366739,9.0,0.8088144826078297,0.020755062637663607,0.0012965258108410412,0.00799729456959811,11.0,543.0,925.0,363.0,0.9476430702777933,COMPLETE
89,2685.6882,2023-01-19 10:24:37.615540,2023-01-19 10:33:02.349562,0 days 00:08:24.734022,9.0,0.806627958028457,0.02066624045812717,0.0012559747315707217,0.007982948169087187,11.0,543.0,927.0,364.0,0.9430037605241969,COMPLETE
91,2685.7363,2023-01-19 10:40:26.735257,2023-01-19 10:48:36.855939,0 days 00:08:10.120682,9.0,0.8077396231075993,0.020979634966869973,0.0012352442823300182,0.007973814324049788,11.0,541.0,926.0,364.0,0.9410447121009292,COMPLETE
85,2685.8069,2023-01-19 10:00:05.957945,2023-01-19 10:06:04.177878,0 days 00:05:58.219933,9.0,0.8085761886648153,0.020713829714470597,0.0012528547993472469,0.007998033898412528,11.0,543.0,925.0,363.0,0.9434941977110499,COMPLETE
66,2685.8125,2023-01-19 08:04:09.744347,2023-01-19 08:09:44.908931,0 days 00:05:35.164584,9.0,0.8048556220569337,0.021112146486518213,0.00130843450573329,0.007953018680029443,11.0,543.0,926.0,364.0,0.9489942993036954,COMPLETE
